premise	hypothesis	label
A car that has no tires.	A very dirty race car doing a burnout on some dirt.	2
A man swims across a pool	A young man in jeans and a red shirt, wearing yellow gloves, holds a tree branch.	2
A woman flashes bystanders.	A man with a beard is playing an acoustic guitar on the street.	2
The players are having a party.	Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field.	2
A man is eating his tv dinner.	A woman in a white apron prepares various meats on a large grill.	2
The animals are lying on the bed.	Two dogs, the gray poodle high in the air, play on the grass.	2
a boy on his cellphone standing on ground	A girl laying on the ground on her cellphone.	2
A man is laying outside in the grass.	A man is renovating a room.	2
A woman is scratched by a cat	A woman in a scarf, laughing, being licked by a dog.	2
Nobody is standing	four people standing on a hiking trail in a forest with big tree logs on the ground close to them.	2
A young man is on a farm.	Young man performing a skateboard trick on a sidewalk in a city.	2
a man sitting down builds a tall building and eats a palm tree	A dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees.	2
Two girls are in a room with red curtains.	Two young girls hang tinsel on a Christmas tree in a room with blue curtains.	2
the daddy is dead	This is when daddy taught her how to ride her scooter.	2
A boy standing upright on a skateboard.	A boy kneeling on a skateboard riding down the street	2
A woman wearing an evening gown is at a party.	A man wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.	2
The dogs are laughing.	Three people sitting on some stairs laughing.	2
Girls are not having a good time.	3 girls chatting and laughing on the stairwell.	2
Shipyard workers are unloading the ships	Shipyard workers are standing around.	2
Two horse chase after a man holding a carrot.	A skateboarder getting ready to perform on a half-tube rink where there are trees in the background.	2
A kid on a bike.	A lady wearing a straw hat and gold hoop earrings is pointing a finger.	2
There is a park with no trees.	A woman wearing a long black jacket and a brown hat is walking beside a park with a lot of blooming trees.	2
There is a man watching others play instruments	an elderly man in a tie die shirt playing a red according key bored for a boy in blue.	2
There was a woman tip-toeing across the train tracks.	A person crossing a bridge with train tracks.	2
A person jumped off the side of the bridge.	A person crossing a bridge with train tracks.	2
The man in blue is Batman and the man in black is Jonny Cash.	A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.	2
People are having a picnic.	A group of three people and one dog hike up a green mountainside.	2
People are walking along the beach.	Three hikers and a dog are walking through the foliage on the hillside.	2
Laura Bush is driving a jet-ski near the Washington monument.	First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.	2
George Bush stands in front of a podium in front of an audience	First Lady Laura Bush at podium, in front of seated audience, at the White House Conference on Global Literacy.	2
The two men are wearing jogging clothes.	Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.	2
Times Square is in California.	Times Square in New York.	2
A woman drives a bulldozer.	A group of young adults wait in line outdoors in the daytime.	2
A man milks a cow	A man surfs on a medium sized wave while holding a paddle that seems to steer him in the direction he wants to go.	2
Two men playing with a basketball.	Two men and a Frisbee	2
The young girl gets into the water with her bathing suit.	A boy in swimming trunks wades out into the water.	2
Ther isn't any water around the man	A man is kayaking in rough waters.	2
A man sips beer on the beach	a man wearing a red jacket and camouflage pants is leaning against a giant tree in the snow.	2
A motionless truck	A blue truck is driving on a desert road carrying several people and lots of assorted cargo.	2
A woman is walking	A shirtless man with a white hat and no shoes sitting crisscross with his back against the wall holding up a white plastic cup.	2
The ball is on the floor.	One woman with jeans, gray shirt and sandals; with girl in all pink watching a white ball float in midair.	2
People in the military are training.	Military personnel are shopping	2
The dogs are chasing a rabbit.	Two black labs run, one carrying an orange dog toy.	2
The man is jogging	A black man in a blue suit is talking on a cellphone while smoking.	2
The green clock wears black capri pants in front of the woman.	A woman wearing a black t-shirt and green capri pants walks in front of a giant clock.	2
Several people are naked.	Several people in blue scrubs and one in a skirt and black blouse.	2
A chef has been fired and sits at home with a handle of whiskey.	A middle-aged man chef is in a white doorway of a mobile kitchen.	2
A child stands alone.	A small Asian child rides on the back of a woman who is wearing a hat.	2
The man is dancing with a woman	The man is sweeping with a red broom.	2
A woman buys a ticket at a movie theater.	a woman working in the storefront of a jewelry shop fixing the display shelf.	2
Women are playing trumpets on the street.	Three men are standing on stage performing.	2
A man drinking coconut water.	A black man in a knitted, blue cap and green, collared shirt sit next to a stump slicing a coconut.	2
A man is sleeping.	A patient is being worked on by doctors and nurses.	2
A young woman is sitting on a toilet.	a candid photo of a young lady sitting at a restaurant table.	2
The boy plays a video game.	a boy wearing jean shorts, and a black and blue shirt, reading a book, sits on a rolling device up against a wall that says book fair, while other people stand around.	2
A large crowd of dogs are at the park.	A large crowd of people talking to each other.	2
The skater is sitting on the ground.	In a chain link enclosed skate park a skater goes over one of the obstacles.Wit.	2
The elderly people are swimming in the pool.	Elderly people walking down a city street.	2
Four older women are sitting in a hot tub	An older women looking off into the distance with three older women walking towards her from behind.	2
A man is running a marathon.	A man sitting with his head down on his arm and a roll of toilet paper and a cellphone sitting beside him.	2
The man is living in a mansion.	"A homeless man carries a sign that says ""hungry""."	2
People dressed like circus clowns entertain at a child's birthday party.	People dressed in traditional Japanese garb walk in a procession through a courtyard paved with paving stones.	2
The little girl asks her father to pick her up.	A man shows off his spider-web face paint.	2
The man has nothing on his face.	Man with a spider web & spiders painted on his face.	2
A man laying down	Man sitting on bench with a suitcase in front of PADDINGTON sign.	2
A boy in white pajamas plays.	Boy in green pajamas play with his toy while his mother sits on the couch and watches him.	2
A girl poses for a selfie with her mother.	A smiling man and a baby girl posing for photo.	2
Sports team members are having lunch.	Sports team members practice and relax on a basketball court.	2
Some women are wrapping gifts.	Pedestrians are gazing at a display of books set out on a sidewalk under a tree.	2
Two men riding in a car past a brick building.	Two people walk up to a brick building with a colorful mural on its side.	2
A vendor talks to a customer	A sungalsses vendor gazes into the distance.	2
The man in the bandana is running after the ambulance	An Ambulance is passing a man wearing a bandanna and girl.	2
A boy sleeps in his bed.	A young boy runs across a road in front of a sky blue building with barred windows.	2
Boys are playing outside.	Boys in what appears to be a library or school room.	2
There are no women running.	3 women run in a marathon with the crowd in the background, one with the label Galina and another the label Inga, and the 3rd running close behind them in blue.	2
The man holding the painting was watching tv	A man holding a picture of a small dog is painting a small dog in near life size on a white canvas.	2
A woman walks along with a can of soda in his hand.	A man walks along with a can of soda in his hand.	2
Kids are riding bicycles.	Two children are swimming in a pool.	2
A woman is soaking her feet.	The man is trying to make a pottery that he can market soon.	2
A young boy stands at the chalkboard to answer a math problem.	A young boy sits outside in a grassy field with his back turned towards the viewer- he is holding a wooden toy that can be spun between your hands and launched into the air.	2
A woman standing on top of a rocky mountain.	A man in a red shirt is sitting on top of a rocky mountain.	2
The boats jumped up from a shallow rock.	Young shirtless man and asian woman jump up from a shallow rock at the shore with boats moored in the background	2
The cyclist was riding in the morning.	Bicyclist ride the course near the ocean as the day comes to an end.	2
The group of people are frowning.	A group of smiling people are posing outdoors for a picture.	2
The girl is on a car.	A woman is taking a picture of a girl on a scooter.	2
A child is taking pictures of an adult.	A person taking pictures of a young brunette girl.	2
A child is naked in the shower	A child stands in a shower with clothes on.	2
The man entered a swimming event and is riding a jet ski.	A solo shot of a man riding a four wheeler in an atv event.	2
Two women are under a waterfall.	Two men cool off under a waterfall.	2
The shirt is red.	A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.	2
A man is riding a motorcycle through a grassy field.	A man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins.Fo.	2
the man and his son were watching a parade	A man and his son riding bikes down the sidewalk.	2
The men are driving cars.	Three men are working with their bikes in the shoulder of a road.	2
A group of women are baking in a kitchen.	A group of men are riding a moving walkway.	2
Six men are sitting on a park bench.	Six men in airport standing on moving walkway	2
A person is playing football at the stadium.	A person in a red jacket and a red hard hat stands near a mountain.	2
There is no teacher in the room.	Kids work at computers with a teacher's help.	2
A man is being served a dish in a restaurant.	The man in the black shirt is showing the man in the orange shirt something that he has for sale.	2
"A man walks by an open cafe named ""Cafe De Flo"""	"A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text ""CAFE DE FLO"" visible on the cafe canopy banner."	2
The woman is holding old trashcans to carry various objecs.	A woman holding bags behind plantains.	2
The guy chased his dog down the street.	Three soccer players, two in orange one in yellow, running for the ball on a soccer field.	2
A man sitting on a barren floor.	A man is sitting on the floor and is surrounded by pictures.	2
A woman in a brown dress is a murderous clown at a birthday party.	a woman in a brown dress looking at papers in front of a class.	2
A group of students are taking naps.	A classroom of mostly women is being shown a presentation.	2
A man is riding a bike	A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.	2
A woman holding her sleeping son while walking down the street.	A young middle eastern mother in high heels, holding her young child as he lays his head on her shoulder asleep, is gazing out the window.	2
The group of people are walking on the sidewalk in the city.	Band plays in tight quarters.	2
The three bar tenders work hard pouring drinks.	Three women sit together near woven walls.	2
The stage crew is cleaning the stage	A band playing on stage in a club.	2
A dark haired kid dances for the crowd.	A blond woman in a white shirt demonstrates her talents to a crowd.	2
Three young giraffes are playing soccer in the beach wearing shorts	Three young men are playing soccer in the beach wearing shorts and beach attire while some people watch	2
An astronaut working with an alien to repair a satellite.	A person in full astronaut suit and gear trains in an underwater lab as a scuba diver assists.	2
Nobody is working	A worker is doing a job on scaffolding.	2
The rock is on a skateboard.	A man gets a skateboard up on a big rock.	2
A man is eaten by a shark.	A man is steering his ship out at sea.	2
Men taking pictures of women at the beach.	One woman taking a picture of a second woman as she leans on a table.	2
The roller blade wheels are square.	A man wearing black pants rides along a concrete ledge on rollerblades.	2
The players are playing basketball.	A game of rugby in which 2 players are attempting to stop there opponent from catching a ball in midair.	2
A dog tries out frozen water.	Dog running through the snow.	2
The dog is swimming.	Dog running through the snow.	2
The woman is in her teens.	An elderly women is sitting in a chair on one side of a room with a group of musicians, including a cellist and guitar player, and on the other side of the room, a group of people are sitting on chairs.	2
a cow moo's	A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.	2
A man is dancing thru the field.	A man wearing a kilt has thrown a large pole.	2
The kids are in a classroom	Kids out in front of a building doing sightseeing.	2
A naked man in a bar.	A woman is lying on her stomach on a white pillow and crying.	2
The women are beating each other up with their bare fists.	Women in red are performing with nun-chucks.	2
2 women are talking	Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building.	2
The young boy went swimming.	A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.	2
The roller coaster ride is empty.	This is a twisting, turning roller coaster ride, filled with people.	2
A man is riding a unicycle.	A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on his mouth.	2
A man is practicing a karate move.	kid practicing karate move	2
The young man is 60 years old.	A young man waits on a bench with his bag behind a few advertisements in London.	2
The kids are at the beach in the sand.	Some children are playing soccer in front of a large wooden door.	2
All of the lights are dimmed.	Rock band on stage immersed in light show.	2
Sasquatch is strumming a wicked bass solo.	A guitarist, a drummer, and another band member are performing on stage with red lights on the background.	2
A man has dropped a ball.	The Sooner football player carrying the ball is trying to avoid being tackled.	2
The woman is running down the path, jogging with earphones in her ears.	A woman with a black purse and a red coat is sitting on a pillar of concrete.	2
The moment the fan saw the light	A concert with a blue shirted boy in the front and light shining in the back	2
The moment has it's fan	A concert with a blue shirted boy in the front and light shining in the back	2
The man is eating a taco in the middle of the ocean.	A man in a shirt and tie speaks to a group as an older woman holding a cup of coffee looks on.	2
A group of men are indoors watching football while it snows outside.	Three women talk to each other next to another woman sitting on a motorcycle.	2
A man is laying on the couch as he talks on the phone.	Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone.	2
The cops are sitting in a donut shop.	A group of uniformed officers in a street wearing a mixture of gas masks and face shields.	2
A restaurant is preparing and serving grilled food.	Street vendors preparing and serving grilled food.	2
a man sleeps in bed	A man dressed in a surfing shirt and blue and white shorts skillfully guides his yellow board with its multicolored sail over the crest of an ocean wave, flipping over in the process.	2
A woman swims by herself through the waves.	A male windsurfer surfing on some blue waves with his yellow surfboard and red and white sail it looks as though he is about to fall into the water because he is suspended in the air sideways.	2
Some people are sitting in a lounge.	A crowd watching a duo in blue dance on a stage.	2
A woman is using what looks to be a fax machine.	A man is using what looks to be a fax machine.	2
A child is performing brain surgery.	A child in a blue and white striped shirt crosses his arms and smiles while standing on red carpeted stairs.	2
An Asian man walks his dog on a rainy afternoon.	An Asian man walks a three-wheeled pedal card fully of white bags.	2
The man is making noise and bothering others.	An Asian man is praying at a Buddhist temple.	2
The band is playing music at a large venue	A band performing at a local bar or club.	2
Two men are playing soccer in the field.	Two young men climb a tree overlooking a rural setting, with one of them out far on a limb and clutching a white helmet.	2
a boy swimming in the ocean	A boy in shorts doing a skateboard trick.	2
A man and woman are on a boat in the middle of the sea.	A man looks at an iPad on a subway, while a beautiful women reads a book.	2
a dog runs far	A young man in a straw hat, jeans, and a plaid shirt sweeps dust from stone steps in front of a stone building.	2
The group of people are scuba divers.	A group of people wearing white robes with flame pattern posing for a picture at some sort of festival.	2
A dog sells a woman a hat.	A woman sits in a market where she sells goods with her dog.	2
Two workers with leaf blowers blow leaves at each other for  fun	Two workers with leaf blowers blow orange leaves off patches of grass next to a wet sidewalk.	2
Boy playing in the sandbox	A small boy wearing a blue shirt plays in the kiddie pool.	2
The men are sleeping	Men work on a city street.	2
Guy sitting on fence.	Workers wearing orange vests work on fence.	2
A fat woman is topless.	A fat woman wearing faint blue top is blowing soap bubble.	2
A boy is swimming in the ocean.	A man is swimming with a little girl wearing a pink life jacket in an indoor pool	2
The man is chopping wood with a hammer.	Man chopping wood with an axe.	2
A man with a walking stick is next to the street.	An older gentleman wearing a hat is walking on crutches next to a busy street.	2
These two men are relaxing by the pool.	Two workers stretch the canvas of the advertising billboard for free range chickens to be appended on a billboard.	2
A cowboy is swimming in the arena	A young cowboy is riding bucking bronco in an arena.	2
A young woman drank a lot of soda.	An elderly man is smiling while sitting in front of a row of soda cans.	2
The bubble machine makes candy.	A toddler, sitting next to another girl who is slightly older, is using a bubble machine to blow a large bubble into the air.	2
The two men are back at the office.	Two men are standing in a freshly razed field at the boundary of a forest, while a bulldozer sits idling nearby.	2
People are playing baseball.	Two soccer players are going after the ball.	2
the boy  was listening to music	An elderly man talking to a young boy by a table of produce.	2
the musician is at home sleeping	The guitarist performs a rocking solo.	2
The basketball players are playing ball.	Three adults are working in a garden near a fence in the yard.	2
They bike around together laughing gleefully	A group of people, mostly in straw hats, follow a man onto a beach covered with many large rocks.	2
A dog is being groomed at a parlor.	A longeared dog running in the grass.	2
The husband mows the lawn.	The guy in the black jacket is standing on his hand on a checkered rectangle.	2
The kid is standing on two hands in the street.	A man stands on one hand in the street while a crowd watches.	2
The child is swimming at the pool.	A child buried in the sand.	2
The child is dead.	A child buried in the sand.	2
The girl runs through the grass outside her school.	A little girl with pointy pigtails is sitting in the sand on the beach.	2
A man in a gray shirt is outdoors.	A man in a gray shirt and green tie is working with his computer at his office desk.	2
a man is suntanning on a cave	A man is riding a bicycle in the street.	2
A girl is having a tea party in her room.	A young boy plays on a pile of rocks.	2
The man is running around his house.	One man cutting through ice on a cold day.	2
both men were stuffing their faces	A laughing man is sitting in a camp chair with his arms outstretched, while a man in a black shirt next to him is stuffing his face.	2
Three small dogs run on the moon	Three dogs run through the grass while wearing colored shirts.	2
The man is sleeping in his jail cell.	A man in a pinstriped suit walks down the street and does n't notice the quirky poster on his left.	2
The women are angry.	A woman wearing a gray jacket and visibly laughing is seated next to a woman who is wearing a dark blue sweater and is smirking.	2
A woman with a red hat sets up a camera on a tripod	A woman with a blue hat and blue and red jacket setting up a camera on a tripod.	2
The man is indoors.	A person rides a motorbike on a dirt path surrounded by trees.	2
A woman grabs a man's crotch during a protest.	a man grabs his crotch during a political demonstration.	2
A dog and cow are chasing the horse.	A dog and a cow play together inside the fence.	2
A young man is grilling fish in his underwear.	A young man, wearing a white shirt, prepares hotdogs on a small grill.	2
People look their reflection in a regular mirror.	People looking at their reflection and the reflection of a city in a long irregular shaped mirror	2
Two boys are playing together.	A girl in a blue shirt hugging a girl also in a blue shirt.	2
Four friends at the beach pose in the water.	Three males and one female are posing for a photograph with snow on the ground and mountains covered with green trees and snow in the background.	2
A woman is sitting at her desk.	She is standing outside a building.	2
A man is watching another man skateboard at a park.	A man is riding his dirt bike through the air in the desert.	2
they can all see	"Three people wearing black blindfolds near a ""Salvar O Planeta"" sign."	2
A man throws rocks at a wall.	A man spraying water onto a former piece of architecture that is being taken down by a piece of machinery.	2
The building is being painted.	A demolition crane tearing down what is left of a building with a man standing on a platform spraying water.	2
a woman with two blue cars sits in a parking lot	A young blond girl is eating her frozen snack while sitting on a bench next to a red stroller.	2
A man is yelling at his son about the broken television behind them.	A group of people building gingerbread houses.	2
Everyone is sleeping.	A group of people sitting and knitting.	2
The girl in a blue dress is standing in the rain with an umbrella.	A young Asian girl is wearing a pink dress and holding an umbrella even though it is not raining.	2
the woman is cooking in the kitchen	A young woman wearing a yellow sweater and black pants is ice skating outdoors.	2
The women are driving down the road.	A young lady and group of younger girls watching a group of military men drive down the road at a parade.	2
A woman is tying her shoes	A woman standing in front of a large tank at an aquarium turns around to look at the photographer.	2
the kid is on Saturn	A boy in sports themed pajamas is in front of a Christmas tree.	2
Man out for a jog.	A young man wearing a hoodie, pants, and athletic shoes is sitting on a red lounge chair and watching hi-def tv.	2
the man is standing in the kitchen	A man is laid back in front of a tv.	2
A boy is doing homework.	A little boy playing outside on the cement.	2
A man cooking at home.	Woman running in a park while listening to music.	2
Two men are getting ready to play basketball.	Two hockey players on opposing teams, one in a red and white jersey and one in a blue and black jersey, are standing on the rink.	2
A woman is measuring out wine from a barrel.	An Asian woman in a hat is measuring food from barrels with a ladle into a smaller metal pan.	2
A lady is filming the party.	A lady in a blue and white tube top takes her own picture with a disposable camera while another lady with a bag flashes a piece sign in the background.	2
The woman is playing baseball.	A man preparing to bat in a baseball game.	2
the girl is wearing a black dress and a blue purse	Woman in a blue dress and carrying a black purse, rides a scooter down the street.	2
The boy is not wet.	Boy with red shorts getting soaked with water.	2
A woman is in the shower.	A woman in a red shirt and white skirt playing tennis.	2
The person is taking a nap in their bed.	A tennis player in blue shorts and a white shirt making an aggressive backhand swing towards the tennis ball.	2
The guy is hunting in the woods.	A man working at the top of a telephone pole.	2
The stockings are white and purple.	A person wearing orange stockings and chunky boots has her legs stretched out on the grass.	2
A nighttime scene of an apartment building.	A nighttime street scene of a restaurant.	2
the guy is dancing to Michael Jackson	A man in a gray sweatshirt using a power saw.	2
two women arm wrestle in a bar	A female marathon runner wearing a red headband, a red tank top and black shorts jogging down a paved road.	2
A dad and his kid is fishing in the middle of the Pacific ocean.	The man in the brown shirt is holding the hand of the long-haired child in front of a painting.	2
People eat chunks of meat.	A group of people in black outfits drinking beer.	2
There is only one person present.	Three women are dressed in ninja costumes.	2
The group are celebrating Christmas.	A group of people at a 4th of july celebration, with one man standing on a stage with american flag colored decorations around him.	2
A group of women are soaked from the rain.	Female beach volleyball players on either side of a net, with one looking to spike the ball as her teammate watches with the blue sky in the background.	2
The two dogs are resting in the field.	Two dogs are playing catch in a field.	2
A woman and her dog are eating breakfast.	Man and a child at an exhibit booth looking at something.	2
No one is windsurfing.	A windsurfer catching air with water streaming off of the board.	2
The people are all running very fast in the Boston Marathon.	Many people have decided to take a rest on the steps.	2
A man missing his legs sits in a wheelchair.	A man is standing on his tip toes in front of two people sitting in the car.	2
The woman is in a wheelchair.	An elderly woman in a white jacket walking past a brick wall using a cain to support herself.	2
Some firemen are putting out a fire.	A group of firemen and officials prepare to turn a car right side after a crash.	2
A woman is talking on the phone in her bedroom.	A woman in an apron is looking for bread.	2
Two women are talking.	Two men at a table having drinks.	2
A boy is pushing the scooter.	A girl in a pink sundress pushes a scooter past a row of orange construction barrels.	2
A child is sitting next to a computer desk.	A child is sitting on the grass by a concrete storm drain.	2
A man is singing with a band.	A man is playing drums with a band.	2
A couple dancing to music	A couple walking down the street.	2
A woman lays on a pool float.	A woman fell in the water after riding a wakeboard.	2
The boy is walking around	Right leg in a brace, a young boy lies on the couch while using his cellphone.	2
The girl is jumping in the air, while she is at the beach.	A girl wearing khakis and a red sweatshirt is jumping in the air, while she is in the forest.	2
boy swimming	A boy in a swing.	2
A man writes in a journal.	A dark headed woman picking out a green flower from a large bucket full of them.	2
A few people walked in random directions.	a mass of people looking and moving in the same general direction.	2
The BMX rider is at home watching the X games.	A BMX rider is in midair while on a dirt trail.	2
A soccer team is standing outside of a building.	Six males, four with shirts and two without, have taken a break from their construction work on a building.	2
Two young people are angry.	A young couple sitting in a black chair smiling.	2
A man in a colorful shirt and a lady in a white blouse give candy to people.	A man in a colorful shirt and a lady in a white blouse sign copies of books for people.	2
The men are playing wind instruments.	Two construction workers are working in front of a wall which has a bunch of names carved into it.	2
a cat meows	A man is standing inside a building under construction filled with bricks and various tools.	2
Two men lie in the sand of a desert.	Two men playing in a beautiful lake surrounded by mountains.	2
The tennis ball is clean.	A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.	2
a man alone at home	A man standing alone in a park.	2
The person is jumping on a trampoline.	A person lies in a grassy area near a building.	2
Two small children are sitting down, eating ice cream.	Two small children walk away in a field.	2
Kids are walking through a mall.	A boy in red and a girl pink are walking through a low cut field.	2
A team of polo players are practicing with their horses.	several people are bike riding.	2
The man is selling pirated DVDs	A man with long red-hair, a brown shirt and plaid pants sells fruit in a market.	2
The woman is frowning.	A smiling woman and man are seated in front of a microphone in a music studio.	2
A biker rides next to the ocean.	A biker wearing glass and a backpack rides near a fountain.	2
Luchadores force all other athletes off a competition field with their furious grappling.	A young gymnast looks back at the audience, trying to catch a glimpse of her proud parents before starting her performance.	2
A gal is holding a stuffed dog.	A woman stands smiling while holding a stuffed cat.	2
Nobody has a trumpet	A boy plays his trumpet during a performance with his band.	2
A kid looks out of a window.	A child with blond-hair looking out of a screen door.	2
A child is being held by his mother at the mall.	A child with blond-hair looking out of a screen door.	2
The fighter plane is in Korea.	A fighter jet plane is landed outside Notre Dame cathedral at night.	2
A couple is throwing food at passing cars.	A couple about to kiss somewhere.	2
The ballerina is sleeping soundly.	A ballerina standing on the toes of one food with one arm up in the air and one leg lifted behind her.	2
The man in the black hat is sitting on a park bench watching the kids swing.	A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.	2
The woman is standing.	A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background.	2
Dogs are chasing bunnies in a field.	The dogs run a race at the track.	2
The performer is naked.	Performer who is wearing 2 hats a scary mask and a black and white robe.	2
Actors are on Broadway.	Four entertainers dressed in Roman style garb are performing at an outdoor theater.	2
The group of adults are crying hysterially.	"A group of young adults with ""X"" on their hands, smiling."	2
The young white girl is sitting by the sidewalk.	A young white girl is standing on the street in front of a storefront, dressed up in red with a hoop decorated with card symbols.	2
A Ferrari goes through the drive-thru.	This off-roading driver has tipped his truck.	2
The man is running down the street.	A man in a khaki jacket and ball cap walks down the street.	2
The men are naked.	"A speaking woman at a podium has the phrase ""Armenian Genocide"" written on it, flanked by priests and men in suits."	2
People shopping for junk at a flea market.	People shopping for vegetables at an outdoor market.	2
Three middle aged men work at desks.	Four young children appear in this image wearing pants and shirts while they lounge in the room.	2
Camel rider going over a bump.	Motorcycle rider going over a bump.	2
Three women are sitting on a blanket.	Two bearded men sit side by side.	2
The people are seated next to a building.	Five individuals standing on grass next to a brick building, holding their own string instrument.	2
The boy is in his room.	The small boy is running through a grassy area.	2
Two people are hiking up a mountain.	Two people bicycle on a path separated by small mountains.	2
Children are sleeping.	Four children are sitting at a table eating breakfast.	2
A woman is climbing a mountain.	A woman wearing a white coat skis down a snowy hill.	2
Two men are pointing guns at each other on a dusty trail.	The man in the black shirt is skateboarding on the front steps of the building.	2
people were chasing the white dressed angel	A lady in a white religious gown is being questioned by many people as she walks.	2
nobody seen her when the angel came on earth	A lady in a white religious gown is being questioned by many people as she walks.	2
Lady in red storms out of a cafe.	A lady in pink long-sleeved blouse is holding a pink bag in her lap as she reaches something to the guy next to her.	2
A woman in a red jacket and sunglasses eats the camera	A woman in a red jacket and sunglasses smiles at the camera while another woman unloads skis from a vehicle.	2
The dogs are sitting still.	Sled and dogs headed towards another group of sled dogs with one loose.	2
Two men enjoy a nice canadian maple syrup on their pancake breakfast.	Two men are wrestling; one has the maple leaf of the Canadian flag on his uniform.	2
Students are inside of a movie theater	A lady teacher warning her students about their behavior in a museum setting, and inviting them to be quite.	2
There are twelve police cars in the photo.	Blue, red, yellow, and white are the dominant colors of a picture of two police vehicles outside of what looks like a smoke roll playing vehicle, a motorcycle in between the two cars with 6 people in the picture.	2
A group of swimmers are sitting on an airplane on the way to their swimming competition.	A group of swimmers jump into a pool.	2
A man in a white turban holds an empty basket.	A man in an orange turban is standing in front of a basket containing a pack of marlboro reds and other small objects.	2
The person is sitting at home watching television.	The person is fishing, with waves splashing around him.	2
Children playing in the park.	Two boys with blond-hair, wearing striped shirts on a bed.	2
Three women play the drums	Three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums.	2
two men are sitting by the pool next to machinery on the boat	Two men in workers' gear and colorful hard hats standing on board what appears to be a large ship, next to some very large machinery.	2
A lady is eating sushi at her desk.	A brown-haired lady carries a reusable bag and holds a coffee in one hand and a cookie in the other.	2
The fans are wearing blue and red for a sporting event.	Fans are dressed in green and yellow for a major sporting event.	2
The chef is at home, fast asleep.	A chef is cutting a piece of fish with a chefs knife.	2
the crowd is on planet mars	A crowd of people in a stadium decked out in white, yellow and green cheer and clap for the team below.	2
The woman is playing the piano on the stage.	A female guitarist is playing on stage.	2
A man reading a book.	A man scales a rock climbing wall.	2
A father is walking the dog with his children.	A family with young children sits down outside.	2
The bridge is metal	Construction workers are standing upon on a wooden bridge.	2
the woman is surfing	A woman getting her face painted for a parade.	2
One of the men is actually sasquatch.	Three men dressed in suits and ties clasps their raised hands while standing in front of corporate logos.	2
There are three men sitting at a poker table.	Three men dressed in suits and ties clasps their raised hands while standing in front of corporate logos.	2
The officers are actually security guards.	Two middle-aged police officers watch over a parking lot, at night.	2
The mall cops patrol a store.	Two middle-aged police officers watch over a parking lot, at night.	2
A person is ice skating.	A person doing a trick on a snowboard.	2
The snowboarder is sitting in a jacuzzi.	A snowboarder is grinding down a long concrete rail.	2
The child is sitting on a bed.	A barefoot child climbs at the jungle gym.	2
The women are standing and frowning.	A woman and a young girl are sitting down and smiling.	2
People are moving a sofa.	A father and son are in a field of yellow flowers.	2
A young girl with glasses holds two ice cream cones.	A young girl with glasses sits and holds two American flags.	2
Four male humans crossing the road.	2 women and 2 girls crossing the road	2
the group is at home	A group of people are sight seeing and taking pictures.	2
The man is sitting on the curb with a woman.	A gentleman standing on steps getting his picture taken by a girl wearing a dress.	2
People are looking inside	A crowd of people is looking at something outside of a Gap store.	2
The boy is asleep.	A little boy playing with two rubber chickens.	2
The man is sitting on a chair in his house.	Man in puffy yellow jacket on skis on a mountain.	2
The woman is wearing a bathing suit.	A woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building.	2
Two dogs sleep in a dog bed.	The two dogs are playing catch with a red Frisbee.	2
A happy couple share a picnic basket for a lunch date at the park.	There are many people in a large room with a lot of furniture with tags on them.	2
Four men and a young boy are at the lake swimming.	Four men and a young boy are at a table set up for wood crafts.	2
Nobody is doing laundry at the laundromat.	A woman attends to her laundry in a laundromat.	2
Five foxes are looking at each other.	The bears are facing each other with their mouths wide open.	2
The man is last place in the race.	A man leads the way in a race.	2
The children are studying fractions inside the classroom.	The children play in the pool.	2
A girl rides a scooter through the grass.	A motocross rider rides in the air over a bar.	2
The man in playing a bango inside a bar.	A man in a black hat, standing on the street while playing an electric guitar and singing.	2
A man asleep on his snowboard.	A guy gettin lots of air on a skateboard at a skatepark	2
A race car driver is doing laps in front of other people.	A biker with a blue jacket, black pants, and white helmet driving on dirt while people watch.	2
