index	premise	hypothesis	label	hypothesis_neg	neg_label	tag
586	A group of people celebrating in the street.	There is a celebration going on	0	There is no celebration going on	2	negation
587	Asian class posing for picture with Stormtrooper	The stormtrooper is being photographed.	0	The Stormtrooper is not being photographed.	2	negation
588	A woman is using a small scissors on a large net.	A woman is using small cutting utensils on a large net.	0	A woman is not using small cutting utensils on a large net.	2	negation
589	Beautiful girl in white dress steps into the sunlight.	A girl is wearing a dress.	0	A girl is not wearing a dress.	2	negation
590	A person with braided hair and a gray sweatshirt covers his mouth and sits in a purple chair.	A man sits in a purple chair.	0	A man doesn't sit in a purple chair.	2	negation
591	A man playing fetch with two brown dogs.	A man has two dogs playing.	0	A man doesn't have two dogs playing.	2	negation
592	an elderly woman walking down the street.	An elderly woman is shown outside.	0	An elderly woman is not shown outside.	2	negation
593	Two men in black jackets behind a white handrail.	The two me are wearing black jackets	0	The two me are not wearing black jackets	2	negation
594	Two people wearing green raincoats sit in blue bleachers that are otherwise empty.	Two people sit on bleachers	0	Two people don't sit on bleachers	2	negation
595	Woman wearing green pants, blue jacket and sunhat carrying food in baskets that are hung over her shoulder.	They walk along carrying a bounty of food	0	They don't walk along carrying a bounty of food	2	negation
596	A man with a large mustache watches the barber conduct his work through the mirror that faces him.	Two people are near each other.	0	Two people are not near each other.	2	negation
597	A man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean.	A man falls down onto a bed	0	A man doesn't fall down onto a bed	2	negation
598	A man wearing a white shirt and black pants is falling down onto a bed in front of a window facing the ocean.	A man falls down onto his bed	0	A man doesn't fall down onto his bed	2	negation
599	"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red ""21""- round the corner of a tree-lined track."	There are two people and two motorbikes in this picture.	0	There are no two people and two motorbikes in this picture.	2	negation
600	A topless man straps surfboards on top of his blue car.	A man secures surfboards on his car.	0	A man doesn't secure surfboards on his car.	2	negation
601	Two young girls in bathing suits laugh while standing under a fountain of water.	Two young girls are standing under a fountain of water.	0	Two young girls are not standing under a fountain of water.	2	negation
602	You can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere	There are three boys standing.	0	There are no three boys standing.	2	negation
603	A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.	the guy in funky clothes is on the bench	0	The guy in funky clothes is not on the bench	2	negation
604	A man has wrecked his racing bike in the dirt with five spectators behind a rope.	A man has damaged something.	0	A man has not damaged something.	2	negation
605	A sculptor wearing yellow headphones is cutting stone.	The man is sculpting a piece of art.	0	The man is not sculpting a piece of art.	2	negation
606	Police officer wearing a brown uniform talks into a wireless microphone.	A police officer is moving his mouth.	0	A police officer is not moving his mouth.	2	negation
607	A man and two kids standing in front of an ancient building.	A man is standing with two kids.	0	A man is not standing with two kids.	2	negation
608	A yellow dog is running in a field near a mountain.	A yellow dog is running outdoors.	0	A yellow dog is not running outdoors.	2	negation
609	A man with a pinstriped shirt and tan slacks adjust his tie while looking at a apple laptop computer.	A man adjusts his new tie in front of a laptop	0	A man doesn't adjust his new tie in front of a laptop	2	negation
610	A man in a red sweatshirt pushes a giant redwood tree in a snowy forest.	A man pushes a redwood tree in the forest.	0	A man doesn't push a redwood tree in the forest.	2	negation
611	A man in a construction vest is looking at a vehicle.	A construction worker is looking at a car.	0	A construction worker is not looking at a car.	2	negation
612	A beautiful bride walking on a sidewalk with her new husband.	A couple walks outdoors together.	0	A couple doesn't walk outdoors together.	2	negation
613	A dog catching a Frisbee.	An animal is making contact with a toy.	0	An animal is not making contact with a toy.	2	negation
614	A young boy wearing red Croc sandals climbs a tree with healthy, green leaves.	A young boy wears sandals.	0	A young boy doesn't wear sandals.	2	negation
615	A person with brown hair wearing a blue shirt and purple bandanna around their neck is chiseling a design into a round, brick pillar.	The person wearing a blue shirt is chiseling on a brick pillar.	0	The person wearing a blue shirt is not chiseling on a brick pillar.	2	negation
616	A gymnastics performer is in mid-pose as she completes her jump.	A gymnast is completing her jump.	0	A gymnast is not completing her jump.	2	negation
617	A chef in a kitchen cuts a piece off of a large slab of rotating meat on a stick, probably lamb.	A human being is in a kitchen with meat in front of him.	0	A human being is not in a kitchen with meat in front of him.	2	negation
618	Little boy getting soaked playing an outdoor water game.	A little boy is wet outside.	0	A little boy is not wet outside.	2	negation
619	Man recording a video of a woman.	A woman is being recorded by a man.	0	A woman is not being recorded by a man.	2	negation
620	Three bridesmaids in blue dresses hold the train of a bride's wedding dress.	The bridesmaids are assisting the bride.	0	The bridesmaids are not assisting the bride.	2	negation
621	Two NHL hockey players prepare to fight over a puck during a face off.	The players vigarously compete in their game.	0	The players vigorously don't compete in their game.	2	negation
622	a snowboarder wearing a green hat is riding along a metal railing.	A snowboarder is riding along a metal railing while wearing a green hat.	0	A snowboarder is not riding along a metal railing while wearing a green hat.	2	negation
623	People checking out a car with all its doors open in a parking lot in the city.	A car door has not been shut	0	A car door has not not been shut	2	negation
624	A woman smiles while she opens a red package in front of a table with yarn and glass of liquid on it.	The woman is smiling at a package.	0	The woman is not smiling at a package.	2	negation
625	Group of men standing in a meeting room, talking.	A group of men are talking to each other.	0	A group of men is not talking to each other.	2	negation
626	The blond girl is opening her drink as she speaks to the person with her.	The girl is talking to someone while opening a drink.	0	The girl is not talking to someone while opening a drink.	2	negation
627	Some folks pick out the food they want at a party.	The party-goers are perusing the buffet.	0	The party-goers are not perusing the buffet.	2	negation
628	A man siting on a bench with a briefcase.	The man is outdoors with his briefcase.	0	The man is not outdoors with his briefcase.	2	negation
629	A man in a business suit screaming at the camera.	A man is yelling at a camera.	0	A man is not yelling at a camera.	2	negation
630	Red capped male dressed in white shirt and dark shorts is standing on small green boat located water in tall grassy bank.	A man wears a white shirt.	0	A man doesn't wear a white shirt.	2	negation
631	The basketball player in red is challenging the player in white for the ball.	People are playing basketball.	0	People are not playing basketball.	2	negation
632	a boy in a blue uniform is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.	Three boys are holding gloves.	0	Three boys are not holding gloves.	2	negation
633	A man throws his young boy playfully into the air standing on a beach.	A man and a boy is playing on the beach.	0	A man and a boy are not playing on the beach.	2	negation
634	A man throws his young boy playfully into the air standing on a beach.	A Dad and son is playing on the beach.	0	A Dad and son is not playing on the beach.	2	negation
635	A man and a woman jumping with a lake in the background.	There is a man and a woman.	0	There is no man and a woman.	2	negation
636	A boy on a skateboard in midair	The boy is riding his board.	0	The boy is not riding his board.	2	negation
637	Three men in orange suits are doing street repairs at night.	Three men are doing repairs.	0	Three men are not doing repairs.	2	negation
638	Three men in orange suits are doing street repairs at night.	The men are repairing the streets.	0	The men are not repairing the streets.	2	negation
639	A group of students are walking through the campus.	A group of people are walking together	0	A group of people are not walking together	2	negation
640	In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.	The men felled the log in a snowy area.	0	The men didn't fall the log in a snowy area.	2	negation
641	A man in shorts and flip-flops is carrying a bag on his back.	A man is carrying a bag on his back.	0	A man is not carrying a bag on his back.	2	negation
642	A couple walks hand-in-hand in front of Victorian-style building and a wall with a large sleeping baby painted on it.	A couple walks in front of a building.	0	A couple doesn't walk in front of a building.	2	negation
643	A dog with a ball in his mouth running down a road covered in leaves.	A dog running down a leaf covered road carrying a ball in it's mouth	0	A dog running down a leaf covered road carrying a ball in it's not mouth	2	negation
644	A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre.	A man is near a building labeled Lottery Ticket Centre.	0	A man is not near a building labeled Lottery Ticket Center.	2	negation
645	A dog biting a man's rear	An animal is biting a man.	0	An animal is not biting a man.	2	negation
646	Three children are shooting guns in the woods.	Three children are in a forested area.	0	Three children are not in a forested area.	2	negation
647	A man wearing a blue shirt, black apron, eyeglasses, and a mask is handling food in a tray.	A person in appropriate institution protection works with meals.	0	A person in appropriate institution protection doesn't work with meals.	2	negation
648	A woman and two children walk along stones to cross a river while a dog swims.	People are crossing a river.	0	People are not crossing a river.	2	negation
649	A male baseball player for the baseball team The Indians prepares to catch a ball.	The male baseball player belongs to the Cleveland Indians.	0	The male baseball player doesn't belong to the Cleveland Indians.	2	negation
650	A boy in a green shirt surrounded by toys and another boy, wearing a blue shirt with penguins, to his left	Two boys are surrounded by toys.	0	Two boys are not surrounded by toys.	2	negation
651	Man in traditional costume holding small guitar with a silver bike behind him.	A man is holding a musical instrument.	0	A man is not holding a musical instrument.	2	negation
652	Two smiling young girls wearing plastic sunglasses are lying on the grass.	Two girls smile wearing sunglasses.	0	Two girls don't smile wearing sunglasses.	2	negation
653	A young boy wearing an orange jacket is sitting on a log in the fall.	A boy is sitting on a log.	0	A boy is not sitting on a log.	2	negation
654	A young face-painted boy is sucking his thumb.	The boy has his face painted.	0	The boy doesn't have his face painted.	2	negation
655	A musical group performs on stage with their instruments.	A group performs with instruments.	0	A group doesn't perform with instruments.	2	negation
656	A female acrobat with long, blond curly hair, dangling upside down while suspending herself from long, red ribbons of fabric.	An acrobat is hanging upside down.	0	An acrobat is not hanging upside down.	2	negation
657	A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.	A young boy is honoring fallen veterans.	0	A young boy is not honoring fallen veterans.	2	negation
658	A black dog is swimming with a ball in his mouth.	The black dog is swimming.	0	The black dog is not swimming.	2	negation
659	A woman in a blue jacket dragging a child on a sled through the snow.	There is a child on a sled.	0	There is no child on a sled.	2	negation
660	A group of men, women and children are standing around.	A group of people are standing around.	0	A group of people are not standing around.	2	negation
661	A singer wearing a leather jacket performs on stage with dramatic lighting behind him.	a singer wearing a jacker performs on stage	0	A singer wearing a jacket doesn't perform on stage	2	negation
662	A group of men, women and children are standing around.	A large group of people are standing around.	0	A large group of people are not standing around.	2	negation
663	A woman and two men, that are dressed professionally, are having a discussion.	A woman and two men are talking amongst themselves.	0	A woman and two men are not talking amongst themselves.	2	negation
664	People buy fruits and vegetables at an open air market.	People buy produce at a market.	0	People don't buy produce at a market.	2	negation
665	A group of travelers pulling suitcases are making their way down a platform.	A group of people are pulling suitcases.	0	A group of people are not pulling suitcases.	2	negation
666	A woman wearing glasses and a brown beanie next to a girl with long brown hair holding a book.	A woman is wearing glasses and a brown beanie.	0	A woman is not wearing glasses and a brown beanie.	2	negation
667	"Two uniformed women, wearing jackets saying ""Politie"" on the back, are looking at each other in front of a crowd."	The women are wearing clothes	0	The women are not wearing clothes	2	negation
668	A man and woman ride in a mule drawn carriage as the driver points out landmarks.	A man and woman ride a mule	0	A man and woman don't ride a mule	2	negation
669	A group of young cheerleaders in pink and white costumes perform on a stage.	Cheerleaders are performing.	0	Cheerleaders are not performing.	2	negation
670	Two women are sitting at a table, one is holding a baby and another child is playing on the floor.	There are two women and two children.	0	There are no two women and two children.	2	negation
671	A little white dog runs outside, their ears blown back in the wind.	There is an animal outside.	0	There is no animal outside.	2	negation
672	Army men grilling a lot of meat while his troop looks on.	Some of the people here have been in the armed forces.	0	Some people here have not been in the armed forces.	2	negation
673	A woman with a navy sweater is looking through a blue telescope at a statue of a dinosaur.	The woman is using a magnification device	0	The woman is not using a magnification device	2	negation
674	A woman is cutting into a sandwich while sitting at an outdoor table.	The lady on the table is cutting her sandwhich	0	The lady on the table is not cutting her sandwich	2	negation
675	A group of people gather around a truck.	A group are gathered near a vehicle.	0	A group is not gathered near a vehicle.	2	negation
676	A young woman with a black hat and red and black jacket, swings on a red-orange ball attached to a blue rope.	A young woman is playing on a red-orange ball attached to a blue rope.	0	A young woman is not playing on a red-orange ball attached to a blue rope.	2	negation
677	a green and white trolley car with an advertisement of coffee on the side and front of it in a city.	A trolley making it's way through a city.	0	A trolley making it's not way through a city.	2	negation
678	A man in an argyle shirt bends down to look at the goodies through the glass in an Asian shop.	The adult is shopping for a gift.	0	The adult is not shopping for a gift.	2	negation
679	A young girl wearing a flora shirt is sitting in tub in brown water with the remnants of a snake.	A girl is sitting in a tub with part of a snake.	0	A girl is not sitting in a tub with part of a snake.	2	negation
680	Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.	Pebbles are being thrown into a body of water by two boys.	0	Pebbles are not being thrown into a body of water by two boys.	2	negation
681	Young children play on scaffolding.	Young people play on scaffolding.	0	Young people don't play on scaffolding.	2	negation
682	A man in a yellow shirt and helmet mountain biking down a dusty path.	A man is biking down a path.	0	A man is not biking down a path.	2	negation
683	A young boy in a red shirt is wearing a helmet while sitting on a motorcycle.	A young boy wears a helmet while on a motorcycle.	0	A young boy doesn't wear a helmet while on a motorcycle.	2	negation
684	She is cooking food while wearing a dress.	A woman in a dress cooks food.	0	A woman in a dress doesn't cook food.	2	negation
685	A young blond child wearing a black shirt and white shorts looks at the sky with a bridge and water in the background.	A child looks at the sky outside.	0	A child doesn't look at the sky outside.	2	negation
686	A young boy sits on the shoulders of a woman, who is carrying a young girl.	A woman is with a couple of children	0	A woman is not with a couple of children	2	negation
687	A man in a red shirt is walking towards a blue market stall.	The man is walking in a direction.	0	The man is not walking in a direction.	2	negation
688	A balding, heavyset man and a dog are resting beside an ornate monument featuring a greenish statue of a man and a woman.	There are both people and animals in this picture.	0	There are now both people and animals in this picture.	2	negation
689	People with bags walk along a dirt road in front of a green building.	People are walking outside.	0	People are not walking outside.	2	negation
690	Two workers, one in a ditch and one standing on the ground, are working in front of a house.	The workers are standing on the ground	0	The workers are not standing on the ground	2	negation
691	Two workers, one in a ditch and one standing on the ground, are working in front of a house.	The workers are working infront of the house	0	The workers are not working in front of the house	2	negation
692	People buy fruits and vegetables at an open air market.	People are shopping for many things at the market.	0	People are not shopping for many things at the market.	2	negation
693	A woman wearing a red hat and red bandanna followed by a man in a red bandanna.	The people are wearing bandanas.	0	The people are not wearing bandanas.	2	negation
694	A man is spinning a little girl in the air above his head.	A man is carrying a little girl off the ground.	0	A man is not carrying a little girl off the ground.	2	negation
695	Two men, wearing identical shirts look into a classic car hood.	Two people are looking at a car.	0	Two people are not looking at a car.	2	negation
696	A woman in a striped shirt is walking a horse across a street.	A human and an animal are outdoors.	0	A human and an animal are not outdoors.	2	negation
697	Men at a party hanging out on the front porch.	There are men at the party.	0	There are no men at the party.	2	negation
698	A man is giving another man a haircut while three other guys stand around.	A guy is getting his hair trimmed.	0	A guy is not getting his hair trimmed.	2	negation
699	Two women are eating lollipops- the blond woman is wearing a button and the one with brown hair and a scarf has her eyes closed.	Two women are eating lollipops.	0	Two women are not eating lollipops.	2	negation
700	An older woman with short red-hair is preparing food in a kitchen.	An old woman is in the kitchen.	0	An old woman is not in the kitchen.	2	negation
701	A lady in a white tank and shorts fixing a wooden drawer.	The woman is wearing shorts.	0	The woman is not wearing shorts.	2	negation
702	A little girl drawing with chalk, on a chalkboard.	A young girl is drawing on a chalkboard.	0	A young girl is not drawing on a chalkboard.	2	negation
703	Four people walk across stepping stones in a body of water.	Four people are standing up.	0	Four people are not standing up.	2	negation
704	A woman looks at a picture and framing tools while standing in a sparse building with wooden floors and bare white walls.	There is a person in a room.	0	There is no person in a room.	2	negation
705	A man is performing for a group in front of a white house.	The man's performance was outside of a house.	0	The man's performance was not outside a house.	2	negation
706	Small girl riding in play car.	A girl is riding in a toy car.	0	A girl is not riding in a toy car.	2	negation
707	A well dressed elderly woman standing in front of a bus decorated with images of purple flowers.	A woman is standing in front of a well decorated bus.	0	A woman is not standing in front of a well decorated bus.	2	negation
708	Two guys playing soccer, one in red and the other in blue.	The men are playing soccer.	0	The men are not playing soccer.	2	negation
709	A man wearing a black jacket stands next to a body of water.	A person is outside near some water.	0	A person is not outside near some water.	2	negation
710	A man and two women are walking down a wooded path, the man is pushing a young child in a three wheel carriage.	A man and a couple of women take a walk.	0	A man and a couple of women don't take a walk.	2	negation
711	A man in green pants and blue shirt pushing a cart.	There is a man wearing cloths.	0	There is no man wearing cloths.	2	negation
712	A man in a red shirt and a man in a brown shirt smiling at the camera and holding up a sign.	Two men display a sign to the camera.	0	Two men don't display a sign to the camera.	2	negation
713	An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.	A probable blacksmith is welding a tool.	0	A probable blacksmith is not welding a tool.	2	negation
714	An old man, likely a blacksmith, is welding a tool, seen by the red hot scorching look of it.	An older man, probably a blacksmith, is welding a tool, seen by the red hot scorching look of it.	0	An older man, probably a blacksmith, is not welding a tool, seen by the red-hot scorching look of it.	2	negation
715	three teenagers wearing t-shirt run down the beach, with several other people in the background.	a number of young people run on a beach	0	A number of young people don't run on a beach	2	negation
716	An older woman is looking at herself in the mirror at a table with cosmetics.	the old lady looks into the mirror at the makeup table	0	The old lady doesn't look into the mirror at the makeup table	2	negation
717	People protesting age discrimination in an organized street rally.	People are standing in a street.	0	People are not standing in a street.	2	negation
718	Two men are loading bales of wheat on top of a high structure on a cloudy day.	There are clouds in the sky.	0	There are no clouds in the sky.	2	negation
719	Two basketball players on opposing teams, one in white, the other in red, are mid-game, running down the court, white-uniform player with ball-in-hand.	A group of people are playing basketball.	0	A group of people are not playing basketball.	2	negation
720	A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people	A raven haired woman is seen by the crowd holding a white opened umbrella.	0	A raven haired woman is not seen by the crowd holding a white opened umbrella.	2	negation
721	The dog is in snow, and has a stick in its mouth.	There is an animal outdoors.	0	There is no animal outdoors.	2	negation
722	A woman wearing purple and carrying a bag is walking out of a door.	A woman was indoors before walking outside.	0	A woman was not indoors before walking outside.	2	negation
723	A silver car is passing by the entrance of the Hotel Carmel, and several people are outside.	There are people outside the hotel.	0	There are no people outside the hotel.	2	negation
724	Four people wearing backpacks walking in a line along a mountain trail.	Four people are walking along a mountain trail.	0	Four people are not walking along a mountain trail.	2	negation
725	A man in a white shirt and gray slack hitting a golf ball on a golf course, with trees and power lines in the background.	A man is hitting a golf ball.	0	A man is not hitting a golf ball.	2	negation
726	A girl in a black skirt and blue dress is watering flowers.	The girl is giving the flowers some water.	0	The girl is not giving the flowers some water.	2	negation
727	Girls giving a presentation for a school class.	The girls are inside a school.	0	The girls are not inside a school.	2	negation
728	A choir of youths are singing.	a choir of kids are singing	0	A choir of kids is not singing	2	negation
729	A rugby player swings his leg back to punt the ball.	The person is playing rugby.	0	The person is not playing rugby.	2	negation
730	A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.	A woman is looking at something to her right.	0	A woman is not looking at something to her right.	2	negation
731	An obese white male wearing a blue shirt and khaki shorts sits in front of fountain all while gabbing on phone.	A man is talking outside on his phone.	0	A man is not talking outside on his phone.	2	negation
732	People are sitting in a cheery Mexican restaurant.	People are in an ethnic establishment	0	People are not in an ethnic establishment	2	negation
733	Two women sitting at a table with their hands together.	Two women are sitting down.	0	Two women are not sitting down.	2	negation
734	Two girls holding bags walking down the sidewalk.	Two females are holding sacks.	0	Two females are not holding sacks.	2	negation
735	Two construction workers perched on an I beam, assembling a building frame.	The men are working on something.	0	The men are not working on something.	2	negation
736	A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on.	A young woman stands near a stove.	0	A young woman doesn't stand near a stove.	2	negation
737	A man jumps off a cliff with a city view below.	Man jumps off cliff near city.	0	Man doesn't jump off cliff near city.	2	negation
738	A man in a black hat opens his mouth.	A person separates his upper and lower jaw.	0	A person doesn't separate his upper and lower jaw.	2	negation
739	Two young boys are playing in a fountain in a city plaza.	Kids are splashing around in a fountain.	0	Kids are not splashing around in a fountain.	2	negation
740	Two girls, one with dark hair, wearing glasses and red pants, the other with a blue shirt and jeans with blond-hair talking and walking down a sidewalk.	Two people are outside walking together.	0	Two people are not outside walking together.	2	negation
741	Uniformed group walks down a street.	A group of people walk down the street.	0	A group of people don't walk down the street.	2	negation
742	The man in camouflage pants telephones 911 for the man in black sneakers who is lying on the ground having a heart attack.	The men are using a phone.	0	The men are not using a phone.	2	negation
743	A little girl in a gray jacket is riding her bicycle.	A human is riding a vehicle.	0	A human is not riding a vehicle.	2	negation
744	An older caucasian couple is having their picture taken by a stone statue of a man and woman kissing.	The couple standing by a statue are having their picture taken.	0	The couple standing by a statue are not having their picture taken.	2	negation
745	A child rides a bicycle in a sunny neighborhood.	a child is riding his bike	0	A child is not riding his bike	2	negation
746	A young Asian child stands at the top of some steps and does n't seem to notice the person taking their picture.	Someone is taking a picture of a child.	0	Someone is not taking a picture of a child.	2	negation
747	Person in a long red coat walking in front of a building.	A man in a coat takes a stroll outdoors.	0	A man in a coat doesn't take a stroll outdoors.	2	negation
748	Several people including a child and a clown are walking towards a snowy sidewalk	Many people walk to the sidewalk.	0	Many people don't walk to the sidewalk.	2	negation
749	Politician John McCain on a talk show.	John McCain is on a talk show.	0	John McCain is not on a talk show.	2	negation
750	Woman wearing an orange scarf holding a cellphone.	A woman is holding a cellphone.	0	A woman is not holding a cellphone.	2	negation
751	There is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone.	A woman is on stage holding a microphone.	0	A woman is not on stage holding a microphone.	2	negation
752	A woman is applying lip makeup to another woman who seems to have some green in her hair.	The girl is getting made up	0	The girl is not getting made up	2	negation
753	A little baby wearing a blue outfit is grabbing some fruit.	A little baby is wearing blue.	0	A little baby is not wearing blue.	2	negation
754	A man wearing a gray tank top is collecting a red rose from a woman who is wearing a white dress	A man takes a flower from a woman.	0	A man doesn't take a flower from a woman.	2	negation
755	A little boy with an orange backpack walks under a tree through the woods.	A boy walks through the woods.	0	A boy doesn't walk through the woods.	2	negation
756	A man wearing a straw hat sitting in a chair holding the leash on a dog who is laying on the sidewalk next to him.	A man is holding the leash of a dog.	0	A man is not holding the leash of a dog.	2	negation
757	Three performers are on the stage floor in black lace costumes.	Three performers wear lace costumes.	0	Three performers don't wear lace costumes.	2	negation
758	As a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee.	A player makes a diving catch	0	A player doesn't make a diving catch	2	negation
759	A man on a sidewalk is playing the accordion while happy people pass by.	A man performs for the public	0	A man doesn't perform for the public	2	negation
760	A young football player watches a game with his coach.	Two people are watching a game.	0	Two people are not watching a game.	2	negation
761	A lady holding one dog while another dog is playing in the yard.	A lady has two dogs with her.	0	A lady doesn't have two dogs with her.	2	negation
762	Two ladies one with her fingers in her pocket and the other with a drink in her hand at a party.	Some people are doing something.	0	Some people are not doing something.	2	negation
763	Two ladies one with her fingers in her pocket and the other with a drink in her hand at a party.	Two people are at a party.	0	Two people are not at a party.	2	negation
764	A group of people watching a boy getting interviewed by a man.	A group of people are watching a boy and and interviewer.	0	A group of people are not watching a boy and interviewer.	2	negation
765	A woman wearing a black dress and green sweater is walking down the street looking at her cellphone.	A woman is holding her cell phone.	0	A woman is not holding her cell phone.	2	negation
766	A man in a striped shirt standing behind a large pile of fruits.	a man stands near some fruit	0	A man doesn't stand near some fruit	2	negation
767	A man with a half mask over his face is holding a toy helicopter in his left hand and a controller in is his right hand.	A person is holding two objects.	0	A person is not holding two objects.	2	negation
768	A woman in black walks down the street in front of a graffited wall.	A lady walks down the street.	0	A lady doesn't walk down the street.	2	negation
769	A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech.	a guy in a red top and tie makes a speech	0	A guy in a red top and tie doesn't make a speech	2	negation
770	An emergency worker directs a man pulling a sled with emergency equipment on a snowy path.	An emergency worker helps outdoors.	0	An emergency worker doesn't help outdoors.	2	negation
771	A man is in front of a dryer in a laundromat with both hands reaching into a bin or basket.	A man reaches into a basket at a laundromat	0	A man doesn't reach into a basket at a laundromat	2	negation
772	A man is in front of a dryer in a laundromat with both hands reaching into a bin or basket.	A man reaches into his laundry basket at the laundromat	0	A man doesn't reach into his laundry basket at the laundromat	2	negation
773	A man squatting in a park looking at something in the distance.	A man sees something while in a park.	0	A man doesn't see something while in a park.	2	negation
774	A young girl chasing a duck with bread in her hands.	A child is chasing an animal.	0	A child is not chasing an animal.	2	negation
775	Four small children playing in the courtyard of a large building made out of clay or sand.	Four children are outdoors playing.	0	Four children are not outdoors playing.	2	negation
776	A man walks into a transportation station and two officers in neon jackets stand guard.	This is a transportation station	0	This is not a transportation station	2	negation
777	A group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right.	The woman is walking away from the group.	0	The woman is not walking away from the group.	2	negation
778	Eight tourists stand at a railing looking at an attraction.	The attraction drew the attention of the tourists	0	The attraction didn't draw the attention of the tourists	2	negation
779	A group of Asian men are sitting or standing around a small square table.	Some men are gathered around a table.	0	Some men are not gathered around a table.	2	negation
780	A large African American man sitting on a camping chair.	The large black man is relaxing in the chair	0	The large black man is not relaxing in the chair	2	negation
781	Two women are tending to their herd of animals including cows and goats near a building made primarily of stone.	The two women are taking care of a herd of animals	0	The two women are not taking care of a herd of animals	2	negation
782	A large man is sitting in front of a fountain statue while talking on a phone.	The man is talking to someone.	0	The man is not talking to someone.	2	negation
783	A man in a black t-shirt and jeans in standing on the sidewalk looking at the camera as people walk by.	There is a man in black outside on a busy sidewalk.	0	There is no man in black outside on a busy sidewalk.	2	negation
784	two young children wearing wool caps and mitten covering their mouths while whispering to each other.	Two young children are whispering to each other.	0	Two young children are not whispering to each other.	2	negation
785	Several women in headscarves are standing in a cobbled courtyard.	Women wearing headscarves stand in a cobbled courtyard.	0	Women wearing headscarves don't stand in a cobbled courtyard.	2	negation
786	A man is holding an accordion while leaning against a brown fence that overlooks some water.	A man leans against a fence	0	A man doesn't lean against a fence	2	negation
787	A young girl in a black leotard swinging on the lower wrong of a pair of parallel bars in a gym while a young man spots her.	The young girl is wearing a black leotard	0	The young girl is not wearing a black leotard	2	negation
788	People stand along a train track and take pictures.	Some people with cameras are standing on a train track.	0	Some people with cameras are not standing on a train track.	2	negation
789	Children play in the sand surrounded by a sand structure with a lot of window like openings.	The children are playing in the sand.	0	The children are not playing in the sand.	2	negation
790	Two people using a water buffalo to cultivate a watery field.	A couple is farming with their pet buffalo.	0	A couple is not farming with their pet buffalo.	2	negation
791	A young man dressed up with a yellow tie jumps against a wall and one foot is left against the wall to push away.	The young man is jumping against a wall.	0	The young man is not jumping against a wall.	2	negation
792	An African-American male youth is riding a green bicycle while other people are looking at pictures on a board.	A boy is riding his bike outside.	0	A boy is not riding his bike outside.	2	negation
793	A female dancer wearing all white dancing while a photographer wearing all white takes her picture.	A girl dancing and photographer take a photo	0	A girl dancing and photographer don't take a photo	2	negation
794	A man wearing glasses and a ragged costume is playing a Jaguar electric guitar and singing with the accompaniment of a drummer.	A man with glasses and a disheveled outfit is playing a guitar and singing along with a drummer.	0	A man with glasses and a disheveled outfit is not playing a guitar and singing along with a drummer.	2	negation
795	Family members standing outside a home.	A family is standing outside.	0	A family is not standing outside.	2	negation
796	Man on bike with female standing on rear of back with arms around his neck.	There are two people near a bike.	0	There are no two people near a bike.	2	negation
797	A group of girls jumping over another girl who is laying on the floor.	A group of girl is playing.	0	A group of girl is not playing.	2	negation
798	A group of girls jumping over another girl who is laying on the floor.	A gorup of girl is junping over each other.	0	A group of girl is not jumping over each other.	2	negation
799	A white duck is spreading its wings while sitting on the water.	There is an animal in the water.	0	There is no animal in the water.	2	negation
800	A woman is petting a dog outside.	A person and an animal are interacting out of doors.	0	A person and an animal are not interacting out of doors.	2	negation
801	Workers are scattered among the scaffolding on an older building.	There are workers on the scaffolding.	0	There are no workers on the scaffolding.	2	negation
802	A man in an army uniform speaks into a microphone.	A soldier speaks into the microphone.	0	A soldier doesn't speak into the microphone.	2	negation
803	A girl in a blue leotard hula hoops on a stage with balloon shapes in the background.	A girl is entertaining on stage	0	A girl is not entertaining on stage	2	negation
804	A man and a woman embracing on the sidewalk.	A woman and a man are outside.	0	A woman and a man are not outside.	2	negation
805	Cheerleaders in blue performing on a football field underneath a yellow football goal post.	A group of people dance outdoors.	0	A group of people don't dance outdoors.	2	negation
806	A boy watches a woman walking amidst many concrete boxes.	A boy is watching a woman.	0	A boy is not watching a woman.	2	negation
