index	premise	hypothesis	label	hypothesis_paraphrase
1247	A man has wrecked his racing bike in the dirt with five spectators behind a rope.	A man has destroyed his airplane	2	A man has crashed his plane.
1248	A little kid in a blue helmet is riding a bike with training wheels on it down a pebbled grassy trail.	A kid in a helmet rides a bike with training wheels.	0	A child wearing a helmet rides a training bike.
1249	A man on stage in the act of jumping, with a little boy in the background really enjoying it.	A boy happily watches a man jumping on a stage.	0	A young boy enjoys watching a man jump on a stage.
1250	Workers at Basking Robbins are filling orders.	Workers busy in handling orders	0	Workers are occupied with order processing.
1251	A woman in a white dress with a white umbrellas is giving something to a woman in dark blue.	A friend in white givers her blue dressed friend something.	1	A friend in white hands something to a friend in blue.
1252	A woman in a white dress with a white umbrellas is giving something to a woman in dark blue.	Two sisters are flipping each other off.	2	Two sisters are yelling at each other.
1253	A woman in black walks past a shop selling a t-shirt depicting a tattooed woman smoking a cigarette.	A woman is walking down the street of shops.	0	A woman is strolling down a shopping street.
1254	A couple of newlyweds kissing underneath the bride's veil.	The newlyweds are actually vampires.	2	The newlyweds are, in fact, vampires.
1255	A public speaker in a plaid shirt speaks on the microphone.	A man gives a speech about the economy.	1	A man delivers an economic speech.
1256	Men playing basketball, the guy with the ball is attempting a layup.	Men are playing basketball.	0	Basketball is being played by men.
1257	Men playing basketball, the guy with the ball is attempting a layup.	Men are playing basketball as one guy wins the game by attempting a layup.	1	Men are playing basketball, and one of them wins by attempting a layup.
1258	Large brown dog walking in shallow water.	A brown dog is walking outside	0	Outside, a brown dog is strolling.
1259	An old man in a gray shirt smiles at the camera while doing laundry in a small room.	The man frowns at the camera	2	The man has a scowl on his face as he looks at the camera.
1260	"Cars and people are outside of ""Hotel Carmel."""	The hotel stands empty and abandoned with no one in site.	2	The hotel is deserted and deserted, with no one in sight.
1261	"Cars and people are outside of ""Hotel Carmel."""	People get out of cars for the party at Hotel Carmel.	1	People get out of their cars to attend the Hotel Carmel party.
1262	"Cars and people are outside of ""Hotel Carmel."""	Automobiles and humans are outside the hotel.	0	Outside the hotel, there are cars and people.
1265	A toddler, sitting next to another girl who is slightly older, is using a bubble machine to blow a large bubble into the air.	A toddler and little girl are blowing bubbles.	0	Bubbles are being blown by a toddler and a young girl.
1266	A toddler, sitting next to another girl who is slightly older, is using a bubble machine to blow a large bubble into the air.	Sisters are using a bubble machine to blow big bubbles.	1	The sisters are blowing large bubbles with a bubble machine.
1267	Two men are standing in a freshly razed field at the boundary of a forest, while a bulldozer sits idling nearby.	Two men are standing near an idling bulldozer.	0	Two men stand near an idle bulldozer.
1268	Two men are standing in a freshly razed field at the boundary of a forest, while a bulldozer sits idling nearby.	The two men are back at the office.	2	The two men have returned to work.
1269	Two soccer players are going after the ball.	They are playing soccer outside.	1	They're outside playing soccer.
1270	Hikers walk along some tough terrain.	Hikers make their way along tough terrain to get to the scene of the fall.	1	Hikers trek through difficult terrain to reach the scene of the fall.
1271	People are sitting in a cheery Mexican restaurant.	People are ready to order Chinese food	2	People are eager to order Chinese cuisine.
1272	People are sitting in a cheery Mexican restaurant.	People are listening to mariachi music	1	Mariachi music is being played.
1273	A woman in a spaghetti strap tank wearing a flower in her hair is staring towards the right.	The woman is looking at a dog.	1	The lady is staring at a dog.
1274	A rugby player swings his leg back to punt the ball.	The person is playing rugby.	0	The individual is a rugby player.
1275	2 women and 2 girls crossing the road	There are 4 female humans who are moving.	0	There are four female humans on the move.
1276	2 women and 2 girls crossing the road	Four male humans crossing the road.	2	Four male humans are crossing the street.
1277	A group of people are sight seeing and taking pictures.	there are a group of people	0	There are a number of people.
1278	A gentleman standing on steps getting his picture taken by a girl wearing a dress.	The man is sitting on the curb with a woman.	2	A man and a woman are sitting on the curb.
1279	A gentleman standing on steps getting his picture taken by a girl wearing a dress.	A man on the steps is being photographed by a girl.	0	A girl is photographing a man on the steps.
1281	A man is swimming with a little girl wearing a pink life jacket in an indoor pool	A man is swimming in an indoor pool.	0	In an indoor pool, a man swims.
1282	A man is swimming with a little girl wearing a pink life jacket in an indoor pool	A boy is swimming in the ocean.	2	A young boy is swimming in the sea.
1283	An older gentleman wearing a hat is walking on crutches next to a busy street.	A man on crutches is trying to cross the street.	1	A crutch-wielding man attempts to cross the street.
1284	An older gentleman wearing a hat is walking on crutches next to a busy street.	An man on crutches is outside.	0	Outside is a man on crutches.
1285	A woman is posing in a meadow next to an old truck.	A woman is getting her maternity pictures taken.	1	A pregnant woman is having her maternity photos taken.
1286	A woman is posing in a meadow next to an old truck.	A woman is posing in the forest near a motorcycle.	2	In the woods, a woman poses near a motorcycle.
1287	Blond women working wearing gloves.	A woman working with her hands protected from harm.	0	A woman working with her hands is safe from harm's way.
1288	Blond women working wearing gloves.	A redhead working wearing gloves.	2	A redhead wearing gloves works.
1289	Blond women working wearing gloves.	A woman wearing gloves to hide her injuries.	1	A woman hides her injuries by wearing gloves.
1290	Two teenage girls conversing next to lockers.	Girls talking about their problems next to lockers.	1	Girls discussing their problems near the lockers.
1291	An old woman watches a man look down at some balls on the ground.	An elderly female is stalking a male.	1	An elderly woman is following a man.
1292	Two children, both wearing tan coats, are embracing one another.	Two kids are hugging after surviving a horrible car wreck.	1	Two children are hugging after surviving a terrible car accident.
1293	Two children, both wearing tan coats, are embracing one another.	Two kids are running down a highway.	2	Two children are racing down a highway.
1294	A large number of people wearing only white and red are walking on a street.	A large number of people wearing black walking down the street.	2	A large group of people dressed in black are walking down the street.
1295	Three friends are talking.	Three people have their mouths full of food.	2	Three people have food in their mouths.
1296	Three friends are talking.	Three people have drinks in their hand.	1	Three people are holding drinks.
1297	Three friends are talking.	Three people are hanging out.	0	Three people are loitering.
1298	A dog carries an object in the snow.	A dog in the snow is carrying some object.	0	In the snow, a dog is carrying something.
1299	Two men and one woman with blond-hair walk through a gate with barbed wire on top.	Two dogs are walking throught a gate.	2	Two dogs are making their way through a gate.
1300	A boy toddler is holding a bat he is about to swing at a pinata.	A child is crying because he didn't get cake	2	A child is upset because he did not receive cake.
1301	Female in a military uniform with her hair tied back.	the female is wearing a ponytail	0	The female has a ponytail.
1302	Female in a military uniform with her hair tied back.	the female is wearing her hair up	0	The female has her hair up.
1303	a man playing guitar and signing next to a woman in a dress playing an instrument	A man and woman collect money for playing.	1	A man and a woman go around collecting money to play.
1304	a man playing guitar and signing next to a woman in a dress playing an instrument	A man and woman make music.	0	Music is created by a man and a woman.
1305	The brown, furry animal is walking in the snowy grass with a tree behind him.	The animal is walking through a forest.	1	The animal is strolling through the woods.
1306	A policeman on a motorcycle from the rear.	An officer driving down a street.	1	A police officer is driving down the street.
1307	A policeman on a motorcycle from the rear.	An officer watching a jail cell.	2	An officer stands guard over a jail cell.
1309	A person is hanging on to the bottom of an airplane preparing to skydive.	A person is driving a tractor	2	A tractor is being driven by someone.
1310	Two furry beige dogs playing in ocean surf.	Two dogs are playing on a beach.	0	Two dogs are having fun on the beach.
1311	an african man is being dragged though wet mud by two cows whilst other people watch.	A man is being tortured by other people.	1	Other people are torturing a man.
1312	Several children are standing on the beach.	The children are waiting to go into the water.	1	The kids are eager to get into the water.
1313	Several children are standing on the beach.	The kids are in the back yard.	2	The kids are playing in the backyard.
1314	A brown dog wearing a collar is chasing and biting on a red broom.	An animal is sleeping outside.	2	Outside, an animal is sleeping.
1315	A male and female, both wearing sandals, walking by a fence.	people are wearing sandals	0	People are dressed in sandals.
1316	A basketball player wearing blue and red is shooting a basket while onlookers sit outside the court.	The basketball player is sitting on the bench.	2	The basketball player has taken a seat on the bench.
1317	A woman in a black leather shirt trench-coat and black leather calf-high boots and carrying a colorful bag with a shoulder strap faces away from the camera with a yellow post visible just in front of her.	Some stars are walking past the paparazzis and getting into an awards building	1	Some celebrities are making their way past paparazzi and into an awards ceremony.
1320	A man is renovating a room.	A man is using a hammer in a room.	1	In a room, a man is wielding a hammer.
1321	A woman in a scarf, laughing, being licked by a dog.	A woman and a dog enjoy time together	0	A woman and her dog spend time together.
1322	A woman in a scarf, laughing, being licked by a dog.	A woman is scratched by a cat	2	A cat scratches a woman.
1323	Young man performing a skateboard trick on a sidewalk in a city.	A young man is perfoming a good skill on a skateboard on the sidewalk in a metropolitan area.	0	On the sidewalk of a major city, a young man shows off his skateboarding skills.
1324	Young man performing a skateboard trick on a sidewalk in a city.	There is a guy performing a skill on a skateboard on the sidewalk in a metropolitan area.	0	On the sidewalk of a major city, a man is performing a skateboarding trick.
1325	A woman is holding a large check for Kids Food Basket.	She is stealing from them.	2	She's robbing them blind.
1326	A woman is holding a large check for Kids Food Basket.	She is fond of the charity.	1	She is a big fan of the charity.
1327	A male wearing a football uniform kicking a football during a football game.	A woman runs down the field.	2	A woman sprints across the field.
1328	A male wearing a football uniform kicking a football during a football game.	A football player is trying to score a goal.	1	A footballer is attempting to score a goal.
1329	A male wearing a football uniform kicking a football during a football game.	A Dallas Cowboy player is trying to tie the playoff game.	1	A Dallas Cowboys player is attempting to tie the game in the playoffs.
1330	Four small children playing in the courtyard of a large building made out of clay or sand.	Four children who live in a large building are in the courtyard playing.	1	Four children from a large building are playing in the courtyard.
1331	Four small children playing in the courtyard of a large building made out of clay or sand.	Four children are outdoors playing.	0	Four children are having fun outside.
1332	A man squatting in a park looking at something in the distance.	A man is watching his son playing on the swingset.	1	A father watches his son play on the swingset.
1333	A man squatting in a park looking at something in the distance.	A man sees something while in a park.	0	While walking through a park, a man notices something.
1334	A snowboarder with a maroon coat sails through the air.	The snowboarder has never tried this jump before.	1	This is the snowboarder's first attempt at this jump.
1335	A football layer wearing a red shirt.	A football player in a black jersey.	2	A footballer wearing a black jersey.
1336	Six women wait to use a port-o-john in a field.	Friends are meeting for coffee.	2	Friends are getting together for coffee.
1337	Six women wait to use a port-o-john in a field.	Friends are waiting together.	1	Friends are waiting for each other.
1338	A young african child in a dirty yellow shirt carrying a bag on his head.	A young African child playing soccer.	2	A young African child enjoys a game of soccer.
1339	The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.	Many visitors have fun at the Latin celebration.	1	The Latin celebration attracts a large number of visitors.
1340	A man is shooting a gun outdoors, on what looks like a beautiful sunny day.	A man is shooting a gun at targets on a nice day.	0	On a sunny day, a man shoots a gun at targets.
1341	A group of footballs players is standing behind a coaching official.	There is only one person present.	2	There is only one person in the room.
1342	A group of footballs players is standing behind a coaching official.	They are college football players.	1	They are football players in college.
1343	People seated at long tables all facing the same direction, some writing and some watching.	A group of people are sitting at tables.	0	A number of people are seated at tables.
1344	People seated at long tables all facing the same direction, some writing and some watching.	A group of people are sitting at the tables sharing a meal.	2	A group of people is seated at tables, sharing a meal.
1345	Passengers in a rusty yellow car driving down the street.	People walk through a store.	2	People are strolling through a store.
1346	The basketball player in red is challenging the player in white for the ball.	People are playing basketball.	0	Basketball is being played.
1347	The basketball player in red is challenging the player in white for the ball.	A basketball player in red is trying to grab the ball from a player in white.	0	A red basketball player tries to steal the ball from a white basketball player.
1348	A man in a white shirt taking a picture.	the man takes a video clip	2	The man records a video clip.
1349	A woman wears a robe and bikini with heels as she stands on stage next to a flower pot.	A woman is standing next to a flower pot.	0	A woman stands near a flower pot.
1350	Two people are setting up a photo shoot of a mobile in a white room.	The room has a camera in it.	0	There is a camera in the room.
1351	A tall elder man is standing with his hand around another shorter elder man in the middle of the city	they are sitting on a couch	2	They are seated on a couch.
1352	A large group of people populate a dimly lit room.	A group of people are partying in the large room.	1	In the large room, a group of people is having a party.
1353	A large group of people populate a dimly lit room.	The people are populating the city.	2	The city is filling up with people.
1354	A young man in an orange hat walks his bicycle down a street.	A man in an orange hat walks his bike down a street.	0	A man wearing an orange hat rides his bike down the street.
1356	a blond woman kissing the cheek of a brown-haired man.	This woman does not know the man she is pictured with.	2	This woman has never met the man in the photograph.
1357	a blond woman kissing the cheek of a brown-haired man.	A man and a woman sharing a kiss on the cheek.	0	A man and a woman share a cheek kiss.
1358	a blond woman kissing the cheek of a brown-haired man.	The couple is displaying affection.	1	The couple is showing signs of affection.
1359	Child in blue polos are sitting around a table writing on their notebooks, one is standing up.	Children doing homework assignments while tutor monitors them.	1	Children working on homework assignments while being monitored by a tutor.
1360	A man wearing a long brown robe is playing the guitar while another person is sitting at the drums and yet another is wearing a long gray robe and singing.	The man is a great guitar player.	1	The man is a fantastic guitarist.
1361	A man sitting on an elephant with a riding seat is talking to a female tourist.	A person riding a large animal.	0	A person on the back of a large animal.
1362	A man sitting on an elephant with a riding seat is talking to a female tourist.	An old Asian man riding a baby elephant.	1	A baby elephant is being ridden by an elderly Asian man.
1363	A snowboarder dressed in yellow snow pants and a helmet catches some air on fresh powder.	A snowboarder is dressed up.	0	A snowboarder is dressed to the nines.
1364	A snowboarder dressed in yellow snow pants and a helmet catches some air on fresh powder.	A snowboarder is going snowboarding	0	A snowboarder is out on the slopes.
1365	A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.	A woman says Hi to another woman at the grocery store.	2	At the grocery store, a woman greets another woman.
1366	A white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field.	A man pushing away another man on the soccer field.	0	On the soccer field, a man pushes another man away.
1367	A woman is taking a picture on the shoulders of another woman in cold weather.	A woman is taking a picture in cold weather.	0	In the cold weather, a woman is taking a photograph.
1368	A woman is taking a picture on the shoulders of another woman in cold weather.	A woman is taking a picture with an older woman.	1	A woman is photographing an older woman.
1369	A group in uniform marches carrying red signs with Chinese lettering on them.	a uniformed group carry signs written in Chinese	0	A uniformed group carries Chinese-written signs.
1370	A young boy dressed in black and green is laying down in a tent outside with items surrounding him.	A boy lays down in front of a tent	0	A young boy lies down in front of a tent.
1371	A man with brown pants and boots moving a tent.	A circus worker is moving the Big Top tent.	1	The Big Top tent is being moved by a circus worker.
1372	A man with brown pants and boots moving a tent.	A guy is transporting a tent.	0	A man is carrying a tent.
1373	A man with brown pants and boots moving a tent.	A hiker is sleeping in a tent.	2	In a tent, a hiker sleeps.
1374	Small girl in an apron placing confetti in a woman's hair.	A woman and young girl celebrating together.	1	A woman and a young girl are having a party together.
1375	Five children playing soccer chase after a ball.	They are playing football.	2	They're having a football game.
1376	Five children playing soccer chase after a ball.	Five children are playing.	0	Five children are having fun.
1377	Five children playing soccer chase after a ball.	There are ten total children playing.	2	There are a total of ten children playing.
1378	A woman in red blouse is standing with small blond child in front of a small folding chalkboard.	a woman stands with her child	1	a mother stands beside her child
1379	A woman in red blouse is standing with small blond child in front of a small folding chalkboard.	a woman stands with a child	0	A woman stands next to a child.
1380	A person is sitting on the edge of a rock cliff.	A person sitting on a rock cliff.	0	A person sitting on a ledge of rock.
1381	A man, boy and a white dog are looking at a display of postcards.	A man has his boy and his dog out enjoying time spent together while shopping.	1	A man is out shopping with his son and dog, and they are having a good time together.
1382	A man, boy and a white dog are looking at a display of postcards.	A man is all alone looking at postcards.	2	A man is sitting by himself, looking at postcards.
1383	Here is a picture of a man waiting for the bus to pick him up and he is hiding his face.	The man is driving himself somewhere.	2	The man is in the process of driving himself somewhere.
1384	Here is a picture of a man waiting for the bus to pick him up and he is hiding his face.	The man is going somewhere.	1	The man is on his way somewhere.
1385	Three people are walking on a beach.	People are swimming in the ocean.	2	The ocean is teeming with swimmers.
1386	A brown dog and black and white dog run along the green grass.	Two squirrels run after acorns in the grass.	2	Two squirrels race through the grass in search of acorns.
1387	A brown dog and black and white dog run along the green grass.	Two dogs run in the grass.	0	Two dogs are running through the grass.
1388	A man in a blue plaid shirt with black pants is sitting on a box and holding something in his hand.	a man holds a comb on a box	1	On a box, a man is holding a comb.
1389	A group of children sitting on the ground laughing as another boy jumps over the group.	The boy is jumping over kids.	0	The boy is leaping over children.
1390	A person in a red and tan coat is snowboarding off a hill of snow.	A person rides a snowboard.	0	Someone is riding a snowboard.
1391	A light technician man with tribal tattoos aiming a spotlight over a balcony.	An actress takes the stage.	2	The stage is taken by an actress.
1392	A girl bounces in a bounce house.	A girl is bouncing around.	0	A young lady is bouncing around.
1393	A woman standing with smile on her face and she is holding a wood in her hand	A woman with wood in her hand is standing with a smile on her face.	0	A woman stands with a smile on her face, holding a piece of wood in her hand.
1394	A woman standing with smile on her face and she is holding a wood in her hand	A woman stands holding her baby and crying.	2	A woman stands crying while holding her baby.
1395	A rescue worker searches with a flashlight under a slab in a ruined building.	A survivor searches for a meal.	2	A survivor looks for food.
1396	A rescue worker searches with a flashlight under a slab in a ruined building.	A rescue worker searches for survivors.	1	A search for survivors is carried out by a rescue worker.
1397	A fireman searching for something using a flashlight.	A man is searching for survivors.	1	A man is on the lookout for survivors.
1398	A fireman searching for something using a flashlight.	An area is lit up by flashlight.	0	A flashlight illuminates a specific area.
1399	A fireman with a neon helmet and a pickaxe inspects some debris with a flashlight.	A fireman with an axe stands in a burning house.	1	In a burning house, a fireman wields an axe.
1400	A man is painting letters using a stencil onto a round stand-up sign that is lying sideways.	A woman is writing on a napkin and showing it to her friend.	2	A woman writes something on a napkin and shows it to a friend.
1401	A man is painting letters using a stencil onto a round stand-up sign that is lying sideways.	A guy works on a sign by putting letters on its round surface while it's on the ground.	1	While a sign is on the ground, a man works on it by writing letters on its round surface.
1402	One man on the left with black hair, wearing glasses, and another man on the right with slightly graying black hair, without glasses but clasping his hands together, are laughing.	the people are crying in their sleep	2	People are weeping in their sleep.
1403	A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.	She is listening to music.	1	She is engrossed in music.
1404	A female in the middle of a vehicle is holding a camera and is pointing it towards the backseat.	She is playing soccer in a field.	2	She's out on the field, playing soccer.
1405	A group of people, mostly in straw hats, follow a man onto a beach covered with many large rocks.	The man and his follows walk along outside	0	Outside, the man and his followers walk.
1406	A longeared dog running in the grass.	A beagle runs in the grass.	1	A beagle sprints through the grass.
1407	The guy in the black jacket is standing on his hand on a checkered rectangle.	The husband mows the lawn.	2	The lawn is mowed by the husband.
1408	The guy in the black jacket is standing on his hand on a checkered rectangle.	A male is engaging in something acrobatic.	0	A man is performing an acrobatic act.
1409	The guy in the black jacket is standing on his hand on a checkered rectangle.	The circus performer wows the crowd with his feat.	1	The feat of the circus performer astounds the audience.
1410	"People walk outside ""The Tempe Bar""."	Bar goers walk around outside after last call.	1	After last call, bargoers walk around outside.
1411	"People walk outside ""The Tempe Bar""."	People move around outside.	0	Outside, people are moving around.
1412	Child swimming in a pool.	A child swims in the ocean.	2	A young child swims in the sea.
1413	A man in a white shirt hiking over rocks and water.	A man is hiking with his girlfriend.	1	A man and his girlfriend are out on a hike.
1414	A dog opens its mouth to catch a blue and yellow toy.	The puppy is chasing a ball.	1	A ball is being chased by the puppy.
1415	A street performer wearing sunglasses and painted in bronze colored paint is acting like he is filming with an old-fashioned prop film camera.	A mime is practicing his art.	1	A mime is honing his craft.
1416	A man wearing a white shirt and a blue jeans reading a newspaper while standing	A man is reading a newspaper on break.	1	On his lunch break, a man reads a newspaper.
1417	A man wearing a white shirt and a blue jeans reading a newspaper while standing	A man is reading a newspaper.	0	A man is engrossed in his reading of a newspaper.
1418	A man wearing a white shirt and a blue jeans reading a newspaper while standing	A man is sitting down reading a newspaper.	2	A man sits down to read a newspaper.
1419	A man wearing an orange shirt and sunglasses jogging in a marathon with spectators spectating him.	A man competes in a long distance run.	1	A man takes part in a long-distance run.
1420	A woman with a blue hat and blue and red jacket setting up a camera on a tripod.	A woman sets up a camera to capture pictures of the night sky	1	A woman prepares a camera to photograph the night sky.
1421	a man grabs his crotch during a political demonstration.	The man is making a crude gesture.	0	A crude gesture is being made by the man.
1422	A dog and a cow play together inside the fence.	A dog and cow are playing with hay.	1	A dog and a cow are having fun with hay.
1423	A dog and a cow play together inside the fence.	A dog and cow are outside.	0	Outside, there is a dog and a cow.
1424	A dog and a cow play together inside the fence.	A dog and cow are chasing the horse.	2	The horse is being pursued by a dog and a cow.
1425	Men are playing rugby while covered in mud.	The men are perfectly free of mud.	2	The men are completely mud-free.
1426	A roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home.	The roofer is outside working.	0	The roofer is working outside.
1427	Construction worker looking over the job site.	Construction worker at work	0	At work, a construction worker
1428	A basketball player in white in red goes up for the shot as two defensive men in red jump up to block the shot.	The basketball player on the white team makes the basket.	2	The basket is made by a basketball player from the white team.
1429	Woman smiling while holding a book and yellow paper star.	the woman reading book in the hall	1	the woman in the hall who was reading a book
1430	A Vietnamese woman wearing a gray top carries large clear bags of groceries using a stick to balance everything on her shoulder.	A tall person carrying stuff	1	A tall person transporting items
1431	Two girls feeding a horse an apple.	Two girls are getting ready to ride horses.	1	Two young ladies are preparing to ride horses.
1432	Two girls feeding a horse an apple.	Two girls are near an animal.	0	Two young ladies are standing near an animal.
1433	A man playing cricket	an indian man plays cricket	1	An Indian man participates in cricket.
1434	A man in a blue jogging suit is running on the sidewalk in front of a painting.	A man is outside on the streets.	0	A man is walking down the street.
1435	A woman in a green shirt is working within a large amount of vegetation that is at different stages of maturity.	The woman is working with plants.	0	The woman is engaged in plant-related work.
1436	A woman in a green shirt is working within a large amount of vegetation that is at different stages of maturity.	She intends to pick the ripe vegetables and leave the unripened to ripen.	1	She plans to pick the ripe vegetables while leaving the unripe to ripen.
1437	Three girls jumping in front of a house's flower garden.	The girls are playing on a street.	2	The girls are having fun on the street.
1438	A young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.	A girl jumps in a grassy field	0	A young woman leaps into a grassy field.
1439	A young redheaded girl, wearing a yellow shirt, black pants, and sneakers, jumping in a grassy field with blue skies and wispy clouds in the background.	A girl jumps in her newly cut lawn	0	A young lady jumps in her freshly cut lawn.
1440	Young children waving American flags for a soldier	Children are waving flags.	0	Flags are being waved by children.
1441	A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.	A man driving a go kart, numbered 65, on a narrow paved road in the snow.	1	A man driving a go kart with the number 65 on a snowy paved road.
1442	Four youth and an elder man and woman playing in water just up to the bottom of man's swim trunks.	Grandparents watch their grandkids play in the water.	1	Grandparents observe their grandchildren as they play in the water.
1443	Four youth and an elder man and woman playing in water just up to the bottom of man's swim trunks.	A group of kids slide down a water slide as their parents watch them.	2	A group of children slide down a water slide while their parents look on.
1444	A young man standing on one foot in colorful bowling shoes after throwing the ball.	A young man is standing on both feet barefooted.	2	A young man stands barefoot on both feet.
1445	A yellow dog is running in a field near a mountain.	A yellow dog is going to the vet.	2	A yellow dog is on his way to the veterinarian.
1446	A man and two kids standing in front of an ancient building.	A man is standing with his sons.	1	A man stands with his two sons.
1447	A man and two kids standing in front of an ancient building.	A man is standing with two kids.	0	A man stands with two children.
1448	Police officer wearing a brown uniform talks into a wireless microphone.	A police officer is wearing a large helmet.	1	A large helmet is worn by a police officer.
1450	A man is posing on a ski board with snow in the background.	A woman is posing on a ski board with lava in the background.	2	A woman poses on a ski board against a backdrop of lava.
1451	A man stands with his arms out inside a large green piece of equipment.	He is making office calls.	2	He's making office visits.
1452	A man stands with his arms out inside a large green piece of equipment.	He is trying to get it working again.	1	He is attempting to reactivate it.
1453	A young black man wearing a dark leather jacket and gloves is standing on a lit stage, looking down.	A black man is sitting on a couch at his house.	2	A black man sits on a couch in his home.
1454	A young black man wearing a dark leather jacket and gloves is standing on a lit stage, looking down.	A black man is standing on stage.	0	On stage, there is a black man.
1455	A man is resting in a small stream with a hat over his head while the little waterfall is pouring in the background.	A man is trying to be closer to mature nature	1	A man strives to be more like mature nature.
1458	A female softball player in a black and red uniform with a red batting helmet is holding her bat waiting for the pitch.	A tall person in a uniform	1	A tall man dressed in a uniform
1459	Little boy in a green sweatshirt playing with his toy train.	A boy is playing with toys.	0	A young boy is playing with his toys.
1460	Three men are playing frisbee in the woods.	Three guys are hiking across the desert.	2	Three men are hiking through the desert.
1461	Three men are playing frisbee in the woods.	Three brothers are playing a friendly game of Frisbee before dinner.	1	Before dinner, three brothers engage in a friendly game of Frisbee.
1462	Five women wearing red shirts are leaning against a red car.	The theme of the photo is red.	1	The photo's theme is red.
1463	Five women wearing red shirts are leaning against a red car.	Everyone is wearing blue but looks red due to the sun glare.	2	Everyone is dressed in blue, but it appears red due to the glare of the sun.
1464	Five women wearing red shirts are leaning against a red car.	Everything in the photo is red colored.	1	Everything in the photograph is red.
1465	A man talking into a microphone with a woman standing next to him.	There are people giving a speech at the fair.	1	At the fair, people are giving speeches.
1466	A man talking into a microphone with a woman standing next to him.	Two people are standing beside each other.	1	Two people are standing next to one another.
1467	A man is looking at the camera posing for a photo with his arm around a woman who is looking away.	The man is looking at the camera.	0	The man's gaze is fixed on the camera.
1468	A boy and a girl sit at a black table, while a second boy sits near them on a windowsill.	There are boys and girls sitting at a table	0	Boys and girls are seated at a table.
1469	A boy and a girl sit at a black table, while a second boy sits near them on a windowsill.	There are boys and girls sitting at a table playing games	1	Boys and girls are seated at a table, playing games.
1470	Two people standing behind a Sonoma display and a woman with a stroller on the other side.	Two people are race car driving.	2	Two people are racing in a race car.
1471	Two people standing behind a Sonoma display and a woman with a stroller on the other side.	A woman has her daughter in a stroller.	1	A mother pushes her child in a stroller.
1472	several brides wearing white dresses are holding red roses	There is a group of brides.	0	There is a bridal party.
1473	A baby is eating aqua-colored cake very messily.	A baby eating cake celebrating it's birthday.	1	A baby celebrates its birthday by eating cake.
1474	A baby is eating aqua-colored cake very messily.	A baby eating cake messily.	0	A baby eats cake in a haphazard manner.
1475	A man wearing a denim jacket and jeans welds on a bridge above water while wearing his safety mask.	A clad in denim person works is working on a bridge outdoors.	0	A person dressed in denim is working on a bridge outside.
1476	A man wearing a denim jacket and jeans welds on a bridge above water while wearing his safety mask.	The man wearing an blue jumpsuit is doing construction on a bridge work while whistling.	2	The man in the blue jumpsuit is whistling while working on a bridge.
1477	A man in a blue jacket holding a handsaw sawing a pipe on top of a wood fence.	Somebody is wearing work gloves.	1	Someone is dressed in work gloves.
1478	Some people are standing on a city sidewalk at night and waiting to get on a double-decker bus.	People wait to get on a double decker bus at night.	0	At night, people line up to board a double decker bus.
1479	Some people are standing on a city sidewalk at night and waiting to get on a double-decker bus.	Friends wait to get on the bus at night.	1	Friends wait for the bus late at night.
1480	A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.	They run away from each other quickly	2	They quickly flee from each other.
1481	Commuters wait for to cross a street.	They wait to cross Main Street.	1	They stand in line to cross Main Street.
1482	A man in a purple and blue shirt and shorts is getting ready to hit a golf ball.	A man is on a golf course.	1	A man is playing golf.
1483	A man in a purple and blue shirt and shorts is getting ready to hit a golf ball.	A man is preparing to strike a golf ball.	0	A man is getting ready to hit a golf ball.
1485	A dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees.	a man sitting down builds a tall building and eats a palm tree	2	A man sits down and constructs a tall structure while eating a palm tree.
1486	Two young girls hang tinsel on a Christmas tree in a room with blue curtains.	Two girls are decorating their Christmas tree.	0	Two young ladies are adorning their Christmas tree.
1487	Two young girls hang tinsel on a Christmas tree in a room with blue curtains.	Two girls are happy and getting into the spirit of Christmas.	1	Two girls are having a good time and getting into the Christmas spirit.
1488	A boy kneeling on a skateboard riding down the street	A boy standing upright on a skateboard.	2	On a skateboard, a young man stands upright.
1489	A boy kneeling on a skateboard riding down the street	A boy on a skateboard riding down the street his house is on.	1	A young boy on a skateboard rides down the street where his house is located.
1491	Group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group.	Group of people with a dog nearby are outside.	0	Outside are a group of people and a dog.
1492	A kid bored in a train with brown hair and his head lying down.	I kid is lying down on the train.	0	On the train, a child is lying down.
1493	A person sitting on a rock beside a waterfall.	A person is taking a break from walking	1	A person is resting while walking.
1495	A woman and a young girl are sitting down and smiling.	The women are standing and frowning.	2	The women are frowning and standing.
1496	A father and son are in a field of yellow flowers.	People are surrounded by flowers.	0	Flowers surround the people.
