index	premise	hypothesis	label	originated_idx
695	A person is feeding some cows.	A person rides a snowboard.	2	5600|5601
696	The chef is at home, fast asleep.	The chef is dicing fish with his knife.	2	2327|2326
697	A cat is running through a field.	A dog is running.	2	4577|4578
698	People are watching a ball game.	People are taking pictures.	2	9175|9177
699	Pete Sampras plays tennis.	A woman plays tennis.	2	378|376
700	Two boys are playing together.	Two girls are wearing blue shirts.	2	1969|1968
701	The man is walking his dog.	A man is grilling.	2	8774|8775
702	A man with a breif case stands near a corner as a woman walks past.	A man with a duffel bag walks with agirl pushing a cart down the street.	2	7738|7736
703	Two teams are competing in hockey.	People are playing basketball.	2	7567|7566
704	this guy is jumping rope	this guy is wearing a racing uniform while holding a bottle	2	7633|7631
705	The people are using their fingers to paint with.	The people are using paint brushes.	2	4580|4582
706	The dog is lying on the ground.	There is an animal standing outdoors.	2	8270|8269
707	The men are watching a sports channel	The men are playing music	2	825|826
708	Two people play baseball.	Two people play flag football.	2	2803|2802
709	A man is flying a kite.	A man is speaking in a classroom.	2	9821|9822
710	A basketball player watches a game.	Two people are watching a game.	2	9135|9136
711	The children are yelling loudly.	Two young children are whispering to each other.	2	9529|9530
712	A man wearing a sweater is carrying a golf club.	The man with the stripped shirt is carrying a camera on his body.	2	4984|4983
713	The woman drew on canvas.	The man sketched on paper.	2	6899|6897
714	A guy is jogging in a sweatsuit.	There is a businessman is walking.	2	5059|5058
715	the musician is at home sleeping	the musician is performing	2	1892|1893
716	The man is sitting on the ground.	A man rides a bike.	2	5777|5776
717	Two elderly men cat calling at a woman.	A woman in an orange jacket.	3	8838|8836
718	The cyclist is traveling faster than the cars.	The cyclist is riding on water.	3	9259|9260
719	People are waiting in line for food to get through the snowstorm with	People are waiting in a line during a scorching drought.	3	4735|4733
720	A skateboarder is jumping while the other is sitting.	Two guys are rollerblading.	3	7358|7357
721	A woman carrying a bucket of flowers at night.	A dog carrying a basket of food.	3	4427|4428
722	The statue is made of marble.	The statue is actually a gargoyle and it came to life.	3	8199|8200
723	People are celebrating a local festival, cheering alonside a parade	People have gathered for a funeral	3	7761|7762
724	A retail store worker shows a customer the latest designer wear.	A man is being served a dish in a restaurant.	3	1659|1660
725	The man is wearing a white shirt.	The man is not Asian.	3	8099|8097
726	A woman is getting her maternity pictures taken.	A woman is posing in the forest near a motorcycle.	3	3818|3819
727	Two attractive adults on a seesaw.	Two children on a seesaw.	3	8675|8676
728	The boy lost his pacifier.	The boy is not sucking his thumb.	3	8867|8868
729	The person is cozy.	The person is wrapped in a straightjacket.	3	7528|7529
730	They are doing the tango.	No one is dancing.	3	190|191
731	A child in a wagon rolls down a hill.	A person stares at an empty hill.	3	176|175
732	A boy is playing with a toy car.	A boy is doing homework.	3	2017|2019
733	The man is practicing how to surf.	The man is laying in a mud puddle.	3	5793|5794
734	A man is reading a book he just bought.	A man is playing video games on his phone.	3	7294|7293
735	A man is on on skis on the mountain.	A man is snowboarding.	3	1087|1088
736	A girl trying to get fit for a bodybuilding competition.	Two guys lifting oranges to build up muscles.	3	4796|4797
737	The child is athletic.	There is an adult upside down.	3	3273|3275
738	A great human with a big trumpet	Nobody has a trumpet	3	2202|2200
739	A girl rides a snowboard.	A person is feeding some cows.	3	5599|5600
740	A toddler is very cold.	A toddler walking in sand.	3	6296|6297
741	Two people are discussing their relationship.	Three people are having a meeting.	3	438|437
742	Men play fair	Aliens play	3	3764|3763
743	A biker is riding for a charity event through the center of town.	A biker rides next to the ocean.	3	2191|2193
744	They are in a wedding	2 women are talking	3	1742|1743
745	The man is holding up the Ace of Spades.	The man is holding up a domino.	3	8120|8118
746	A man is checking the telephone wires.	The guy is hunting in the woods.	3	2054|2052
747	A child is smiling as he watches a clown.	A child is performing brain surgery.	3	1810|1811
748	A man waterskiing in a river with a large wall in the background.	A dog waterskiing in a river with a large wall in the background.	3	3229|3228
749	A man is carrying his daughter above his head.	A man is playing Monopoly with a little girl.	3	9127|9128
750	Mother demonstrates how to use equipment to her son.	Child blows up a balloon.	3	7079|7077
751	A man in a shirt juggles thee clubs and an apple.	A man in a green shirt juggles a bear.	3	3552|3553
752	A blind man is attempting to train his dog to ward against intruders.	A dog is being put down at the vet clinic.	3	3782|3783
753	A man is standing and testing model airplanes.	A man is mowing his lawn.	3	4763|4762
754	The man is a worker.	The shirt is red.	3	1631|1633
755	A woman skis down a hill with a few friends.	A woman is doing arithmetic at home.	3	6875|6873
756	The man tries to make some money from tips.	A woman flashes bystanders.	3	1360|1361
757	people play poker	cat stares at dog	3	7707|7709
758	A group of people are protesting in front of a building.	A man in a blue shirt poses for the camera.	3	8266|8267
759	A group of people are helping an accident victim on the highway.	Some firemen are putting out a fire.	3	2104|2105
760	The boots have a hole in them.	The stockings are white and purple.	3	2056|2055
761	A young man wheres tribal clothes for a ceremony.	A young man wheres a tuxedo.	3	4228|4230
762	A man rides a black motorcycle while wearing a helmet and a pizza delivery van rides beside him in the distance.	A man rides a white horse while wearing a cowboy hat and a another horse rides beside him.	3	2781|2779
763	They hope to clean up the street together	They propel themselves down the street with rockets	3	6942|6943
764	A man is taking a nap on a bench.	A man is playing chess while wearing a green tutu.	3	4222|4221
765	She intends to pick the ripe vegetables and leave the unripened to ripen.	All vegetation the woman is working with is the same age.	3	3825|3823
766	The dogs are adopted.	The dogs are asleep.	3	6263|6264
767	A group of people listen carefully to a boy being interviewed.	A group of people are sleeping on Pluto.	3	9628|9627
768	A man calls 911 after another man is hit by a car.	Two women stand on the sidewalk and hail a cab	3	4793|4794
769	a dog is yawning because he is tired from a walk	a dog is running	3	9182|9183
770	A few people are sitting at a table with forks in hand.	An outdoor concert at the park.	3	4616|4615
771	A black lab waits for its owner to throw a ball into the water.	A white dog is laying on the grass.	3	5582|5583
772	The class is holding hands.	The storm strooper is attacking the children.	3	6359|6360
773	A man dressing for a show	A man wearing a tux	3	7647|7648
774	People trying to read what a man is writing.	A gentleman swims at the beach.	3	7679|7681
775	A woman about to sing a song on stage	A woman laying down sleeping	3	5800|5799
776	A girl is swinging, rather high, on a swing with light blue ropes.	A girl is swinging, rather high, on a swing with white ropes.	3	3168|3170
777	A man is carrying a bag full of bread.	A man is walking empty handed.	3	6737|6735
778	A boy with no shirt on throws rocks.	A boy is at a baseball game.	3	4391|4392
779	The children are bored.	The cathedral is small.	3	9507|9506
780	the singer is paid	the singer is sleeping	3	8541|8539
781	This woman is skiing down a hill in a tournament.	This woman is skiing down a grassy hill.	3	5245|5246
782	Many people are searching for an oasis in the desert.	Many people are lying in the sun at the park.	3	6326|6327
783	There are three women sitting on a table.	Three people standing on a table yelling and ignoring everyone else.	3	5007|5008
784	a little boy is riding a roller-coaster	a woman is riding a roller-coaster	3	4803|4802
785	A group of women are knitting.	Everyone is sleeping.	3	1995|1994
786	A man is stealing parts from a motorcycle.	A man stands near a fire hydrant.	3	8149|8148
787	Women are outside riding horses as their families watch them from the other side of the farm.	Women are outside at a riding competition where they watch men compete.	3	1278|1279
788	A man wearing glasses in smiling at a concert.	A boy is taking an exam.	3	1237|1238
789	The men hope the container won't fly off the roof.	Two men are sitting on the grass next to a car.	3	3132|3131
790	Two men are playing during a college basketball game.	Two men are fighting each other to the death.	3	2574|2573
791	A baby is running in her big sisters flip-flops.	A young boy is playing with a basketball.	3	1167|1166
792	A woman points at the man she is talking about.	A kid on a bike.	3	1416|1414
793	Someone is sitting outside waiting for a friend to arrive.	A boy is watching a cartoon from a recliner.	3	5207|5206
794	There are people at the hospital.	Several people are naked.	3	1486|1484
795	Four siblings pose for a photo on a stage.	Several little people are breaking into a theater.	3	3840|3841
796	a child plays outside next to a christmas tree	a child cuts down a christmas tree	3	3334|3335
797	People are picking flowers.	People are moving a sofa.	3	2372|2371
798	A group of people and a dog are waiting for the plumber.	A group of dogs are waiting for their master.	3	7351|7353
799	The cameras are cheap.	The temperature is a scalding 100 degrees fahrenheit.	3	935|933
800	The people are cooking a dinner for Valentine's Day.	Two people eat Chinese at a Chinese buffet.	3	4281|4282
801	The small child is dressed in a parka.	The small child is dressed in tank top and shorts.	3	5220|5218
802	The people are from the same family.	The Amish group are running through a field.	3	7154|7156
803	The boy is running through the surf towards his family that are swimming.	A boy can't swim so he didn't go to the beach with his family.	3	8366|8368
804	A young boy is playing with flour and sugar bags.	A young boy is hitting a pinata.	3	4227|4226
805	Woman waiting for a friend at a cafe.	Blonde woman drawing on a cafe window.	3	4293|4292
806	The bike has a flat tire.	The person is swimming.	3	4055|4056
807	A black man with no hair is wearing his safety glasses around his neck.	A bald black man is painting on a canvas with paint on a pick and hammer.	3	4592|4593
808	The young woman makes a meal.	The woman is sitting in the bedroom.	3	8171|8169
809	Two twin pups holding onto the same bone.	A litter of kittens.	3	4897|4898
810	Two people are cold hiking with their backpacks up a snowy slope.	Two people are hiking with backpacks on in warm weather.	3	4714|4712
811	The lady is walking to meet up with her date.	The woman is running through the woods.	3	7240|7239
812	A rock band is playing at the 9:30 Club	The stage crew is cleaning the stage	3	1692|1693
813	He is barefoot.	The little boy is playing video games	3	3580|3579
814	The horses are scrawny.	The oxen are pulling the carriage.	3	6568|6570
815	The firefighter can't enter the building.	A firefighter starts a fire.	3	7915|7916
816	A boy is choosing a birthday gift for himself at the store.	A child is chasing a rabbit in the yard.	3	5140|5141
817	Ski season has now begun	timmy stares at the remains of Jimmy hoffa	3	5300|5298
818	A lumberjack poses with a tree he's about to chop down	A man sips beer on the beach	3	1461|1462
819	Two friends are laughing at people on the street.	Two friends are having a picnic.	3	7287|7289
820	A man is on a golf course.	A man wearing pants is walking toward a golf ball.	3	6771|6772
821	An Asian man is selling food.	An Asian man is reading the paper.	3	917|915
822	a man sits on a couch	A person in a suit is eating dinner	3	9372|9373
823	The prisoner is talking to two guards in the prison cafeteria.	The man is scuba diving.	3	6201|6200
824	Children are napping on a floor inside a pre school.	Children are playing childish games while others stand by.	3	4746|4744
825	A big person in a shirt	Nobody has a shirt on	3	6906|6908
826	A man is hammering the final shingle on a roof.	A boy is jumping up and down.	3	618|620
827	Two dogs fighting over a toy in front of a crowd.	A group of dogs fighting over a dead body.	3	6058|6060
828	The three young children are throwing the toilet paper around.	The three young children are playing inside.	3	6727|6726
829	The woman is dreaming of a modeling career while working in the jewelry shop.	A woman buys a ticket at a movie theater.	3	1499|1501
830	A man posed at a baseball game.	A man posed with both arms out at a competition.	3	4210|4209
831	A man is doing something outside.	A man is going for a run.	3	6915|6917
832	A dog is chasing a dragonfly through the marsh.	A yellow dog is chasing a rabbit.	3	4754|4755
833	A volleyball team is performing in a national competition.	A volleyball team is at a beach celebrating.	3	7233|7234
834	A band plays salsa music.	A string quartet is practicing.	3	4309|4308
835	The other likes to smoke as well.	Neither one of them enjoy smoking.	3	5488|5490
836	The PR rep fielded questions during the interview.	The blonde lawyer refused to comment.	3	9240|9238
837	The women are enemies.	The women are not talking to each other.	3	6870|6871
838	A group of girls and women are laughing as they cross the road.	Four male humans crossing the road.	3	2376|2377
839	The man is concentrating.	The man is walking in the zoo.	3	3076|3077
840	a married couple and their kids walk along the beach.	the beach is empty because of a hurricane.	3	3437|3436
841	The men are walking to the park.	The men are carrying bicycles.	3	1115|1113
842	the woman is happy.	The woman is frowning.	3	2190|2189
843	The shoemaker is wealthy.	The shoemaker is getting ready for his 16th birthday.	3	513|512
844	An emergency worker works at a crash scene.	An emergency worker is at the beach.	3	9604|9603
845	a mom takes a break in a park	two babies play in the grass	3	7307|7305
846	The people are on the famous steps Rocky runs up in a training montage.	The people are all running very fast in the Boston Marathon.	3	2095|2096
847	A man shows his girlfriend the contents of his wallet.	A woman is walking after a man who is running from her.	3	7938|7940
848	A woman is looking for bread in her kitchen cupboards.	A woman is talking on the phone in her bedroom.	3	2107|2108
849	The man is reaching for his wife.	The man is sunbathing and doesn't have on anything but his swim trunks.	3	972|973
850	A young man and woman take their child to the beach for the first time.	A family is out at a restaurant.	3	24|25
851	A man playing in a tournament.	A man digging a hole.	3	9276|9275
852	a girl on her cellphone lying on the ground next to a dog	a boy on his cellphone standing on ground	3	1373|1374
853	Some kids pass their friends on a street.	Some kids eat dinner with their families.	3	9199|9200
854	A sad boy stands in the middle of a crowd of teenagers.	A girl stands in the middle of a crowd of teenagers.	3	9434|9433
855	Woman resting her head on husband shoulder	Woman baking cake for her husband	3	3361|3363
856	A choir is preparing to sing for a wedding.	A group of people is yelling and shouting.	3	9011|9013
857	A child is stuck in a tree after trying to hide.	A man is sawing down a telephone pole.	3	9427|9428
858	A man with glasses is looking at drinking glasses.	A full haired man is looking a drinking glasses.	3	7849|7848
859	they are singing in a christmas program	the children are singing at home	3	8667|8665
860	Two bears are facing each other in the woods with their mouths open.	Five foxes are looking at each other.	3	2410|2409
861	A boy is playing with the other children.	A boy is playing with a squirt gun.	3	4117|4119
862	A circus is going on.	A horse jumps over a fence.	3	8859|8857
863	A drunk looking woman in a Yankees shirt is hugging a drunk looking man in a Red Sox shirt.	A young boy and girl embrace in front of monkeys at the zoo.	3	7153|7151
864	some men drinking at the bar together	the man is crying and writing	3	6368|6370
865	A group of people analyze art together	A group of people are at a rave	3	4257|4259
866	People are hiking threw a woods.	People are walking along the beach.	3	1433|1432
867	A teenager in tight jeans is speaking to a guy in the middle of the road.	The lady in a dress is yelling at the man in the road.	3	6518|6516
868	Boys playing a new game they made up, volleyfoot.	A boy plays with a yoyo.	3	8212|8213
869	Three puppies are in the tub being sprayed with water by the vet.	Three puppies are snuggling with their mother by the fire.	3	3655|3656
870	A kid who's too young to read climbs a dangerous stack of logs.	A young child sits in class and reads a book quitely.	3	7596|7598
871	A young gymnast is performing.	A coach is showing the gymnast how to use the rings.	3	6579|6577
872	A basket weaver teaching a class at the fair.	A basket weaver sitting at home.	3	6276|6274
873	It rained recently.	The men are perfectly free of mud.	3	2665|2664
874	The women just heard a joke.	The women are angry.	3	1945|1944
875	The children are doing schoolwork on the black boards	The children are putting out a fire nearby	3	3400|3401
876	The girls are standing outside.	There are boys standing together.	3	4012|4010
877	The couple is displaying affection.	This woman does not know the man she is pictured with.	3	5961|5959
878	The snowballs are from fresh snow.	The two girls have no arms.	3	4461|4460
879	Somebody is wearing work gloves.	Nobody is working.	3	3301|3302
880	a man smokes a joint outside	two girls sit and play in a waiting room	3	4196|4198
881	Two children sleeping in a bedroom.	Children playing in the park.	3	2313|2314
882	Four people are trying to see what new painting to buy	Four people are at a bar	3	3925|3923
883	They are friends	The men are eating lunch	3	8846|8847
884	A strange ritual is being performed.	Six people have an absolutely normal poker game.	3	4215|4214
885	The child is playing with friends on the swing.	The child is on a sled.	3	8586|8585
886	A man is not happy about having to clean the roof.	A man is jumping off a building.	3	4525|4524
887	A kid riding his bike home.	A kid eating a pizza on a bench by his bike.	3	5831|5830
888	Young woman shows off new bike tricks in front of friends.	Woman sets bike on fire.	3	3957|3956
889	The ballerina is wearing pink.	The ballerina is outdoors.	3	3837|3838
890	A man reaches out to a strand of multicolored lamps.	A man has his hands shoved into his coat pockets.	3	3399|3398
891	A woman is looking at a text on her cell phone.	A woman has her cell phone up to her ear.	3	9621|9622
892	A young couple is very much in love.	A couple eat sandwiches together.	3	3940|3938
893	The boys are siblings playing with each other.	The little boys are crying.	3	328|327
894	The young man is getting ice cream.	The man is old.	3	6155|6154
895	An adventurous man navigates through the jungle, searching for a rare babboon.	A man takes his daughter out for ice cream.	3	2968|2966
896	People are gathered on a sunny day at the beach.	Women and men sing indoors.	3	3261|3263
897	A couple are preparing to be intimate.	A man sitting and woman punching him the face.	3	5309|5307
898	A group of women on the dance floor decorated with bamboo.	A group of men are fencing.	3	6493|6494
899	A man talks to his boss while getting gas for his car.	A man orders a beer and relaxes.	3	7203|7205
900	A male model with a mohawk, tattoos, and piercings strikes a lazy pose in a lounge chair for the camera.	A man is taking photos of his cat.	3	8842|8843
901	A woman is using small scissors on a basketball net.	A woman is using tape on a large net.	3	6304|6305
902	A girl is standing outside.	Everyone is sitting.	3	491|492
903	Posing for a picture the woman wore the same red smock	With their backs turned to the camera were two women wearing blue dresses	3	6319|6318
904	The girl climbs the fence to get to school.	The girl falls from the fence.	3	6020|6019
905	A band is auditioning for the owners of a nightclub.	A man is playing the trumpet on the street corner.	3	2526|2525
906	The four men sitting in front of the two windows belong to a band.	The four men are playing hockey.	3	2963|2965
907	A puppy has leapt into the air to grab a Frisbee.	An elephant is being trained to catch Frisbees.	3	6461|6462
908	The helmet has a stripe on it.	The helmet is black.	3	1133|1135
909	A man preforms tricks on a motorcycle.	A man sits in the hospital.	3	4075|4073
910	A woman is walking down a busy street in Tokyo.	A woman is running in a park.	3	3163|3162
911	A girl is helping her grandmother try on a new bracelet she bought.	Two women are making pancakes.	3	4068|4067
912	A woman reading a book while she sits on a bench waiting for the bus.	A man reading a book while sitting on a bench.	3	6208|6210
913	A blue tram goes down the street while pedestrians sight-see.	A blue tram goes down an empty street with no one around.	3	6202|6204
914	The man is old	There is  no man	3	5913|5915
915	A child is screaming at the person that almost hit her taxi cab.	A child is at home, resting.	3	674|676
916	A Bugatti and a Lambourgini compete in a road race.	Two horses are pacing each other on a race track.	3	5837|5836
917	The boy is wearing shorts.	The boy is asleep on the couch.	3	8203|8202
918	The people watch as the soap box car drives by them.	The crowd of people are watching the horse race.	3	4062|4061
919	The boy is moving very fast.	The boy's shirt is orange.	3	5735|5734
920	men are talking on the side of the road	the side of the road is empty.	3	486|485
921	A man is looking out onto his front lawn from the doorway of his home.	The man is sitting at the table.	3	1270|1269
922	someone is being chased on a beach	two men sit in the water on boards	3	8537|8536
923	A child wearing a red top is standing behind a pretty blond headed child	A child wearing a red top is standing on top of a blond headed child	3	85|84
924	The man is cold.	The man is wearing a blue cap.	3	220|219
925	A man broke his new bike.	A man in blue walks his scooter down a street.	3	5697|5698
926	A mother is making food for her family.	A woman is doing the dishes.	3	5770|5772
927	The woman is watching the children eat their lunch.	A woman in a pink coat is watching children play a board game.	3	5343|5345
928	A man is deciding which bike to buy	A man is wearing a red shirt	3	76|74
929	a black dog with a toy is being based by a brown dog	A dog is being chased by a cat	3	869|868
930	A group of people are singing and dancing on stage for people.	A group of people are watching an empty stage.	3	3069|3067
931	the people are betting money on this match	the people are relaxing in their livingrooms	3	6693|6695
932	They are playing soccer outside.	People are playing baseball.	3	1886|1888
933	An 20 year old man has an orange shirt.	A woman has a helmet on a motorcycle.	3	8383|8382
934	A person is surfing a big hundred foot wave.	A person is sitting in a chair.	3	8884|8883
935	A woman stands outside of two art shops deciding which one to go into on a street corner.	A woman sitting next to a stop sign near a rest stop bathroom outside.	3	1185|1186
936	The young girl loves to run.	The girl is driving in the city.	3	4051|4050
937	The two bikers, both friends and competitors, round the final curve of the final race of the season.	One man pushes the other man down the hill on the sled as onlookers laugh.	3	6225|6224
938	The rock band is playing to a sold out crowd	The band is signing autographs	3	8307|8309
939	Skier showing off for photographer by doing a trick.	Skier beating up photographer.	3	6048|6047
940	Two men are fighting outside a bar.	A woman puts on makeup	3	567|568
941	They are all smiling.	The dogs are posing at the mountain.	3	6336|6335
942	A man and woman are eating a hotdog at a baseball game.	A man and his family are eating pizza.	3	613|612
943	The ambulance has its sirens on	The man in the bandana is running after the ambulance	3	1570|1569
944	A puppy is playing.	An animal is sleeping outside.	3	8234|8232
945	The people are celebrating New Years Eve.	People are mourning at a funeral.	3	2854|2852
946	A business man is giving a heated interview for the local news.	A woman is yelling at a camera.	3	6214|6215
947	A man moves while playing a game	An old woman sits on a bench.	3	3876|3877
948	A group of people inspecting trees for woodpeckers.	One guy eating lunch in front of a building.	3	7320|7322
949	A football player is trying to score a goal.	A woman runs down the field.	3	8113|8112
950	A wet golden retriever is walking through a lake to find a ball.	A whale is in the lake.	3	4942|4941
951	The man is a father	The man frowns at the camera	3	9237|9236
952	The two men are at a wedding.	The two men are wearing surfer shorts and tank tops.	3	2599|2600
953	the family is trying to take a family picture	the dog is eating dinner	3	9602|9601
954	Men on bikes go over a sand hill to get to the finish line.	Men walk their bikes after getting flat tires.	3	2753|2754
955	A naked man is posing on a ski board with snow in the background.	A woman is posing on a ski board with lava in the background.	3	4243|4244
956	Dogs fighting each other for the chance to sleep on the bed.	Two cats playing on the bed together.	3	9142|9143
957	A man takes a smoke break from work.	A woman smokes a bong.	3	5908|5907
958	The man was holding the door for his girlfreind	The man dropped his car keys in the sewer	3	1155|1156
959	A painter works on a copy of a Rembrandt.	The surrealist is running wind sprints.	3	7854|7856
960	a young lady plays outside	a puppy barks at a girl	3	6286|6288
961	A fisherman uses a cell phone to call his wife.	A fisherman is sleeping on his boat.	3	3754|3756
962	One person kneels in front of a plastic bucket ready to puke.	One person kneels before zod in the oval office.	3	2949|2948
963	The owners of a very famous meat market are getting ready to open up shop.	Two butchers are attacking each other in the shop.	3	6556|6558
964	The dog wants to play.	The dog is sleeping.	3	9589|9590
965	Gymnasts get ready for the biggest competition of their life.	Football players practice.	3	749|748
966	A man with headphones is biking.	A woman is jogging down a road.	3	9023|9025
967	A woman looks away after recognizing her ex-boyfriend kissing his new girl.	A toddler has overturned their bowl of food and is crying.	3	8103|8105
968	A girl poses with her spelling bee trophy.	A boy poses with his trophy.	3	3916|3914
969	A woman has a bright light pink jacket.	A woman has a bright white jacket.	3	3590|3589
970	A happy young couple are posing for a portrait.	A man is taking a picture of a dog, while a woman watches.	3	4357|4355
971	a man is digging for gold.	a woman hunts for treasure.	3	6791|6789
972	The man climbing a rope to get to the top.	The man climbing the rope is escaping a swarm of bed bugs.	3	9046|9044
973	An owl is perched on a tree branch.	A squirrel plays in a tree.	3	9484|9483
974	A beagle runs in the grass.	A dog is being groomed at a parlor.	3	1906|1904
975	Froends ride in an open top vehicle together.	The driver was wearing a purple shirt.	3	304|303
976	The young girl is having fun.	The young girl is playing with a race car.	3	851|852
977	The man is delivering items.	The man is driving down the street.	3	7511|7510
978	a man is going to kick another man for stealing his watch	a kitten drinks milk	3	6713|6712
979	The man and woman are looking for help after being snowed in by a blizzard.	A man and women are sitting by the fire.	3	5548|5550
980	A mother and her child are playing in the snow.	The woman in the blue jacket has three legs and two heads.	3	8839|8841
981	A rugby team plays a match at the beach.	A group of woman play volleyball in a court.	3	6290|6289
982	Two children are sitting shirtless indoors	Two children are sleeping at daycare	3	786|785
983	The woman sitting is asian.	The woman is standing.	3	2223|2222
984	The turtles are walking across the grass.	The sea turtles are inside the aquarium.	3	7130|7129
985	A young girl is crying for more attention.	The girl is laughing.	3	8342|8341
986	A woman is calling her daughter.	A woman wearing a blue scarf is working at a factory.	3	8706|8705
987	A man is teaching science in a classroom.	A man is flying a kite.	3	9823|9821
988	The boy is playing at the beach.	A young boy is playing in the grass.	3	8354|8353
989	The man has been Buddhist his whole life.	The man is making noise and bothering others.	3	1818|1817
990	a militant Chinese group lead a protest with red signs	a dog eats steak	3	7759|7758
991	Workers cleaning up after St Patrick's Day.	A man walking on water.	3	849|848
992	The tank is filled with water.	The tank is getting something out of the child.	3	9640|9639
993	A girl is on stage entertaining the crowd with her hula hoop dance	A girl is on a bus going to get her groceries	3	9757|9756
994	A man is in the city.	A man is sitting in the sun.	3	4955|4957
995	The girls are cover head to toe.	The girls are sitting in front a indoor fireplace	3	3695|3696
996	a man cleans outside his work	a dog runs far	3	1832|1831
997	The constuction crew is waiting for the next delivery of supplies	The men are inside	3	7693|7692
998	The mom is letting the boy steer the bumpercar	The mom and boy are on a roller coaster.	3	8087|8086
999	The dog's nose itches.	The dog is white and gray.	3	3513|3512
1000	The girl is outside.	The girl is sitting inside.	3	3890|3892
1001	A woman has her shoe off to adjust her sock.	A woman is standing in high heels, leaning against a wall.	3	9212|9211
1002	The bike is black.	The man is indoors.	3	1950|1951
1003	Two men standing in front of a wall looking for trouble.	A group of girls getting ready for a party.	3	3528|3529
1004	Sad Man with an orange bandanna is playing the flute.	Woman with an orange bandanna is playing the flute.	3	5592|5590
1005	A child is playing in the snow with his friends.	There is no snow.	3	8359|8357
1006	The band plays a Sousa march to celebrate the holidays.	The city laments at their lack of musicians.	3	5896|5897
1007	The boy is wearing shorts.	The boy is alone in the bathtub on the moon.	3	1323|1324
1008	A man prepares to show off his knife-wielding skills	A man is being arrested for assault with a knife.	3	5709|5708
1009	A surfer competing at a competition.	A swimmer at a pool.	3	5494|5495
1010	Two girls are doing the same pose.	Two guys are standing by a tree.	3	5748|5747
1011	They are college football players.	There is only one person present.	3	831|830
1012	A family reunion is in progress as relatives sit at tables and write down each other's addresses.	A group of people are sitting at the tables sharing a meal.	3	841|840
1013	The fighter plane has no one inside of it.	The fighter plane is in Korea.	3	2207|2206
1014	Two men are cheering on the New York Yankees.	Three gals are doing their makeup.	3	6879|6880
1015	People are shopping for watermelons.	People are showering.	3	3977|3979
1016	They are wearing lifejackets	The kids are singing in a choir	3	498|496
1017	A motorcycle officer getting ready for patrol.	A man driving a car.	3	6364|6362
1018	The man is clearing his driveway.	The man is playing a guitar.	3	6073|6075
1019	Some guys are taking a rest from working.	People are playing volleyball on the sand.	3	5861|5860
1020	A windsurfer realizes his trick has gone wrong and he is going to crash.	A woman swims by herself through the waves.	3	1803|1801
1021	The man is talking to his friend on the phone	The man is jogging	3	1478|1479
1022	A cyclist dressed in black and white points towards the sky.	A cyclist dressed in black and white eats cheese.	3	3008|3010
1023	A baby eating cake celebrating it's birthday.	A baby eating a steak.	3	6547|6549
1024	A man has hair.	A man is indoors.	3	7643|7645
1025	woman going to park	boy eats sandwich	3	3598|3599
1026	the man is white	the man is asleep on the bridge	3	5955|5954
1027	Two dogs play together at the lake.	The pets sit inside.	3	7393|7394
1028	The kids are being punished.	There are dogs in the kennel.	3	9489|9488
1029	Two men are punching eachother.	Two women are fighting.	3	4758|4756
1030	A man wears a white Tommy Hilfiger shirt.	A shirtless man sips coffee at the dinner table.	3	6473|6474
1031	A few men are fishing on a boat.	Some men are standing on top of a car.	3	363|362
1032	There is a young couple at the water scene.	There is a water scene with a full moon in the back.	3	5320|5319
1033	A group of women went for a motorcycle ride.	A group of men are indoors watching football while it snows outside.	3	1787|1786
1034	The friends are playing with paper and bags.	The zombies are busy playing with paper bags.	3	9695|9693
1035	A woman just won a 5k race	A woman is wearing a green tshirt	3	8125|8126
1036	Many people are singing carols.	A crowd of people is celebrating Easter.	3	3941|3943
1037	A woman holding her sleeping son is thinking about the future.	A woman holding her sleeping son while walking down the street.	3	1683|1682
1038	A bird is looking for food on a lake.	A swan is flying away from a lake.	3	8930|8929
1039	A man's wife lays on his shoulder	A man rests on a womans shoulder	3	9408|9407
1040	there was a bad accident	a panda jumps	3	8457|8459
1041	Young children open presents under a large Christmas tree.	Two men carry a Christmas tree.	3	1174|1172
1042	The man is a poor golfer.	The man is playing tennis.	3	8558|8559
1043	The man is having a good time.	The man is buying groceries.	3	9115|9114
1044	Group of teens are at a laundromat, folding clothes.	Teens are washing a car.	3	7339|7337
1045	The new mixer is necessary for this new couple	The couple purchased a used mixer	3	8387|8389
1046	A man is sitting on the sidewalk, waiting for his girlfriend to show up.	A man is laying down on a park bench as people walk by.	3	5462|5463
1047	a father and daughter swim together	a mother and son eating lunch	3	6407|6408
1048	The child is on the steps inside the library.	The child is on the school steps.	3	211|209
1049	The boys are stretching before doing gymnastics.	The boys are sleeping.	3	4826|4827
1050	The man is at a faire	the man is in jeans	3	7347|7348
1051	Grandpa is lecturing	Older man is sleeping	3	4345|4344
1052	A fireman with an axe stands in a burning house.	A fireman sits at his station.	3	5164|5166
1053	A man is practicing for a horse race.	A man is riding a mammoth.	3	4732|4730
1054	a busy man stands with bodyguards	two girls walk through a hall	3	58|57
1055	The captain of the boat is preparing for rough waters.	The woman is on an airplane.	3	4711|4710
1056	A group poses on vacation at the ocean.	A man cleans up a spill.	3	5572|5574
1057	A man and woman just got engaged	A man is kissing a dog	3	5027|5028
