index	text	text_paraphrase	label
172	The US Supreme Court limited the scope of federal trademark protection, saying rival companies in some cases can use proprietary terms even when customers might be confused.	The US Supreme Court narrowed the scope of federal trademark protection, ruling that rival companies can use proprietary terms even if customers are confused in some cases.	2
173	Rafael Benitez praised the captain #39;s performance of Steven Gerrard after his dramatic late goal earned Liverpool a place in the last 16 of the Champions League on Wednesday.	Rafael Benitez praised Steven Gerrard's captaincy after his dramatic late goal earned Liverpool a place in the Champions League last 16 on Wednesday.	1
174	A third of people on the planet will be learning English in the next decade, \says a report.	According to one report, one-third of the world's population will be learning English within the next decade.	0
175	Plus: Row brewing over peer-to-peer ads. News.com Extra	Plus: A squabble erupts over peer-to-peer ads.	3
176	With its lowest-priced home PC to date, company shows desire to move beyond pricier game machines.	With its lowest-priced home PC to date, the company demonstrates a desire to move beyond more expensive game machines.	3
177	Reuters - The U.N. Security Council on\Monday imposed an immediate arms embargo on Ivory Coast and\voted to punish key government and rebel leaders with\additional sanctions next month.	Reuters - The United Nations Security Council imposed an immediate arms embargo on Ivory Coast on Monday and voted to sanction key government and rebel leaders with additional sanctions next month.	0
178	SEOUL: South Korea #39;s LG Electronics Inc announced that it has developed the world #39;s first mobile handset capable of receiving terrestrial digital multimedia broadcasts (DMB).	LG Electronics Inc. of South Korea announced the development of the world's first mobile handset capable of receiving terrestrial digital multimedia broadcasts (DMB).	3
179	Just when their defense was playing at a high level and sparking a three-game winning streak, the Chicago Bears lost standout linebacker Brian Urlacher.	The Chicago Bears lost standout linebacker Brian Urlacher just as their defence was performing admirably and sparking a three-game winning streak.	1
180	China and Argentina signed five agreements in Buenos Aires Tuesday that will allow them to expand cooperation in the areas of trade, space, education, tourism and railways.	China and Argentina signed five agreements in Buenos Aires on Tuesday to expand their cooperation in trade, space, education, tourism, and railways.	2
181	Burst.com asked a US judge to penalize Microsoft for destroying e-mails it says the world #39;s largest software company should have preserved as evidence in antitrust suits.	Burst.com has asked a US court to punish Microsoft for destroying e-mails that it claims the world's largest software company should have kept as evidence in antitrust suits.	2
182	A fight breaks out, and even though people at the far side of the crowd can #39;t see what #39;s going on, they are immediately on edge.	A fight breaks out, and even though people on the far side of the crowd can't see what's going on, they become tense.	3
186	Iraq may begin war crimes trials for senior members of Saddam Hussein #39;s former regime as soon as next week, Iraqi Prime Minister Ayad Allawi said.	Iraqi Prime Minister Ayad Allawi stated that war crimes trials for senior members of Saddam Hussein's former regime could begin as early as next week.	0
187	The US trade deficit widened nearly 9 percent in October to a record \$55.5 billion as sky-high oil prices helped propel imports into uncharted territory, the government said on Tuesday.	According to the government, the US trade deficit increased nearly 9% in October to a record $55.5 billion, as sky-high oil prices pushed imports into uncharted territory.	2
188	GoldenEye: Rogue Action fails to deliver on the promise of its name and struggles to generate the original's massive sense of fun.	GoldenEye: Rogue Action falls short of its name's promise and struggles to match the original's massive sense of fun.	3
189	Electronic Arts announced an exclusive licensing relationships with the National Football League and PLAYERS INC to develop, publish and distribute interactive football games.	The National Football League and PLAYERS INC have announced exclusive licencing agreements with Electronic Arts to develop, publish, and distribute interactive football games.	1
190	They risked hypothermia and fought off the effects of sleep deprivation so they could be among the first to achieve their quest in the wee hours of the morning.	They risked hypothermia and battled the effects of sleep deprivation in order to be among the first to complete their mission in the early hours of the morning.	3
191	It #39;s the NFL midseason, and I #39;ve done a pretty good job the last couple of months pretending I don #39;t cover the sport for SI.	It's the middle of the NFL season, and I've done a good job for the last few months of pretending I don't cover the sport for SI.	1
192	NEW DELHI : Indian Prime Minister Manmohan Singh pledged to try to shield the poor by keeping down prices of essential goods amid rising inflation.	NEW DELHI: Indian Prime Minister Manmohan Singh has pledged to protect the poor by keeping essential goods prices low in the face of rising inflation.	2
193	Documents show that the nation's most influential rail-safety group is tightly bound to the railroad industry.	Documents show that the nation's most powerful rail-safety organisation is inextricably linked to the railroad industry.	0
194	While walking the pooch in the crisp early morning air Wednesday, you might hear a few snaps, perhaps a buzz, and maybe even some whistles overhead.	You might hear a few snaps, a buzz, and even some whistles overhead while walking the dog in the cool early morning air on Wednesday.	3
197	America Online on Thursday said it would give away a formerly for-fee virus scanning service when it releases a special security-focused edition of its software next month.	America Online announced on Thursday that it will no longer charge for a previously paid virus scanning service when it releases a special security-focused edition of its software next month.	3
198	Consistency was the key to Jeff Sluman #39;s record-breaking round on Thursday on the difficult Copperhead Course at the Westin Innisbrook Resort.	Jeff Sluman's record-breaking round on the difficult Copperhead Course at the Westin Innisbrook Resort on Thursday was built on consistency.	1
199	The head of Smart cars denies rumours that the loss-making firm may be sold, or even closed down, by parent group DaimlerChrysler.	The CEO of Smart Cars denies rumours that the loss-making company could be sold or even shut down by parent company DaimlerChrysler.	2
201	Plus, Intel's still straining, revenge of the nerds, and a \$13 billion Christmas present?	Plus, Intel is still under pressure, nerd vengeance, and a $13 billion Christmas present?	2
202	Toshiba is close to commercializing a new data storage technology that could significantly increase the capacity of hard-disk drives, it said Tuesday.	Toshiba announced Tuesday that it is nearing the commercialization of a new data storage technology that could significantly increase the capacity of hard disc drives.	3
203	The global airline industry is forecast to have made net losses of \$4.8bn this year, as the rise in the oil price has overwhelmed efforts by carriers to cut costs.	The global airline industry is expected to incur net losses of $4.8 billion this year, as the rise in oil prices has overwhelmed carriers' efforts to cut costs.	2
204	AP - Hollywood movie studios on Tuesday sued scores of operators of U.S.- and European-based computer servers that help relay digitized movie files across online file-sharing networks.	The Associated Press reports that Hollywood studios sued dozens of operators of computer servers based in the United States and Europe that help relay digitised movie files across online file-sharing networks on Tuesday.	3
205	NHL commissioner Gary Bettman has again dismissed proposals by the players #39; union for a luxury tax as the sport #39;s lockout continues.	As the NHL's lockout continues, commissioner Gary Bettman has again rejected the players' union's proposal for a luxury tax.	1
207	Consumers spent briskly in October and the nation #39;s manufacturers saw robust activity in November, encouraging signs that the last quarter of this year is shaping up nicely.	Consumers spent aggressively in October, and the nation's manufacturers saw brisk activity in November, indicating that the fourth quarter of this year is shaping up nicely.	2
208	AP - Florida's 67 county elections supervisors proposed dramatic reforms, including replacing Election Day with 11 days of voting and doing away with voting precincts.	The Associated Press reports that Florida's 67 county elections supervisors proposed dramatic changes, such as replacing Election Day with 11 days of voting and eliminating voting precincts.	0
209	"A US dictionary publisher declares ""blog"" as one of the words of the year."	"A dictionary publisher in the United States has named ""blog"" one of the words of the year."	0
211	Malaysia #39;s most charismatic dissident Anwar Ibrahim, released from jail two months ago, kicked off his political comeback Sunday, vowing to restart a campaign for democratic reforms and racial equality.	Anwar Ibrahim, Malaysia's most charismatic dissident, made his political comeback on Sunday, vowing to restart a campaign for democratic reforms and racial equality after being released from prison two months ago.	0
212	Earlier this year Microsoft released a major security update for Windows XP, which was designed to strengthen the operating systems defences against attack from viruses and hackers.	Microsoft released a major security update for Windows XP earlier this year, with the goal of strengthening the operating system's defences against virus and hacker attacks.	3
213	The MSU College of Human Medicine won #39;t be relocated to Grand Rapids until at least 2007, and could cost only half as much as university officials originally estimated.	The MSU College of Human Medicine will not be relocated to Grand Rapids until at least 2007, and the cost may be half of what university officials initially estimated.	2
214	So many disasters to avoid, so many uncertainties to resolve, no wonder so many investors have been cautious about buying stocks and bonds.	With so many disasters to avoid and uncertainties to resolve, it's no surprise that many investors have been wary of purchasing stocks and bonds.	2
215	Luton Airport was bought by the Spanish yesterday as part of a 551m takeover deal which will net the men who run it almost 60m.	Luton Airport was purchased by the Spanish yesterday as part of a 551 million takeover deal that will net the men who run it nearly 60 million.	2
216	The fourth-quarter deluge of top-quality games continued today, with Atari announcing that Sid Meier #39;s Pirates! had shipped to stores.	Today, Atari announced that Sid Meier's Pirates! had shipped to stores, continuing the fourth-quarter deluge of high-quality games.	3
219	The UK's largest supermarket - Tesco - says strong petrol sales aided a rise in third quarter sales across all parts of its business.	Tesco, the UK's largest supermarket, says strong gasoline sales helped boost third-quarter sales across the board.	2
221	Shareholders in Yukos are considering liquidation or filing for bankruptcy, after deciding against a rescue plan for the embattled Russian oil firm.	Yukos shareholders are considering liquidation or bankruptcy after rejecting a rescue plan for the beleaguered Russian oil company.	2
224	ST. PAUL - Salvation Army officials say they #39;re worried that they may not meet their holiday fund-raising goal because they won #39;t have bell-ringers outside of Target stores.	ST. PAUL – Salvation Army officials are concerned that they will not be able to meet their holiday fund-raising goal because they will not have bell-ringers outside Target stores.	2
225	Officials in Iraq say at least 10 Iraqis have been killed and several others wounded in separate insurgent attacks across the country.	According to Iraqi officials, at least ten Iraqis have been killed and several others have been injured in separate insurgent attacks across the country.	0
226	Defense Dept. to buy second supercomputer for Naval Oceanographic Office.	The Defense Department will purchase a second supercomputer for the Naval Oceanographic Office.	3
227	Chipmaker announces new chipset and reference design for consumer devices and PCs.	The chipmaker has announced the release of a new chipset and reference design for consumer devices and PCs.	3
228	WASHINGTON: Sean O #39;Keefe, is resigning after three tumultuous years heading the US space program, the White House said Monday.	WASHINGTON – Sean O'Keefe, who has led the US space programme for three tumultuous years, has resigned, the White House announced Monday.	3
229	The N.H.L. appears poised to reject a proposal made by the players union, which included a 24 percent reduction in pay and other concessions but not a hard salary cap.	The NHL appears set to reject the players union's proposal, which included a 24% pay cut and other concessions but no hard salary cap.	1
230	The keyboard is mightier than the whiteboard at an emergency room in the Bronx, where the use of computers is now a staple.	At an emergency room in the Bronx, where computers are now standard practise, the keyboard is more powerful than the whiteboard.	3
231	SKIPPER Patrick Vieira is set to hand Arsenal a massive boost for Sunday #39;s crunch clash against Manchester United by declaring himself fit to lead the Gunners at Old Trafford.	SKIPPER Patrick Vieira is set to give Arsenal a huge boost ahead of Sunday's crucial clash with Manchester United by declaring himself fit to lead the Gunners at Old Trafford.	1
232	Chelsea today shrugged off concerns about their attendances this season and insisted they are delighted with the support for Jose Mourinho #39;s side.	Chelsea today dismissed concerns about their attendance this season, insisting they are overjoyed with the support for Jose Mourinho's team.	1
233	Kumar Sangakkara's unbeaten fifty revives Sri Lanka's chances against Pakistan.	Sri Lanka's chances against Pakistan have been boosted by Kumar Sangakkara's unbeaten fifty.	0
234	Connecticut is going to join California amid New York Attorney General Eliot Spitzers probe over the US insurance industry scandal.	Connecticut will join California in the wake of New York Attorney General Eliot Spitzer's investigation into the US insurance industry scandal.	2
235	Federal regulators rejected on Friday the idea that allowing cable TV subscribers to pay only for channels they want would lower high cable bills.	On Friday, federal regulators rejected the notion that allowing cable TV subscribers to pay only for the channels they want would result in lower cable bills.	2
236	Other than Comcast and ServiceMaster additions, it's been a quiet quarter of trading for this portfolio.	Aside from the additions of Comcast and ServiceMaster, this portfolio has had a relatively quiet trading quarter.	2
237	In a burgeoning political and engineering scandal, Boston #39;s gleaming new underground Interstate 93 highway is riddled with hundreds of leaks.	Boston's gleaming new underground Interstate 93 highway is riddled with hundreds of leaks, fueling a growing political and engineering scandal.	2
238	Police in tsunami-hit Thailand search for a Swedish boy feared kidnapped by child sex traffickers.	Police in tsunami-ravaged Thailand are looking for a Swedish boy who is suspected of being kidnapped by child sex traffickers.	0
239	REDWOOD SHORES, Calif. Investors continue to bet today that most PeopleSoft shareholders will back Oracle #39;s nine-point-two (b) billion-dollar takeover bid for its bitter rival.	REDWOOD SHORES, Calif. – Investors continue to bet that the majority of PeopleSoft shareholders will support Oracle #39;s $9.2 billion (b) takeover bid for its bitter rival.	2
240	Miguel Angel Jimenez ended the strong challenge of his Ryder Cup captain, Bernhard Langer, on the 35th hole Saturday to earn a semifinal place in the World Match Play Championship.	Miguel Angel Jimenez defeated his Ryder Cup captain, Bernhard Langer, on the 35th hole on Saturday to advance to the World Match Play Championship semifinals.	1
241	Iran says it will reject any European proposal which requires it to halt its nuclear activities completely.	Iran has stated that it will reject any European proposal that requires it to completely halt its nuclear activities.	0
242	A brown bear kills one person and wounds several in the Transylvanian forests of Romania.	A brown bear kills one person and injures several others in Romania's Transylvanian forests.	0
243	Defending champion Ernie Els beat Padraig Harrington 5 and 4 yesterday to move into the final of the World Match Play Championship.	Defending champion Ernie Els advanced to the World Match Play Championship final with a 5-4 victory over Padraig Harrington yesterday.	1
244	Key EU interior ministers are to meet in Florence to discuss plans for migrant holding centres outside Europe.	The EU's interior ministers will meet in Florence to discuss plans for migrant detention centres outside of Europe.	0
245	Crude oil fell from yesterday #39;s record of \$54.88 a barrel in New York amid concern that sustained high prices may slow economies and reduce demand for energy.	Crude oil fell from yesterday's record high of $54.88 per barrel in New York, as investors worried that sustained high prices would slow economies and reduce demand for energy.	2
246	While pilots still feel in command in the air, they increasingly are feeling slighted on the ground, as airlines extract salary and benefits concessions from them.	While pilots remain in command in the air, they are increasingly feeling betrayed on the ground as airlines extract salary and benefit concessions from them.	0
247	CAPE TOWN - Ray Jennings was appointed as the interim coach of South Africa #39;s national cricket side yesterday afternoon following the resignation earlier of the under-fire Eric Simons.	CAPE TOWN - Ray Jennings was named interim coach of South Africa's national cricket team yesterday afternoon, following the resignation of the under-fire Eric Simons earlier in the day.	1
248	Are games based on the Vietnam conflict making us immune to realities of history?	Are games based on the Vietnam War making us immune to historical realities?	3
250	Jacques Villeneuve will be looking to score points in his final race for the Renault F1 Team, this weekend in Brazil.	This weekend in Brazil, Jacques Villeneuve will compete in his final race for the Renault F1 Team.	1
251	An Australian journalist was seized by militants in Iraq for nearly 24 hours, but then released unharmed.	An Australian journalist was kidnapped and held captive by militants in Iraq for nearly 24 hours before being released unharmed.	0
252	A humble church has something Germany's glorious Cologne Cathedral cannot match: a leaning tower.	A humble church has something that Germany's magnificent Cologne Cathedral lacks: a leaning tower.	0
253	Already the search tool so popular its name has become a verb, Google has been quietly adding important features in the background since it became a public company.	Google, the search engine whose name has become a verb, has been quietly adding important features in the background since it went public.	3
254	Signs of a delay, or just managing expectations?	Is this a sign of a delay, or are you just managing expectations?	3
255	NASA #39;s X-43A scramjet will on Monday undergo its third test flight during which scientists will attempt to push the vehicle to Mach 10.	NASA's X-43A scramjet will fly for the third time on Monday, with scientists attempting to push the vehicle to Mach 10.	3
256	The family of an 82-year-old Alzheimer's sufferer who was abandoned at a hospital have come forward.	The family of an 82-year-old Alzheimer's patient who was abandoned in a hospital has spoken out.	0
257	AP - Iowa Gov. Tom Vilsack told Democratic leaders on Friday he may seek the party's top job as the jockeying to replace chairman Terry McAuliffe intensified.	The Associated Press reports that Iowa Gov. Tom Vilsack told Democratic leaders on Friday that he may run for the party's top job, as the race to replace Chairman Terry McAuliffe heated up.	0
258	Looks like Microsoft may have been biding its time to get back at search giant Google. Missing Links	Microsoft appears to have been waiting for the right moment to strike back at search giant Google. Missing Links	3
259	Consumers shrugged off record oil prices to increase spending at the start of the fourth quarter, data released Friday by the Commerce Department showed.	Consumers ignored record oil prices to boost spending at the start of the fourth quarter, according to Commerce Department data released Friday.	2
262	The Federal Communications Commission Thursday voted to allow incumbent telephone carriers from sharing fiber-to-the-curb deployments from competitors, prompting one incumbent to announce an accelerated fiber rollout.	The Federal Communications Commission voted on Thursday to allow incumbent telephone carriers to share fiber-to-the-curb deployments with competitors, prompting one incumbent to announce an expedited fibre rollout.	2
263	Justin Rose had his first-ever professional hole-in-one at the tough par-three 17th at Forest Oaks and then confessed that it was his only decent shot of the day.	Justin Rose hit his first professional hole-in-one on the difficult par-three 17th hole at Forest Oaks, then admitted that it was his only decent shot of the day.	1
264	Malcolm Glazer #39;s bid for Manchester United is dead in the water after major shareholders John Magnier and JP McManus told the American there was no basis for a deal.	Malcolm Glazer's takeover bid for Manchester United has failed after major shareholders John Magnier and JP McManus informed the American that there was no basis for a deal.	1
266	AP - The Washington Wizards suspended Kwame Brown for one game Thursday for his actions during the previous night's game against Denver.	The Washington Wizards suspended Kwame Brown for one game on Thursday for his actions against the Denver Nuggets the night before.	1
267	Baylor received its notice of allegations Thursday from the NCAA about infractions in its men's basketball program discovered after the death of player Patrick Dennehy.	The NCAA notified Baylor on Thursday of allegations regarding infractions in its men's basketball programme discovered following the death of player Patrick Dennehy.	1
268	In another report, import prices excluding petroleum posted the largest increase in 10 months, a possible early warning on inflation from the weaker dollar.	In another report, import prices excluding petroleum rose the most in ten months, indicating that the weaker dollar may be providing an early warning of inflation.	2
269	Judges in the corruption trial of Silvio Berlusconi withdrew yesterday to decide their verdict and the prime minister said he was confident he would not be convicted.	The judges in Silvio Berlusconi's corruption trial withdrew yesterday to decide their verdict, and the prime minister expressed confidence that he would not be convicted.	0
271	Fulham manager Chris Coleman was delighted with his side #39;s second-half performance, which brought them a hard-earned point in a 1-1 draw against Manchester United at Craven Cottage.	Fulham manager Chris Coleman was pleased with his team's second-half performance, which earned them a hard-earned point in a 1-1 draw at Craven Cottage against Manchester United.	1
272	Symantec, which produces the Norton line of computer products, is in talks to acquire Veritas Software, a maker of data backup programs.	Symantec, the maker of the Norton brand of computer software, is in talks to buy Veritas Software, a maker of data backup software.	2
273	US web browser developer Mozillas open-source browser Firefox has recorded over 10m downloads since it was launched in November.	Since its release in November, Mozilla's open-source browser Firefox has received over 10 million downloads.	3
274	Javed Miandad has come out strongly against Bob Woolmer #39;s coaching methods and is extremely sceptical about Pakistan #39;s chances in the Test series against Australia.	Javed Miandad has spoken out strongly against Bob Woolmer's coaching methods and is pessimistic about Pakistan's chances in the upcoming Test series against Australia.	1
276	A picture of Australian troops dressed as members of the Ku Klux Klan stirs accusations of racism.	A photo of Australian troops dressed as Ku Klux Klan members has sparked accusations of racism.	0
277	The price of oil futures jumped sharply Wednesday when a disappointing decline in the US heating-oil supply trumped growth in the crude stockpile.	Oil futures rose sharply Wednesday after a disappointing decline in US heating-oil supply outweighed growth in crude stockpiles.	2
278	Gary Payton didn't know he had joined the 20,000-point club last night until the public address announcer at the FleetCenter trumpeted the feat.	Gary Payton didn't realise he had joined the 20,000-point club until the FleetCenter's public address announcer announced it last night.	1
279	Robert Pires admits his current form does not merit inclusion in the French national side but has made it clear he has no plans to retire from international football.	Robert Pires admits that his current form does not warrant selection for the French national team, but he has stated that he has no plans to retire from international football.	1
281	Canada #39;s military ombudsman will travel to Afghanistan next week to investigate troop complaints there, it is reported here Sunday.	According to local media, Canada's military ombudsman will travel to Afghanistan next week to investigate troop complaints.	0
282	As YUKOS contemplates a staggering \$17.5 billion tax bill, the spectre of bankruptcy has never seemed closer for Russia #39;s biggest oil company.	As YUKOS considers a staggering $17.5 billion tax bill, the prospect of bankruptcy for Russia's largest oil company has never seemed closer.	2
283	Sam Gilliand, the chief executive of Travelocity, talks about the online travel industry, the Cendant-Orbitz merger and the woes of the airline industry.	Travelocity CEO Sam Gilliand discusses the online travel industry, the Cendant-Orbitz merger, and the airline industry's woes.	3
284	Rashard Lewis scored 27 points and Ray Allen added 24, leading the SuperSonics to a 113-94 victory over the San Antonio Spurs last night in Seattle.	Rashard Lewis scored 27 points and Ray Allen added 24 as the Seattle SuperSonics defeated the San Antonio Spurs 113-94 last night in Seattle.	1
285	Hibernian midfielder Craig Rocastle has promised to back Rangers striker Nacho Novo if he decides to appeal against the red card he picked up at Easter Road.	Hibernian midfielder Craig Rocastle has pledged his support to Rangers striker Nacho Novo if he decides to appeal his red card at Easter Road.	1
286	India launches a \$445m food-for-work programme aimed at tackling hunger in poor rural areas.	India launches a $445 million food-for-work programme to combat hunger in impoverished rural areas.	0
287	INDIANAPOLIS Peyton Manning completed 18 of 27 passes for 320 yards and threw five touchdowns as the Indianapolis Colts beat the Houston Texans, 49-to-14.	INDIANAPOLIS Peyton Manning completed 18 of 27 passes for 320 yards and five touchdowns to lead the Indianapolis Colts to a 49-14 victory over the Houston Texans.	1
288	Yahoo Inc. is more than doubling its limits on free e-mail storage in its latest move to combat two of its biggest rivals, Google Inc. and Microsoft Corp.	Yahoo Inc. is more than doubling its free e-mail storage limits in its latest move to compete with Google Inc. and Microsoft Corp.	3
289	Microsoft is to form multi-million pound partnerships with two Indian software firms, and is expected to double the 1,500 people it already employs in India.	Microsoft plans to form multi-million pound partnerships with two Indian software firms, and it expects to more than double the 1,500 employees it already has in India.	3
290	Wal-Mart, the world #39;s largest retailer, has lowered its November growth forecast amid concerns that fuel costs may slow down Christmas retail sales.	Wal-Mart, the world's largest retailer, has reduced its November growth forecast due to concerns that rising fuel costs will slow Christmas retail sales.	2
291	Google wants to help you effectively access the piles of information you store in the documents, e-mail messages, Web pages, and contact lists stuffed on your PC.	Google wants to make it easier for you to access the mountains of data stored on your computer in the form of documents, e-mail messages, Web pages, and contact lists.	3
292	ISLAMABAD - Pakistan test-fired a short-range missile capable of carrying nuclear weapons on Monday, and said more tests are planned.	ISLAMABAD – Pakistan test-fired a short-range nuclear-capable missile on Monday, and said more tests are planned.	0
293	Toronto #39;s Major League Baseball franchise finally has a nest it can call its own. Blue Jays-owner Rogers Communications has reached a \$25 million deal to buy the SkyDome.	The Major League Baseball franchise in Toronto has finally found a home. Blue Jays-owner Rogers Communications has reached a \$25 million deal to buy the SkyDome.	1
294	AP - The Supreme Court on Monday sidestepped a dispute over gay marriages, rejecting a challenge to the nation's only law sanctioning such unions.	The Supreme Court avoided a debate over gay marriages on Monday, rejecting a challenge to the country's sole law allowing such unions.	0
295	Russian oil giant Yukos Wednesday filed for US bankruptcy protection in attempt to stop the forthcoming auction of its major asset Yuganskeneftegaz, accordingto the Interfax news agency.	According to the Interfax news agency, Russian oil giant Yukos filed for US bankruptcy protection on Wednesday in an attempt to halt the upcoming auction of its major asset Yuganskeneftegaz.	2
296	PCI Express allows Nvidia to tap into system memory to save expensive on-board graphics memory and achieve high performance at the same time.	Nvidia can use PCI Express to access system memory to save money on expensive on-board graphics memory while still achieving high performance.	3
297	Notre Dame head coach Charlie Weis files suit against the doctors who performed weight-loss surgery on him in 2002 that almost killed him.	Charlie Weis, the head coach of Notre Dame, has filed a lawsuit against the doctors who performed weight-loss surgery on him in 2002, which nearly killed him.	1
298	Reuters - Global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the United Nations' World\Meteorological Organization warned on Wednesday.	Reuters - Global warming is expected to continue, resulting in an increase in extreme weather events such as hurricanes and droughts, according to scientists from the United Nations World Meteorological Organization on Wednesday.	3
301	Michael D. Eisner appeared for a second day of testimony in the shareholder lawsuit over the lucrative severance package granted to Michael S. Ovitz.	Michael D. Eisner testified for the second day in the shareholder lawsuit over Michael S. Ovitz's lucrative severance package.	2
303	Australia #39;s Foreign Minister, Alexander Downer, says the apparent murder in Iraq of aid worker, Margaret Hassan, is a heinous and inexcusable crime.	According to Australia's Foreign Minister, Alexander Downer, the apparent murder of aid worker Margaret Hassan in Iraq is a heinous and inexcusable crime.	0
304	update Microsoft founder Bill Gates on Tuesday detailed his company #39;s plan for computer management software and announced a long-awaited Windows update tool.	update Bill Gates, the founder of Microsoft, detailed his company's plan for computer management software on Tuesday and announced a long-awaited Windows update tool.	3
306	Vikings receiver Randy Moss will miss his first game as a pro on Monday night against the Colts with a recurring hamstring strain that requires rest.	Randy Moss of the Minnesota Vikings will miss his first game as a pro against the Indianapolis Colts on Monday night due to a recurring hamstring strain that necessitates rest.	1
307	Charles O. Prince, the chief executive of Citigroup, is on a campaign to revamp the banking giant's culture after a financial scandal in Japan tainted its reputation.	Citigroup CEO Charles O. Prince is on a mission to change the culture of the banking giant after a financial scandal in Japan tarnished its reputation.	2
308	With the Eastern Massachussetts cross-country championships just a week away, yesterday's MSTCA Invitational at Franklin Park offered area runners a last chance to tune up for the title race.	With the Eastern Massachusetts cross-country championships only a week away, the MSTCA Invitational at Franklin Park yesterday provided area runners with one last chance to prepare for the title race.	1
309	Lebanon #39;s guerrilla organization Hezbollah announced Sunday it hd flown an unmanned reconnaissance plane over northern Israel for the first time.	Hezbollah, Lebanon's guerrilla organisation, announced Sunday that it had flown an unmanned reconnaissance plane over northern Israel for the first time.	0
310	A new spacecraft is being readied to make the fastest, most detailed study yet of the fleeting gamma ray bursts emanating from deep in space.	A new spacecraft is being prepared to conduct the most rapid and detailed study yet of the fleeting gamma ray bursts emitted from deep space.	3
311	Olympic swimming champion Michael Phelps may face a jail term after being arrested on drink-driving charges last week in Salisbury, Maryland.	Olympic swimming champion Michael Phelps could face jail time after being arrested on drunk driving charges in Salisbury, Maryland, last week.	1
312	There is a warning that some of Australia's major cities could run out of drinking water.	Some of Australia's major cities may run out of drinking water, according to reports.	3
313	Lloyds TSB Group Plc, the UK #39;s No. 5 bank by assets, plans to move at least another 1,000 employees from Britain to Asia, where labor costs are lower.	Lloyds TSB Group Plc, the UK's fifth-largest bank by assets, intends to relocate at least 1,000 employees from the UK to Asia, where labour costs are lower.	2
314	Cablevision Systems Corp. on Tuesday said it narrowed its third-quarter loss as revenue jumped 20 percent, buoyed by subscriber growth.	Cablevision Systems Corp. reported a 20 percent increase in revenue and a narrowing of its third-quarter loss on Tuesday.	2
315	WHILE Zimbabwe #39;s international playing future hangs in the balance, the Zimbabwe Cricket Union has been cleared of racism by the International Cricket Council.	WHILE Zimbabwe's international playing future is in doubt, the International Cricket Council has cleared the Zimbabwe Cricket Union of racism.	1
316	AFP - Australia has turned down a diplomatic plea for a contribution to a military force to protect United Nations (UN) personnel in Iraq.	AFP - Australia has declined a diplomatic request to contribute to a military force to protect UN personnel in Iraq.	0
317	Motorsport.com. Markko Martin dominated the this year #39;s edition of the legendary Tour de Corse rally, the 14th round of the 2004 World Rally Championship.	Motorsport.com. The legendary Tour de Corse rally, the 14th round of the 2004 World Rally Championship, was dominated by Markko Martin this year.	1
318	Brent Geiberger secured his place on the USPGA Tour for the next two years with his fine two shot win at the Chrysler Classic of Greensboro today.	Brent Geiberger's two-shot victory at the Chrysler Classic of Greensboro today guaranteed him a spot on the USPGA Tour for the next two years.	1
319	Broadband service may get a little broader in the next few years, now that the Federal Communications Commission is graciously stepping out of the way.	Broadband service may become a little more widespread in the coming years, now that the Federal Communications Commission has graciously stepped aside.	3
320	The NFL cautioned Cleveland Browns defensive tackle Gerard Warren not to pick up a personal foul penalty against Pittsburgh Steelers quarterback Ben Roethlisberger during tomorrow #39;s game.	The NFL has warned Cleveland Browns defensive tackle Gerard Warren not to commit a personal foul against Pittsburgh Steelers quarterback Ben Roethlisberger in tomorrow's game.	1
321	Brian Cashman, the general manager of the Yankees, on Friday looked as if he had been up deep into the night plotting how to improve the team.	On Friday, the Yankees' general manager, Brian Cashman, appeared to have stayed up late planning how to improve the team.	1
322	"At a news conference with Prime Minister Tony Blair, President Bush said there was a ""great chance"" to create a Palestinian state."	"President Bush stated that there is a ""great chance"" of establishing a Palestinian state during a press conference with Prime Minister Tony Blair."	0
323	US Airways asked to throw out contracts covering passenger service agents, flight attendants and other workers and replace them with less-expensive ones.	US Airways requested that contracts covering passenger service agents, flight attendants, and other workers be terminated and replaced with less expensive ones.	2
324	On Saturday November 13th, ten misfits, nomads and upstarts seek to wage war or settle the score at the famed Madison Square Garden in New York, New York.	On Saturday, November 13th, ten misfits, nomads, and upstarts will attempt to wage war or settle a score at New York's famed Madison Square Garden.	1
326	Djibril Cisse #39;s horrific injury will spur Liverpool manager Rafael Benitez into a renewed bid to prise striker Fernando Morientes from Real Madrid when the transfer window opens in January.	Djibril Cisse's horrific injury will prompt Liverpool manager Rafael Benitez to renew his pursuit of Real Madrid striker Fernando Morientes when the transfer window reopens in January.	1
327	Former deputy leader of Malaysia, Anwar Ibrahim, has returned home after two months overseas, and ahs pledged to fight on for reform in Malaysia.	Anwar Ibrahim, Malaysia's former deputy leader, has returned home after spending two months abroad and has pledged to continue fighting for reform in Malaysia.	0
328	TAMPA. Fla. First it was the Boston Red Sox World Series win that had John Kerry grinning, now another sports event has him feeling good.	TAMPA. Fla. John Kerry was beaming after the Boston Red Sox won the World Series, and now another sporting event has him smiling.	1
329	WASHINGTON - Consumers, who substantially slowed down their spending in late summer, roared back to life in September, boosting their purchases by 0.6 percent.	WASHINGTON – After significantly slowing their spending in late summer, consumers roared back to life in September, increasing their purchases by 0.6 percent.	2
