index	sentence1	sentence2	sentence2_paraphrase	label
134	The prosecutor said the company knowingly underestimated to the U.S. Food and Drug Administration ( FDA ) the number of safety complaints involving the device .	They said the company knowingly underestimated to the FDA the number of safety complaints involving the device .	They claimed that the company knowingly understated the number of safety complaints about the device to the FDA.	1
135	Fletcher said he expects to have the support of lawmakers from agricultural states , many of whom are on the committee .	He said he also expects to have the support of lawmakers from other agricultural states .	He also stated that he anticipates receiving support from lawmakers from other agricultural states.	0
136	Vice President Dick Cheney and Mississippi Republican gubernatorial candidate Haley Barbour acknowledge the cheering crowd .	Vice President Dick Cheney says Mississippi Republican Haley Barbour would be a good governor because of his government and business savvy .	Vice President Dick Cheney believes Mississippi Republican Haley Barbour would make an excellent governor due to his government and business experience.	0
137	Last year , Comcast signed 1.5 million new digital cable subscribers .	Comcast has about 21.3 million cable subscribers , many in the largest U.S. cities .	Comcast has approximately 21.3 million cable subscribers, many of whom live in the largest cities in the United States.	0
138	The index , which measures activity in the service sector , climbed to 50.7 last month from 47.9 in March .	The Arizona-based ISM reported Monday that its non-manufacturing index rose to 50.7 last month , from 47.9 in March .	The ISM, based in Arizona, reported on Monday that its non-manufacturing index increased to 50.7 in April from 47.9 in March.	0
139	Thursday afternoon , the Standard & Poor 's 500-stock index was trading up just 1.48 points , or 0.1 percent , to 1,049.59 .	Stocks closed largely unchanged , with the Standard & Poor 's 500-stock index dipping 1.17 points , to 1,046.94 .	Stocks finished largely unchanged, with the S&amp;P 500 index falling 1.17 points to 1,046.94.	0
140	She survives him as do their four children -- sons Anthony and Kelly , daughters Linda Hope and Nora Somers -- and four grandchildren .	Hope is survived by his wife ; sons Anthony and Kelly ; daughters Linda and Nora Somers ; and four grandchildren .	Hope's wife, sons Anthony and Kelly, daughters Linda and Nora Somers, and four grandchildren survive him.	1
141	"It indicates , Roberts said , "" that terrorists really don 't care who they attack ."	""" It also indicates the terrorists really don 't care who they attack . """	""" It also suggests that the terrorists don't care who they attack. """	1
142	York had no problem with MTA 's insisting the decision to shift funds had been within its legal rights .	York had no problem with MTA 's saying the decision to shift funds was within its powers .	York had no issue with the MTA claiming that the decision to shift funds was within its authority.	1
143	Ultimately , she will earn more than the $ 900,000 that Kenny Perry got for winning the PGA Tour event .	But she 'll earn more than the $ 900000 ( about R7.5-million ) Kenny Perry got for winning .	However, she will earn more than Kenny Perry, who received $ 90,000 (about R7.5 million) for winning.	1
144	NASA plans to follow-up the rovers ' missions with additional orbiters and landers before launching a long-awaited sample-return flight .	NASA plans to explore the Red Planet with ever more sophisticated robotic orbiters and landers .	NASA intends to explore Mars with increasingly sophisticated robotic orbiters and landers.	0
145	The new servers will run either Linux or the x86 version of Solaris , he said .	The servers can run Solaris x86 operating system or the standard Linux operating system .	Solaris x86 or standard Linux operating systems can be used on the servers.	1
146	Though she defeated Williams on May 17 in the semifinals at Rome , Mauresmo isn 't favored today .	Even though she defeated Williams on May 17 in the semifinals at Rome , Mauresmo cannot be favored in this match .	Despite defeating Williams in the semifinals of the Rome Open on May 17, Mauresmo cannot be considered a favorite in this match.	1
147	"In connection with the incident , I have acknowledged that I behaved inappropriately . """	""" I have acknowledged that I behaved inappropriately , "" he said ."	"""I have admitted that I acted inappropriately,"" he said."	1
148	But , to the dismay of Reaganites , there is no mention of the Reagan-era economic boom .	But there is no mention of the economic recovery or the creation of wealth during his administration .	However, there is no mention of economic recovery or wealth creation during his presidency.	0
149	Certain to give Democrats hope was Bush 's hypothetical matchup with a generic Democrat ; the president prevailed 43 percent to 38 percent .	In a Bush hypothetical matchup with a generic Democrat ; the president prevailed 43 to 38 percent .	In a hypothetical matchup between Bush and a generic Democrat, the president won 43 percent to 38 percent.	1
150	Oracle followed with 33.8 percent of the market and Microsoft came in third with an 18 percent share .	IBM ranked second with 24 percent share there , and Microsoft ranked third .	IBM came in second with a 24 percent market share, and Microsoft came in third.	0
151	Weather forecasters are sending out warnings for heavy rainfall that could wash out the tail end of the holiday weekend .	Weather forecasters are warning of heavy rainfall that could wash out part of the holiday weekend .	Forecasters are predicting heavy rain, which could wash out a portion of the holiday weekend.	1
152	Then , suddenly , the ONS reported a fresh 0.6 per cent slump in manufacturing output .	The ONS this week reported a surprise 0.6 per cent fall in manufacturing output in August .	The Office for National Statistics (ONS) reported this week that manufacturing output fell unexpectedly by 0.6% in August.	1
153	Pacific Northwest has more than 800 employees , and Wells Fargo has 2,400 in Washington .	It has 800 employees , compared with Wells Fargo 's 2,400 .	It employs 800 people, compared to Wells Fargo's 2,400.	1
154	Arthur Benson , attorney for the case 's plaintiff schoolchildren , said he will appeal .	An attorney for plaintiff schoolchildren said he plans to appeal .	An attorney for the plaintiff schoolchildren has stated that he intends to appeal.	1
155	"However , we have decided to opt for the European consortium 's engine as the best overall solution and due to the substantial price efforts made "" ."	"However , we have decided to opt for the European consortium 's engine as the best overall solution . """	"However, we have decided that the engine developed by the European consortium is the best overall solution. """	0
156	Veteran entertainer Bob Hope celebrates his 100th birthday - and many years in showbusiness - on Thursday .	Hollywood and the world are gearing up to celebrate legendary entertainer Bob Hope 's 100th birthday on Thursday .	On Thursday, Hollywood and the rest of the world will commemorate the 100th birthday of legendary entertainer Bob Hope.	1
157	State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him .	Missouri Education Commissioner Kent King said he was disappointed by the scores .	Missouri Education Commissioner Kent King expressed disappointment with the results.	1
158	Wal-Mart estimates more than 100 million Americans visit their stores every week .	Each week 138 million shoppers visit Wal-Mart 's 4,750 stores .	Every week, 138 million people shop at Wal-4,750 Mart's locations.	1
159	"One of the 14 Kurds pointed at the word "" refugee "" in an English / Turkish dictionary ."	"One man had brandished an English-Turkish dictionary and pointed to the word "" refugee "" ."	"One man held up an English-Turkish dictionary, pointing to the word ""refugee."""	1
160	""" The layoff is an excuse , "" countered Anaheim coach Mike Babcock ."	""" I didn 't think our team engaged at all , "" lamented Anaheim coach Mike Babcock ."	"""I didn't think our team was engaged at all,"" Anaheim coach Mike Babcock lamented."	0
161	The year-ago comparisons were restated to include Compaq results .	The year-ago numbers do not include figures from Compaq Computer .	The figures from the previous year do not include Compaq Computer.	0
162	The appeals court judges were in sharp disagreement over what should be done when they ruled in February .	The appellate judges were in sharp disagreement when they ruled in February .	When they issued their decision in February, the appellate judges were sharply divided.	1
163	Lowe 's , with about half as many stores , reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales .	Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales .	Home Depot reported a 22% increase in third-quarter profit on the back of a nearly 8% increase in same-store sales.	0
164	The initial report was made to Modesto Police December 28 .	It stems from a Modesto police report .	It is the result of a Modesto police report.	0
165	Jack Ferry , company spokesman , said a search is ongoing but would not comment on the status .	Company spokesman Jack Ferry said a search is ongoing but declined comment on its status .	A search is underway, according to company spokesman Jack Ferry, but he declined to comment on its status.	1
166	The petition alleges that Huletts unfair sales have damaged the U.S. industry , sending market prices below sustainable levels .	Those unfair sales have damaged the US industry by eroding market prices below sustainable levels , says Alcoa .	According to Alcoa, these unfair sales have harmed the US industry by driving market prices below sustainable levels.	1
167	The launch marks the start of a new golden age in Mars exploration .	The launch marks the start of a race to find life on another planet .	The launch marks the beginning of a race to discover life on other planets.	1
168	Brendsel and chief financial officer Vaughn Clarke resigned June 9 .	The company 's chief executive retired and chief financial officer resigned .	The company's CEO retired, and the chief financial officer resigned.	1
169	THE compact disc could be history within five years after scientists invented a replacement the size of a fingertip .	COMPACT discs could be history within five years after scientists made a fingertip-sized replacement .	Scientists have developed a fingertip-sized replacement for compact discs, which could be obsolete in five years.	1
170	There are 103 Democrats in the Assembly and 47 Republicans .	Democrats dominate the Assembly while Republicans control the Senate .	The Assembly is dominated by Democrats, while the Senate is dominated by Republicans.	0
171	Advances in AIDS treatments in recent years , some experts are saying , could be undermining efforts to promote safe sex .	Advances in AIDS treatments in recent years , some experts say , may be undermining efforts to promote safer-sex practices .	Some experts believe that recent advances in AIDS treatment may be undermining efforts to promote safer sexual practices.	1
172	Pappas said he wouldn 't hesitate about asking Graham to substitute .	Pappas , the teacher , said he wouldn 't hesitate having Graham as a substitute .	The teacher, Pappas, stated that he would not hesitate to have Graham as a substitute.	1
173	When fully operational , the facility is expected to employ up to 1,000 people .	The plant would employ 1,000 people when fully built out , the company said .	When fully operational, the plant will employ 1,000 people, according to the company.	1
174	Oracle Corp 's Chairman and CEO Larry Ellison didn 't rule out sweetening the company 's unsolicited offer to acquire rival PeopleSoft Inc .	Oracle chairman Larry Ellison has hinted that the company could yet again increase its offer for rival PeopleSoft .	Oracle chairman Larry Ellison has hinted that the company's bid for PeopleSoft may be increased once more.	1
175	The Senate version has no coverage for annual costs between $ 4,450 and $ 5,800 .	They would receive no help with costs between $ 4,500 and $ 5,800 .	They would receive no assistance with costs ranging from $ 4,500 to $ 5,800.	1
176	It estimated on Thursday it has a 51 percent market share in Europe .	Boston Scientific said it has gained 51 percent of the coated-stent market in Europe .	Boston Scientific claims to have captured 51% of the coated-stent market in Europe.	1
177	The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle .	Bishop O 'Brien , aged 67 , had told police he thought he had hit a dog or cat .	Bishop O'Brien, 67, told police he thought he hit a dog or a cat.	0
178	Woodley , 44 , died of liver and kidney failure Sunday at a hospital in his native Shreveport , La . , said his niece , Lucy Woodley .	Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La .	Mr. Woodley died of liver and kidney failure in his hometown of Shreveport, Louisiana, on Sunday at the age of 44.	1
179	Other countries and private creditors are owed at least $ 80 billion in addition .	Other countries are owed at least $ US80 billion ( $ 108.52 billion ) .	Other countries owe at least US$80 billion (US$108.52 billion).	0
180	Counties with population declines will be Vermillion , Posey and Madison .	Vermillion , Posey and Madison County populations will decline .	The populations of Vermillion, Posey, and Madison Counties will decrease.	1
181	""" PNC regrets its involvement "" in the deals , Chairman and Chief Executive Officer James Rohr said in a statement ."	James Rohr , chairman and chief executive officer , said PNC regretted the incident .	PNC's chairman and CEO, James Rohr, expressed regret for the incident.	1
182	State police said as many as 30 workers were trapped immediately after the garage collapsed .	As many as 30 people were believed to be trapped inside initially , the state police said .	According to state police, up to 30 people were initially believed to be trapped inside.	1
183	On Monday during an annual biotechnology meeting in Washington , President Bush criticized Europe for aggravating hunger in Africa by closing its markets to genetically modified food .	President Bush on Monday accused Europe of aggravating hunger in Africa by closing its markets to genetically modified food .	President Bush accused Europe on Monday of exacerbating African hunger by closing its markets to genetically modified foods.	1
184	The weather service reported maximum sustained winds of nearly 105 miles an hour with stronger gusts .	Maximum sustained winds were around 40 mph , with stronger gusts .	The maximum sustained wind speed was around 40 mph, with higher gusts.	1
185	Penn Traffic a week ago disclosed that it was considering filing for bankruptcy , among other options .	That began on May 21 , after Penn Traffic announced it was considering bankruptcy .	This began on May 21, when Penn Traffic announced its intention to file for bankruptcy.	0
186	Merck also on Monday affirmed plans to spin off Medco to shareholders in the third quarter .	Merck plans to spin off all the shares of Medco to company shareholders in the third quarter .	Merck intends to distribute all of Medco's stock to company shareholders in the third quarter.	1
187	Others with such a status are Egypt , Israel , and Australia .	Nations like Israel and Australia already have such status .	Countries such as Israel and Australia already have this status.	1
188	VeriSign introduced its Site Finder service on Sept . 15 .	"The battle around VeriSign "" s three-week-old Site Finder service rages on ."	The battle over VeriSign's three-week-old Site Finder service continues.	0
189	Telemarketers who call numbers on the list after Oct. 1 could face fines of up to $ 11,000 per call .	Under the law , telemarketers who call numbers on the list can be fined up to $ 11,000 for each violation .	Telemarketers who call numbers on the list are subject to fines of up to $11,000 per violation, according to the law.	1
190	Two of them are on an initial list of six detainees who could be tried by the military tribunal .	Begg and Abbasi feature on an initial list of six detainees who could be tried by the military tribunal .	Begg and Abbasi are among six detainees named in an initial list of six who could face military tribunal charges.	1
191	The dead cavalry have been honored for more than a century with a hilltop granite obelisk and white headstones .	The dead cavalrymen are honored with a hilltop granite obelisk and white headstones .	A hilltop granite obelisk and white headstones honor the fallen cavalrymen.	1
192	""" We 've got quality players , "" said Pirates manager Lloyd McClendon ."	There was some counterpunching out there , Manager Lloyd McClendon said .	Manager Lloyd McClendon stated that there was some counterpunching going on.	0
193	""" The figures are becoming catastrophic , "" said Dr. Patrick Pelloux , the president of the association of emergency room physicians ."	"This is unacceptable , "" said Patrick Pelloux , the president of France 's Association of Emergency Doctors ."	"""This is intolerable,"" said Patrick Pelloux, president of the French Association of Emergency Doctors."	0
194	The companies , Chiron and Aventis Pasteur , together made about 80 million doses of the injected vaccine , which ordinarily would have been enough to meet U.S. demand .	Chiron and Aventis Pasteur together made about 80 million doses , ordinarily enough for U.S. demand , The Associated Press reported .	According to The Associated Press, Chiron and Aventis Pasteur produced about 80 million doses, which is normally enough for US demand.	1
195	The biggest cut ordered was for Hanover Lloyds Insurance Co . -- 31 percent .	The department ordered Hanover Insurance to cut its rates by 31 percent .	Hanover Insurance was ordered by the department to reduce its rates by 31%.	0
196	Prosecutors maintained that Durst murdered Black to try to assume Black 's identity .	Prosecutors called Durst a cold-blooded killer who shot Black to steal his identity .	Prosecutors described Durst as a cold-blooded murderer who shot Black in order to steal his identity.	0
197	From Florida to Alaska , thousands of revelers vowed to push for more legal rights , including same-sex marriages .	Thousands of revellers , celebrating the decision , vowed to push for more legal rights , including same-sex marriages .	Thousands of celebrants vowed to fight for more legal rights, including same-sex marriages, in the aftermath of the decision.	1
198	But for a meaningful dialogue to begin , cross-border terrorism should end and terror infrastructure must be dismantled .	""" But for a meaningful dialogue to begin , cross-border terrorism should end and its infrastructure should be dismantled . """	"""However, in order for a meaningful dialogue to begin, cross-border terrorism and its infrastructure must cease."""	1
199	The significant highs Beijing chalked up before APEC was China 's first space mission on October 15 .	One of the significant highs Beijing chalked up before APEC was Chinas first space mission on Oct 15 .	One of the significant achievements Beijing achieved prior to APEC was China's first space mission, which took place on October 15.	1
200	Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January .	The judge scheduled another oversight hearing for late January .	Another oversight hearing has been scheduled for late January by the judge.	1
201	Only one test , the effect on financial services , was deemed to be passed .	Only the positive effect on the financial services industry was assured , he said .	Only a positive impact on the financial services industry was guaranteed, he stated.	1
