index	index	label	sentence1	sentence2
870	870	1	Chante Jawaon Mallard , 27 , is charged with murder and tampering with evidence .	Now , nearly two years later , Mallard prepares for trial on charges of murder and tampering with evidence .
871	871	1	The Episcopal Church ' ' is alienating itself from the Anglican Communion , ' ' said the Very Rev. Peter Karanja , provost of the All Saints Cathedral , in Nairobi .	"In Nairobi , Kenya , the Very Rev. Peter Karanja , provost of All Saints Cathedral , said the U.S. Episcopal Church "" is alienating itself from the Anglican Communion . """
872	872	1	Recall proponents say they have turned in nearly twice the number of necessary signatures .	Recall backers say they have collected 1,600,000 signatures , approaching twice the 897,158 needed to force an election .
873	873	0	"Fox was seeking an injunction to halt distribution of "" Lies and the Lying Liars Who Tell Them : A Fair and Balanced Look at the Right . """	"The book , called "" Lies and the Lying Liars Who Tell Them : A Fair and Balanced Look at the Right , "" hits stores this weekend ."
874	874	1	Selenski had served about seven years in prison for bank robbery .	Selenski had previously spent seven years in prison on a bank robbery conviction .
875	875	1	The decision is among the far-reaching deregulatory actions made during the Bush administration .	The decision was among the most significant steps toward deregulation undertaken during the Bush administration .
876	876	1	""" For us that doesn 't make a difference , the sexual orientation , "" Tutu told Reuters Television in South Africa 's sprawling Soweto township ."	""" For us , that doesn 't make a difference - the sexual orientation , "" Archbishop Tutu said in the black urban centre of Soweto ."
877	877	0	Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .	Around 9 : 00 a.m. EDT ( 1300 GMT ) , the euro was at $ 1.1566 against the dollar , up 0.07 percent on the day .
878	878	1	Sony Music 's portfolio of products and services currently enable carriers to offer subscribers the ability to download images , ring tones , music videos and other entertainment services .	Sony 's portfolio gives subscribers a variety of personalized services including the ability to download and experience images , ring tones , music videos and other music entertainment services .
879	879	1	He said the local organized crime police were investigating a suspect , but he would not say if it was Ciobanu .	He said the local organized crime police were investigating a suspect , but he would not confirm if it was the 24-year-old cited by Bitdefender .
880	880	0	Previously , it had reported a small profit of $ 12 million , or break-even on a per-share basis , for the period .	Previously , it had reported a profit of $ 12 million , or 0 cents a share , for that period .
881	881	0	According to the report , average life expectancy has increased by nearly two years since 1990 .	The life expectancy for boys born in 2001 was 74.4 years , up two years since 1990 .
882	882	1	The SEC specifically advised IBM that this is a fact-finding investigation and that it has not reached any conclusions related to this matter .	Big Blue says the SEC calls the action a fact-finding investigation and has not reached any conclusions related to this matter .
883	883	1	Badat was arrested under section 41 of the Terrorism Act “ on suspicion of involvement in the commission , preparation or instigation of acts of terrorism , ” Scotland Yard confirmed .	They were held under Section 41 of the Terrorism Act 2000 on suspicion of involvement in the commission , preparation or instigation of acts of terrorism .
884	884	1	Starting on Aug. 16 , every computer infected with MBlast will start flooding Microsoft 's Windows Update service with legitimate-looking connection requests .	Starting on Saturday , every computer infected with MSBlast is expected to start flooding Microsoft 's Windows Update service with legitimate-looking connection requests .
885	885	0	""" We put the call out , "" said the Rev. Patrick J. Mahoney , director of the Christian Defense Coalition ."	""" We see the First Amendment to protect religious liberty , not crush religious liberty , "" said Patrick Mahoney , director of the Christian Defense Coalition ."
886	886	1	Florida ’ s Third District Court of Appeal said on Wednesday the original proceedings were “ irretrievably tainted ” by misconduct by attorneys for the class .	"Florida 's Third District Court of Appeal saidon Wednesdaythe original proceedings were "" irretrievably tainted "" by misconduct by lawyers representing the class ."
887	887	0	Courant Staff Writer Jeff Goldberg contributed to this story .	Courant Staff Writers Matt Eagan and Ken Davis contributed to this story .
888	888	1	""" The evidence accumulated over the intermeeting period confirms that spending is firming , although the labor market has been weakening ."	"In addition , the committee noted , "" while spending is firming , the labour market has been weakening "" ."
889	889	1	Nigeria and other African producers are increasingly important in the former Texas oilman 's plans to lessen dependence on Middle Eastern suppliers for energy security .	Nigeria and other African oil producers are increasingly important in U.S. plans to lessen dependence on Middle Eastern suppliers for its energy security .
890	890	0	Isaacs had been on death row longer than anyone in the nation .	Appeals had kept him on death row longer than anyone else in the U.S. , AP said .
891	891	1	While many likely now will quit - as millions of women already have - Soltes said she is likely to continue prescribing the supplements for relief of change-of-life symptoms .	While many likely now will quit – as millions of women already have – Soltes said she likely will continue to prescribe the supplements for relief of change-of-life symptoms .
892	892	0	In the aftermath of Hurricane Isabel , federal and local governments remained shut down , as did schools and many businesses .	The federal and local governments remained largely shut down in the aftermath of Hurricane Isabel , as were schools , and much of the region 's transportation network was slowed .
893	893	1	Ursel Reisen confirmed it had been operating the coach , but declined to give details of the passengers other than to say they were of mixed ages .	Ursel Reisen confirmed it operated the coach , but gave no details other than to say the passengers were of mixed ages .
894	894	0	But he is the only candidate who has won national labor endorsements so far , picking up his 11th on Tuesday .	But he is the only candidate who has won national labor endorsements so far , picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him .
895	895	1	Obus also denied a defense motion to postpone the Sept . 29 trial date .	The judge also refused to postpone the trial date of Sept . 29 .
896	896	0	Analysts expected earnings of 27 cents a share on revenue of $ 17.7 billion , Thomson First Call says .	Regardless , its first quarter saw a profit of $ 721 million , or 29 cents , on revenue of $ 17.9 billion .
897	897	1	Under a proposed plan of arrangement , Slocan shareholders will receive 1.3147 Canfor shares for every Slocan share they own .	Under the proposal , Slocan shareholders will get 1.3147 Canfor shares for each common share .
898	898	0	BellSouth added 111,000 DSL customers during the quarter to reach a total of 1.3m subscribers .	BellSouth also added 654,000 net long-distance customers in the third quarter .
899	899	1	"In a televised address back in March , Mr Howard declared Iraq had weapons capable of "" causing death and destruction on a mammoth scale "" ."	"The day after Wilkie resigned , Howard said in a televised address that Iraq possessed "" chemical and biological weapons capable of causing death and destruction on a mammoth scale "" ."
900	900	0	The blue-chip Dow Jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .	The Dow Jones industrial average .DJI slipped 9.54 points , or 0.1 percent , at 9,558.92 .
901	901	1	Grant Thornton claims that it too was the “ victim ” of a fraud .	"Earlier on Monday , Grant Thornton SpA repeated previous statements that it was "" a victim of fraudulent action "" ."
902	902	0	She first went to a specialist for initial tests last Monday , feeling tired and unwell .	The winner of this year 's Most Popular New Talent Logie , Goodrem first went to a specialist on Monday feeling tired and unwell .
903	903	1	All three were studied for fingerprints , DNA and other traces of evidence , but there has been no testimony yet about what the tests might have yielded .	All three were studied for fingerprints , DNA and other traces of evidence , but prosecutors have not yet testified to what , if anything , they yielded .
904	904	0	Kurdish forces at a checkpoint near Mosul in northern Iraq seized the trailer on April 19 .	Cambone said U.S forces found the tractor-trailer April 19 at a Kurdish checkpoint near the city of Mosul in northern Iraq .
905	905	0	Sony Ericsson also said it plans to close its R & D site in Munich , Germany , for GSM and UMTS handsets .	Sony Ericsson also said it would shut down its GSM / UMTS R & D center in Munich , Germany , to increase profitability .
906	906	1	Shareholders will get 0.86 PeopleSoft share , or $ 13.11 , for each J.D. Edwards share , based on recent trading prices .	J.D. Edwards shareholders will receive 0.86 of a share of PeopleSoft for each share of J.D. Edwards .
907	907	1	""" That failure to act contributed to September 11 and the failure to act today continues [ to put ] Americans in a vulnerable circumstance , "" said Graham ."	"That failure to act contributed to September the 11th and the failure to act today continues ( to put ) Americans in a vulnerable circumstance , "" Graham said ."
908	908	1	The Intel C + + Compiler for Platform Builder for Microsoft Windows CE.Net is available for $ 1,499 and is intended for use by device manufacturers and systems integrators .	The Intel C + + Compiler for Platform Builder for Microsoft .NET is available for the suggested list price of $ 1,499 and is intended for OEM and system integrator use .
909	909	1	"Board member Douglas Osheroff , a Nobel-prize winning Stanford physicist , said : "" There were some extremely bad decisions ."	""" There were , "" said board member and Nobel-prize winning Stanford physicist Douglas Osheroff , "" some extremely bad decisions ."
910	910	1	He later found out the alarming incident had been caused by Concorde 's powerful sonic boom .	He later learned that the incident was caused by the Concorde 's sonic boom .
911	911	1	Witness Zulfiqar Ali , who was slightly wounded by shrapnel , said the attackers had focused on the mosque 's guards .	Zulifquar Ali , a worshiper slightly wounded by shrapnel , said the attackers first targeted the mosque 's guards .
912	912	1	He said the prob lem needs to be corrected before the space shuttle fleet flies again .	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .
913	913	0	Physicians who perform the procedure would face up to two years in prison , under the bill .	Doctors would face fines and up to two years in prison for performing the procedure , except as a lifesaving step .
914	914	1	""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attacks , "" said Barbara Comstock , Ashcroft 's press secretary ."	""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attack , "" Barbara Comstock said ."
915	915	1	Since March 11 , when the markets major indexes were at their lowest levels since hitting multiyear lows in October , the tech-laden Nasdaq has climbed nearly 20 percent .	Since March 11 , when the market 's major indices were at their lowest levels since hitting multi-year lows in October , the tech-laden Nasdaq has climbed nearly 20 per cent .
916	916	1	The men had Pakistani passports and reportedly were seen together at the airport earlier in the evening , law enforcement sources said .	The two men , whose names were not released , both were using Pakistani passports and were seen together at the airport earlier in the evening , police said .
917	917	1	""" We have put a lot of energy into patching , later than we should have , "" he said ."	""" We 've put a lot of effort and energy into improving our patching progress , probably later than we should have ."
918	918	1	Rebels consolidated their grip on a troubled northeastern Congolese town Tuesday as residents identified at least 112 dead after a week of fighting .	Rebels sought to consolidate their grip on a troubled northeastern Congolese town Tuesday after a week of fighting that killed at least 112 people .
919	919	0	Within four days , the House and Senate overwhelmingly endorsed a resolution granting the president authority to go to war .	This was around the time Congress was debating a resolution granting the President broad authority to wage war .
920	920	1	After their arrests , the men told investigators they paid to be smuggled into the United States from Canada last month .	After their arrests , the men told investigators they paid to be smuggled into Blaine , Wash . , from Canada last month , two sources said .
921	921	0	Adora Obi Nweze , the NAACP state president , said the state has refused to consider the possibility of murder .	But Adora Obi Nweze , the NAACP state president , said the state only tried to prove its conclusion of suicide , rather than consider the possibility of murder .
922	922	1	""" We can 't change the past , but we can do a lot about the future , "" Sheehan said hours after arriving in Phoenix ."	""" We can 't change the past , but we can do a lot about the future , "" Sheehan said at a news conference Wednesday afternoon ."
923	923	1	Bondholders of Mirant Americas Generation subsequently filed suit against Mirant seeking to block the exchange offer .	Subsequently , some bondholders have filed suit to block the exchange offer .
924	924	1	Officer Evans had declined written and telephone requests for an interview .	Officer Evans did not respond to requests for an interview last week .
925	925	0	Sixty players and five coaches from Mepham High School in Bellmore , Long Island attended the training camp in August .	Sixty players and five coaches from the school attended the training camp in August in Preston Park , about 125 miles north of Philadelphia .
926	926	0	The official would not name the leakers for the record and would not name the journalists .	The official would not name the leakers for the record and said he had no indication that Mr Bush knew about the calls .
927	927	1	Dynes will be paid $ 395,000 a year ; Atkinson 's salary is $ 361,400 .	In his new position , Dynes will earn $ 395,000 , a significant increase over Atkinson 's salary of $ 361,400 .
928	928	1	The shares fell 72 cents , or 3.8 percent , to $ 18.34 Monday on the New York Stock Exchange .	Schering-Plough shares fell 72 cents to close at $ 18.34 on the New York Stock Exchange .
929	929	1	The Defence Secretary , Donald Rumsfeld , and other top Pentagon officials played down his comments .	Defense Secretary Donald Rumsfeld and other top Pentagon officials downplayed Wallace 's comments .
930	930	1	Sgt. Ernest Bucklew , 33 , was coming home from Iraq to bury his mother in Pennsylvania .	One , Fort Carson-based Sgt. Ernest Bucklew , 33 , was on his way home to attend his mother 's funeral in Pennsylvania , relatives said .
931	931	1	""" Although the preconditions for recovery remain in place , the prospect for external demand for UK output is weaker than previously expected . """	"And "" although the preconditions for recovery remain in place , "" it said the prospects for British exports were "" weaker than previously expected . """
932	932	1	Shaul Mofaz , Israel 's Defence Minister , raised the prospect of a ground offensive into the Gaza Strip , in addition to a growing air campaign to assassinate Hamas militants .	Israel 's defense minister on Sunday raised the specter of an Israeli invasion in the Gaza Strip , where Palestinian militants already face a deadly air campaign .
933	933	0	The technology-laced Nasdaq Composite Index was down 25.36 points , or 1.53 percent , at 1,628.26 .	The broader Standard & Poor 's 500 Index .SPX eased 7.57 points , or 0.76 percent , at 990.94 .
934	934	0	The Organization of Petroleum Exporting Countries decided yesterday to lower its output ceiling by 900,000 barrels a day to 24.5 million barrels starting in November .	The Organization of Petroleum Exporting Countries defied expectations on Wednesday and lowered its output ceiling by 900,000 barrels a day to 24.5 million barrels starting in November .
935	935	0	Though that slower spending made 2003 look better , many of the expenditures will actually occur in 2004 , making that year 's shortfall worse .	Though that slower spending made 2003 look better , many of the expenditures actually will occur in 2004 .
936	936	1	It is the first named storm to develop in the Caribbean in December .	But Odette is the first to form over the Caribbean Sea in December , the Center said .
937	937	1	Apple Computer 's new online music service sold more than 1 million songs during its first week of operation , the company said Monday .	Announced last week , Apple 's iTunes Music Store has sold over 1 million songs in the first week , the company announced on Monday .
938	938	1	""" Such communication will help adult smokers make more informed choices , "" company vice president Richard Verheij told a separate hearing , before a House Energy and Commerce subcommittee ."	""" Such communication will help adult smokers make more informed choices , "" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing ."
939	939	0	The dollar pushed as high as $ 1.1115 to the euro in early trade , extending Tuesday 's one percent rally to hit its strongest level since April 30 .	The dollar was last at $ 1.1149 to the euro , close to its strongest level since April 30 .
940	940	1	After their arrests , sources said the men admitted they were smuggled into Washington state from Canada in July .	After their arrests , the men told investigators they paid to be smuggled into the United States from Canada last month .
941	941	1	The production index rose to 52.9 percent from 51.5 percent in May .	The Production Index rose by 1.4 percentage points from 51.5 percent in May to 52.9 percent in June .
942	942	1	Germany , another opponent of the war currently on the U.N. Security Council , in recent weeks has moved closer to Washington and did not insist on a timetable .	Germany , another opponent of the war currently on the U.N. Security Council , has moved closer to the United States , and did not insist on a timetable Monday .
943	943	1	Like the Power4 , the Power5 contains two processor cores on one chip .	Power5 , like Power4 , includes two processor cores in a single slice of silicon .
944	944	1	She said in 2003 , not one American state had an obesity level less than 15 percent of the population .	She said in 2003 , not one U.S. state had an obesity rate below 15 percent .
945	945	1	A sensitive light detector then looks for the telltale blue glow .	Special , sensitive light sensors pick up the telltale glow , he said .
946	946	1	The federal government is approving new pesticides without even knowing whether they pose a threat to children , Canada 's environment watchdog warned yesterday .	The federal government is approving new pesticides without basic information such as whether they harm children , says Canada 's environment commissioner .
947	947	0	In September 2002 , floods in the Gard region killed 23 people .	In September 2002 , the nearby Gard region was hit by similar floods .
948	948	1	But in San Francisco , 80 percent of men and only 59 percent of women washed their hands .	Overall , 83 percent of women washed up , compared with 74 percent of men .
949	949	0	Home Depot is expected to report earnings per share of 46 cents for the third quarter , according to Thomson First Call .	Analysts had expected 53 cents a share , according to research firm Thomson First Call .
950	950	0	The global epidemic of HIV , the virus that causes Aids , is tightening its grip on Britain with a record number of new cases diagnosed last year .	The number of people in the UK infected by HIV , the virus that causes Aids , increased by almost 20 per cent last year to nearly 50,000 .
951	951	1	But stocks have roared higher in the past 3-1 / 2 months amid hopes for an economic rebound .	But stocks have rallied sharply over the past 3-1 / 2 months amid hopes for an economic rebound later this year .
952	952	1	""" Spring has arrived in Estonia - we 're back in Europe , "" Juhan Parts , prime minister , told a news conference last night ."	""" Spring has arrived in Estonia -- we 're back in Europe , "" Prime Minister Juhan Parts told a news conference on Sunday ."
953	953	0	Fujitsu will own 40 percent of the company , which will be headquartered in Sunnyvale , Calif .	AMD will own a 60 percent interest in the new company and Fujitsu owns 40 percent .
954	954	0	He was given leave to appeal against part of his conviction and sentence .	He was then given leave to appeal against the sentence to the Supreme Court of Appeal .
955	955	0	Tracks can be burned to CDs , but the same playlist may only be burned up to five times .	Songs can be burned to CDs , but the same playlist can only be burned up to five times - Apple 's puts the limit at ten burns .
956	956	1	SSE shares were unchanged at 652 pence by 0835 GMT but analysts welcomed the deal .	SSE shares were little changed , up 0.3 percent at 654 pence by 1018 GMT , but analysts welcomed the move .
957	957	0	Shares were off 30 cents , or 1.3 percent , at $ 22.58 on Tuesday on the New York Stock Exchange .	Shares of EDS gained $ 1.49 , or 6.6 percent , to $ 23.999 early Wednesday on the New York Stock Exchange .
958	958	0	But Mr. Bolten cautioned that the deficit was still likely to exceed $ 500 billion in the 2004 fiscal year .	The deficit is still expected to top $ 500 billion in 2004 -- even with an improving economy .
959	959	1	""" As a responsible leader we felt it necessary to make these changes because online chat services are increasingly being misused , "" stated Gillian Kent , director at MSN UK ."	""" As a responsible leader we feel it necessary to make these changes because online chat services are increasingly being misused , "" Microsoft told the BBC ."
960	960	1	"We have already found two trailers that we and the Americans believe were used for chemical and biological weapons . """	We have already found two trailers , both of which we believe were used for the manufacture of biological weapons .
961	961	0	No wonder AOL lost 846,000 subscribers last quarter .	America Online last quarter lost 846,000 dial-up subscribers .
962	962	1	State officials estimated the cost at nearly $ 2 billion .	Governor Gray Davis estimated yesterday that the fires could cost nearly $ 2 billion .
963	963	1	None of Prairie Plant 's marijuana can be distributed until the Health Canada 's user manual is made available , she said .	None of the Prairie Plant Systems marijuana can be distributed until the document is made available , she said .
964	964	1	Captain Smith left the ferry terminal after the crash , went to his home and attempted suicide .	He left the ship after the collision , went to his home , and attempted suicide .
965	965	1	He was reported as saying Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while notorious warlord Harold Keke 's group was armed .	He reportedly claims Prime Minister Sir Allan Kemakeza had made a deal with him to keep his guns while Harold Keke 's group was armed .
966	966	1	She was taken to Charing Cross Hospital , where she remained critically ill last night .	""" The woman was taken to New Charing Cross Hospital by ambulance and her condition is critical ."
967	967	1	If the judge decides that is so at the end of what is expected to be a five-day hearing , Peterson will be held for trial on the charges .	If sufficient evidence exists at the end of what is expected to be a five-day hearing , Peterson will be held for trial on the charges .
968	968	1	In 1999 , troops returned after rebel raids on a neighbouring Russian region and a series of deadly apartment-house bombings in Russian cities that were blamed on the rebels .	They returned in 1999 after rebel raids on a neighboring Russian region and a series of deadly apartment-building bombings that were blamed on the rebels .
969	969	1	Tropical Storm Claudette headed for the Texas coast Saturday , with forecasters saying the sluggish storm system could reach hurricane strength before landfall early Tuesday .	Tropical Storm Claudette continued its slow churn toward the Texas coast early Sunday , with forecasters expecting the plodding storm system to make landfall as a hurricane by early Tuesday .
970	970	1	""" Everything is going to move everywhere , "" Douglas J. Feith , undersecretary of defence force policy , is quoted as saying ."	""" Everything is going to move everywhere , "" Doug Feith , undersecretary of defence for policy , said in an interview ."
971	971	1	Newisys , an Austin , Texas , startup headed by former IBM and Dell execs , will become a wholly-owned subsidiary .	According to Sanmina-SCI , Newisys , based in Austin , Texas , will become a wholly-owned subsidiary .
972	972	1	Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters .	Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs .
973	973	0	Shares of Express Scripts ESRX.O fell about 4 percent to $ 66.73 on the Nasdaq in late morning trade .	The company 's shares fell 3.6 percent to close at $ 66.89 on the Nasdaq .
974	974	1	The Emeryville-based toy company filed suit Friday claiming Fisher-Price is violating its 1998 patent on interactive-learning books for toddlers and preschoolers .	The Emeryville-based toy company filed suit Friday in federal court in Wilmington , Del . , claiming Fisher-Price is violating its 1998 patent on interactive learning books for toddlers and preschoolers .
975	975	1	They also drafted a nonbinding priorities list specifying that one-quarter may be used to reduce planned cuts of 5 percent in fees paid to health care providers .	They also drafted a non-binding priorities list specifying that a quarter of it may be used to reduce planned 5 percent cuts in fees paid to health-care providers .
976	976	0	Analysts surveyed by Thomson First Call had expected earnings of 19 cents per share in the third quarter .	The Thomson First Call consensus was for earnings of 19 cents a share .
977	977	0	"In a statement issued by his solicitors , Mr Hadley said : "" I am absolutely delighted with the outcome of proceedings ."	"Mr Hadley , who has a new partner and child , said : "" I am absolutely delighted ."
978	978	1	""" I love the Catholic Church with all my heart , mind , soul and strength , "" he said ."	""" I love the Catholic Church with all my heart , mind , soul and strength , "" said Troy , who spoke quickly but in a steady voice ."
979	979	0	The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters , rejecting librarians ' complaints that the law amounts to censorship .	A divided Supreme Court ruled that Congress can force the nation 's public libraries to equip computers with anti-pornography filters .
980	980	0	The analyst , already let go by Merrill , can request a hearing before a NASD panel .	Under NASD regulations , Mr. Young can file a response and request a hearing before an NASD panel .
981	981	1	""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attack , "" said Barbara Comstock , Justice Department spokeswoman ."	""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attacks , "" said Barbara Comstock , Ashcroft 's press secretary ."
982	982	0	The victims drank tainted coffee after the April 27 worship service at Gustaf Adolph Lutheran Church in New Sweden .	One man died and 15 others were hospitalized after drinking tainted coffee following the April 27 worship service at Gustaf Adolph Lutheran Church in New Sweden .
983	983	0	The city index outperformed the Dow Jones industrial average , which rose 2.9 percent during the four-day trading week .	The Dow Jones industrial average < .DJI > rose 98.74 points , or 1.12 percent , to 8,949.00 .
984	984	0	The estimate of analysts surveyed by Thomson First Call was for a loss of $ 2.75 a share .	Analysts ' consensus estimate from Thomson First Call was for a loss of $ 2.08 a share , excluding one-time items .
985	985	1	He blamed the blast on guerillas from the Taliban regime overthrown in late 2001 and said it was possible the bomber was killed in the blast .	He blamed guerrillas from the Taliban regime ousted in late 2001 and said it was possible the bomber died in the blast .
986	986	0	"Jordan Barowitz , a spokesman for Republican Mayor Michael Bloomberg said : "" The Comptroller 's statements , while noteworthy for their sensationalism , bear no relation to the facts . """	"Responding later , Edward Skyler , a spokesman for the mayor , said , "" The comptroller 's statements , while noteworthy for their sensationalism , bear no relation to the facts ."
987	987	1	In her testimony , Kate Hannum said she was 5 1 / 2 months pregnant when her mother was killed .	Hannum was five and a half months pregnant when her mother died .
988	988	0	Prosecutors said interviews Peterson gave reporters may have been monitored in case the fertilizer salesman confessed .	Goold said reporters ' calls to Peterson may have been monitored .
989	989	0	Between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .	The state 's population was 6,080,485 in 2000 , according to the U.S. census .
990	990	1	The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped unharmed , Aaron said .	The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said .
991	991	1	"He said the royal family has poisoned the princes ' "" little minds . """	He also accused royal courtiers of poisoning the brothers ’ “ little minds ” .
992	992	0	Its cumulative total is $ 232.8 million , heading for $ 275 million .	The total for the Johnny Depp swashbuckler rose to $ 232.8 million .
993	993	0	Momentous happenings at the World Climate Conference in Moscow last week .	I would like to congratulate Russia on the successful World Climate Change Conference last week .
994	994	0	Egypt , Mongolia , the Seychelles , Tunisia and at least three other governments have signed unpublicized agreements .	At least seven other governments have signed agreements , but have asked not to have them publicized .
995	995	1	He spoke in Manhattan 's State Supreme Court , where O 'Donnell and G + J sued each other for breach of contract .	The G + J executive was testifying in Manhattan 's State Supreme Court where O 'Donnell and G + J are suing each other for breach of contract .
996	996	1	Early Monday , the center of Claudette was about 300 miles east of Brownsville , with maximum sustained wind blowing at 65 mph , 9 mph shy of hurricane strength .	By 10 p.m. , Claudette was centered about 320 miles east of Brownsville , with maximum sustained winds of 65 mph , 9 mph shy of hurricane strength .
997	997	1	His first Father 's Day as a dad , his first major as a champion .	Jim Furyk celebrated his first Father 's Day as a father by winning his first major golf championship .
998	998	1	""" We must not engage in borough warfare , "" the Comptroller William Thompson told the Council , according to his written testimony ."	""" We must not engage in borough warfare , "" Thompson testified at a budget hearing by the City Council 's Finance Committee ."
999	999	0	The Standard & Poor 's retail index < .RLX > was up more than 1.5 percent .	The Standard & Poor 's 500 Index slipped 3.14 points , or 0.29 percent , to 1,071.99 .
1000	1000	1	Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .	He took batting practice on the field for the second time Tuesday since his opening-day injury .
1001	1001	0	It also supports coloured labels to better organise documents , and dynamic browsing of the network for Mac , Windows and Unix file servers .	The redesigned Finder also features search , coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac , Windows and UNIX file servers .
1002	1002	1	But to see those pages Amazon would require users to register , and it plans to limit the amount of any single book a browser can view .	But to see those pages , users would be required by Amazon to register , and Amazon plans to limit the amount of any single book a customer can view .
1003	1003	0	Also Thursday , the NYSE 's board elected six new directors to the board and re-elected six others .	Also Thursday , the NYSE 's board elected six new directors - three non-industry representatives and three industry representatives .
1004	1004	1	From 1993 to 2002 , there were 142 reported sexual assaults at the academy .	Between 1993 and 2002 , 142 allegations of sexual assault were reported .
1005	1005	1	""" Mr Gilbertson would have been entitled to these ( pension ) payments irrespective of the circumstances in which he left the company , "" Mr Argus said ."	""" Mr Gilbertson would have been entitled to these superannuation payments irrespective of ... ( how ) he left the company , "" Mr Argus said ."
1006	1006	1	Pittsburgh , West Virginia , Rutgers , Connecticut and Virginia Tech filed the lawsuit this month in Hartford , Conn .	Five Big East schools , Connecticut , Pittsburgh , Rutgers , Virginia Tech and West Virginia , filed the lawsuit June 6 .
1007	1007	1	Graham acknowledged that surgery was not exactly the way to begin a campaign , but he said he feels strong and has the go-ahead from his doctors .	Graham said the surgery was not exactly the way to begin a campaign , but he is recovered .
1008	1008	1	As temperatures soar above 120 Fahrenheit in Basra , fridges and air conditioners have stuttered to a halt .	As temperatures soar above 50 degrees ( 120 Fahrenheit ) , fridges and air conditioners have stuttered to a halt in Basra .
1009	1009	1	He or she decides the merchandising direction of the company , or basically what it should stand for .	Chief merchandising officers oversee the buying and development of merchandise , deciding the merchandising direction of the company , or basically what it should stand for .
1010	1010	1	""" September and third quarter data confirm that demand in the global semiconductor market is rising briskly , "" stated SIA President George Scalise , in a statement ."	""" September and third-quarter data confirm that demand in the global semiconductor market is rising briskly , "" George Scalise , the SIA 's president , said in the statement ."
1011	1011	1	""" With the exception of March 2003 , growth in business activity has been reported by ISM members every month beginning with February 2002 , "" the Arizona-based group said ."	"The ISM noted that "" with the exception of March 2003 , growth in business activity has been reported by ISM members every month beginning with February 2002 . """
1012	1012	1	The investigation was closed without charges in 2001 .	That investigation closed without any charges being laid .
1013	1013	0	Judiciary officials did not immediately respond to Reuters ' requests for comment on the criticism of Mortazavi 's appointment .	Officials at Mortazavi 's office and the judiciary declined to respond to Reuters ' requests for comment on the accusations .
1014	1014	0	A command is sent to Mars Express to release Beagle 2 by what is known as a Spin-Up and Eject Mechanism .	Beagle 2 is attached to Mars Express by what is known as a Spin-Up and Ejection Mechanism ( Suem ) .
1015	1015	1	Gary Nicklaus , the 34-year-old son of the Golden Bear who is playing on a sponsor 's exemption , birdied five of his first nine holes before shooting 69 .	Gary Nicklaus , the 34-year-old son of Jack Nicklaus who is playing on a sponsor 's exemption , birdied five of his first nine holes before faltering to a 69 .
1016	1016	0	The broader Standard & Poor 's 500 Index .SPX was down 0.04 points , or 0 percent , at 971.52 .	The broader Standard & Poor 's 500 Index .SPX was up 3.41 points , or 0.35 percent , at 967.00 , also its highest close so far this year .
1017	1017	1	""" There is no conscious policy of the United States , I can assure you of this , to move the dollar at all , "" he said ."	""" There is no conscious policy on the part of the United States to move the dollar at all , "" Snow said ."
1018	1018	1	""" Events on our system , in and of themselves , could not account for the widespread nature of the outage , "" Burg said ."	""" Events on our system , in and of themselves , could not account for the widespread nature of the outage , "" FirstEnergy Chief Executive Peter Burg told the House panel ."
1019	1019	1	""" Sinners have long cherished the fantasy that William Bennett , the virtue magnate , might be among our number , "" Michael Kinsely wrote ."	"Kinsley , for example , wrote in the Post Monday : "" Sinners have long cherished the fantasy that William Bennett , the virtue magnate , might be among our number ."
1020	1020	1	Products featuring Vanderpool will be released within five years , he said .	He projected Vanderpool will be available within the next five years .
1021	1021	1	The ambassador said it was up to the Americans to press the Iraqi council to make the invitation - a move he said the United States appears unwilling to make .	The ambassador said it was up to the Americans to press the Iraqis to make the invitation , which he said the United States appears unwilling to do .
