index	passage	question	label	question_paraphrase
2594	A Way Out (video game) -- A Way Out is an action-adventure game developed by Hazelight Studios and published by Electronic Arts under their EA Originals program. It is the second video game to be directed by Josef Fares after Brothers: A Tale of Two Sons. The game has no single-player option: it is only playable in either online or local split screen co-op between two players. The game was released for Microsoft Windows, PlayStation 4 and Xbox One on March 23, 2018, selling over a million copies in two weeks.	is a way out a single player game?	0	Is there a way out in a single-player game?
80	11.22.63 -- When asked about developing a sequel series, King stated ``I'd love to revisit Jake and Sadie, and also revisit the rabbit hole that dumps people into the past, but sometimes it's best not to go back for a second helping.''.	will there be a second season of 11.22.63?	0	Will 11.22.63 have a second season?
559	Tampa Spartans football -- The Tampa Spartans football program was an intercollegiate American football team for the University of Tampa located in Tampa, Florida. The team competed in the NCAA Division I as an independent. The school's first football team was fielded in 1933. The football program was discontinued at the conclusion of the 1974 season.	does university of tampa have a football team?	0	Is there a football team at the University of Tampa?
2093	Destin–Fort Walton Beach Airport -- Destin--Fort Walton Beach Airport (IATA: VPS, ICAO: KVPS, FAA LID: VPS) is an airport located within Eglin Air Force Base, near Destin and Fort Walton Beach in Okaloosa County, Florida. No private aircraft are allowed, so Destin Executive Airport is used instead for non-commercial operations by general aviation and business aircraft. The airport was previously named Northwest Florida Regional Airport until February 17, 2015 and Okaloosa Regional Airport until September 2008.	is there an airport in fort walton beach florida?	0	Is Fort Walton Beach, Florida, served by an airport?
84	Deion Sanders -- Sanders played football primarily at cornerback, but also as a kick returner, punt returner, and occasionally wide receiver. He played in the National Football League (NFL) for the Atlanta Falcons, the San Francisco 49ers, the Dallas Cowboys, the Washington Redskins and the Baltimore Ravens, winning the Super Bowl with both the 49ers and the Cowboys. An outfielder in baseball, he played professionally for the New York Yankees, the Atlanta Braves, the Cincinnati Reds and the San Francisco Giants, and participated in the 1992 World Series with the Braves. He attended Florida State University, where he was recognized as a two-time All-American in football, and also played baseball and ran track.	did deion sanders ever win a world series?	0	Deion Sanders has never won a World Series.
1104	Brazil at the FIFA World Cup -- Brazil is the most successful national team in the history of the World Cup, having won five titles, earning second-place, third-place and fourth-place finishes twice each. Brazil is one of the countries besides Argentina, Spain and Germany to win a FIFA World Cup away from its continent (Sweden 1958, Mexico 1970, USA 1994 and South Korea/Japan 2002). Brazil is the only national team to have played in all FIFA World Cup editions without any absence or need for playoffs. Brazil also has the best overall performance in World Cup history in both proportional and absolute terms with a record of 73 victories in 109 matches played, 124 goal difference, 237 points and only 18 losses.	has brazil ever been eliminated in the group stage?	0	Is it true that Brazil has never been eliminated in the group stage?
2095	Radiology -- A variety of imaging techniques such as X-ray radiography, ultrasound, computed tomography (CT), nuclear medicine including positron emission tomography (PET), and magnetic resonance imaging (MRI) are used to diagnose and/or treat diseases. Interventional radiology is the performance of (usually minimally invasive) medical procedures with the guidance of imaging technologies.	is an x-ray the same as an mri?	0	Is an x-ray the same as a magnetic resonance imaging (MRI)?
1600	Mexico national football team -- In their opening match of the 2018 FIFA World Cup, Mexico defeated defending champion Germany, 1--0, for the first time in a World Cup match. They would go on to defeat South Korea 2--1 in the next game, with goals from Carlos Vela and Javier Hernández, but would fall 3--0 to Sweden in the last group stage match. Despite the loss, Mexico qualified to the round of 16 for the seventh-consecutive tournament. In the round of 16, Mexico was defeated 0--2 by Brazil; the defeat meant that for the seventh tournament in a row, Mexico failed to reach the quarterfinals since they last hosted the World Cup in 1986.	has mexico ever beat germany in the world cup?	1	Is it true that Mexico has never defeated Germany in a World Cup?
2600	Phoenix Suns -- The Suns began play as an expansion team in 1968. The franchise owns the NBA's fourth-best all-time winning percentage, winning 55 percent of its games, as of the end of the 2014--15 season. In 47 years of play, they have made the playoffs 29 times, posted 19 seasons of 50 or more wins, made nine trips to the Western Conference Finals, and advanced to the NBA Finals twice, in 1976 and 1993. As a result, the Suns are the team with the highest all-time win-loss percentage to have never won an NBA championship.	have the phoenix suns ever won a championship?	0	Is it true that the Phoenix Suns have never won a championship?
87	Matter creation -- In high-energy particle colliders, matter creation events have yielded a wide variety of exotic heavy particles precipitating out of colliding photon jets (see two-photon physics). Currently, two-photon physics studies creation of various fermion pairs both theoretically and experimentally (using particle accelerators, air showers, radioactive isotopes, etc.).	is it possible to create mass from energy?	1	Is it possible to make mass out of energy?
564	Base on balls -- Receiving a base on balls does not count as a hit or an at bat for a batter but does count as a time on base and a plate appearance. Therefore, a base on balls does not affect a player's batting average, but it can increase his on-base percentage.	do you count walks in the batting average?	0	Do walks factor into batting average?
2097	Flat feet -- Most flexible flat feet are asymptomatic, and do not cause pain. In these cases, there is usually no cause for concern. Flat feet were formerly a physical-health reason for service-rejection in many militaries. However, three military studies on asymptomatic adults (see section below), suggest that persons with asymptomatic flat feet are at least as tolerant of foot stress as the population with various grades of arch. Asymptomatic flat feet are no longer a service disqualification in the U.S. military.	can u be flat footed in the army?	1	Is it possible to be flat-footed in the army?
1606	United States Virgin Islands -- The U.S. Virgin Islands were originally inhabited by the Ciboney, Carib, and Arawaks. The islands were named by Christopher Columbus on his second voyage in 1493 for Saint Ursula and her virgin followers. Over the next two hundred years, the islands were held by many European powers, including Spain, Great Britain, the Netherlands, France, and Denmark--Norway. In 1927, the inhabitants of the U.S. Virgin Islands were granted American citizenship.	are residents of the us virgin islands american citizens?	1	Are residents of the United States Virgin Islands citizens of the United States?
1105	Moonflower -- A common name for several night-blooming plants, some with white flowers, including:	is there such thing as a moon flower?	1	Is it possible to find a moon flower?
565	Bacterial cell structure -- Cell shape is generally characteristic of a given bacterial species, but can vary depending on growth conditions. Some bacteria have complex life cycles involving the production of stalks and appendages (e.g. Caulobacter) and some produce elaborate structures bearing reproductive spores (e.g. Myxococcus, Streptomyces). Bacteria generally form distinctive cell morphologies when examined by light microscopy and distinct colony morphologies when grown on Petri plates.	are all bacteria of a single species the exact same shape?	0	Is the shape of all bacteria in a single species the same?
1608	Australia at the FIFA World Cup -- The Australia national soccer team, nicknamed the Socceroos, has represented Australia at the FIFA World Cup finals on five occasions: in 1974, 2006, 2010, 2014 and 2018.	has australia ever been in a world cup final?	1	Is Australia's team ever made it to a World Cup final?
2098	Immediate family -- The immediate family is a defined group of relations, used in rules or laws to determine which members of a person's family are affected by those rules. It normally includes a person's parents, spouses, siblings, children, or an individual related by blood whose close association is an equivalent of a family relationship. It can contain others connected by birth, adoption, marriage, civil partnership, or cohabitation, such as grandparents, great-grandparents, grandchildren, great-grandchildren, aunts, uncles, siblings-in-law, half-siblings, cousins, adopted children and step-parents/step-children, and cohabiting partners.	is a brother in law considered a relative?	1	Is a brother-in-law regarded as a relative?
2602	Admission to the bar in the United States -- Admission to the bar in the United States is the granting of permission by a particular court system to a lawyer to practice law in that system. Each U.S state and similar jurisdiction (e.g., territories under federal control) has its own court system and sets its own rules for bar admission (or privilege to practice law), which can lead to different admission standards among states. In most cases, a person who is ``admitted'' to the bar is thereby a ``member'' of the particular bar.	do you have to take the bar exam to practice law?	1	Is it necessary to take the bar exam in order to practise law?
1106	Hi-C -- Hi-C is a fruit juice-flavored drink made by the Minute Maid division of The Coca-Cola Company. It was created by Niles Foster in 1946 and released in 1947. The sole original flavor was orange.	does hi-c orange have caffeine in it?	0	Is there caffeine in hi-c orange?
1610	The Boss Baby: Back in Business -- The Boss Baby: Back in Business is an American computer-animated web television series produced by DreamWorks Animation that is a follow-up of the 2017 film The Boss Baby, loosely based on the book of the same name by Marla Frazee. The series premiered on Netflix on April 6, 2018.	is boss baby back in business on netflix?	1	Is Netflix bringing back Boss Baby?
2099	Grade retention -- In most countries, grade retention has been banned or strongly discouraged. In the United States, grade retention can be used in kindergarten through twelfth grade, however, students in grades seven through twelve are usually only retained in the specific failed subject due to each subject having its own specific classroom rather than staying in one classroom with all subjects taught for the entire school day as it is in grades kindergarten through sixth grade. For example, in grades seven through twelve, a student can be promoted in a math class but retained in a language class. Single classroom grades kindergarten through sixth grade are confined to one room for the whole day, being taught all subjects in the same classroom usually by one teacher with the exception of art and gymnastics conducted in the art room and the gymnasium respectively. In these grades the student must generally fail or score well below the accepted level in most or all areas within the entire curriculum to be retained. The student will then again repeat the entire school year within a single classroom and repeating the same subject matter as the previous year.	can you get held back in freshman year?	1	Can you be held back during your freshman year?
2606	Third place playoff -- If the host nation is involved in the third place match, the team generally uses the match to thank the support of their fans (such as the South Korean football team in 2002, and the German football team in 2006. German goalkeeper Oliver Kahn, who had been a reserve to Jens Lehmann during the 2006 tournament, was allowed to retire in the third place playoff by then manager Jürgen Klinsmann. Germany and Portugal fielded strong lineups in that match, after both were narrowly eliminated in their respective semi-finals (Germany and Italy nearly went to a penalty shootout, while Portugal was defeated by the lower-ranked France). For Brazil, the dismal 3--0 loss to the Netherlands in the 2014 third place match, along with the 7-1 semi-final defeat to Germany, led to coach Luiz Felipe Scolari being dismissed. For the Dutch, this was their first bronze medal in the FIFA World Cup.	does 3rd place in the world cup get a medal?	1	Is a medal awarded for finishing third in the World Cup?
91	Bunk'd -- The series was renewed for a third season by Disney Channel on August 31, 2017. On June 1, 2018, it was announced that Peyton List, Karan Brar, Skai Jackson, and Miranda May would be returning for the third season and that Raphael Alejandro, Will Buie Jr., and Mallory Mahoney would be joining the cast. The third season premiered on Disney Channel on June 18, 2018. In March 2018, actress Skai Jackson stated in an interview that she was leaving Disney and that Bunk'd would end with the third season.	is this the last season of bunk'd?	1	Is this bunk'd's final season?
1108	The Train (1964 film) -- The Train is a 1964 war film directed by John Frankenheimer from a story and screenplay by Franklin Coen and Frank Davis, inspired by the non-fiction book Le front de l'art by Rose Valland, who documented the works of art placed in storage that had been looted by the Germans from museums and private art collections. It stars Burt Lancaster, Paul Scofield and Jeanne Moreau.	is the movie the train a true story?	1	Is the film The Train based on a true storey?
567	Heat (1995 film) -- Heat is a 1995 American crime film written, co-produced and directed by Michael Mann, and starring Robert De Niro, Al Pacino, and Val Kilmer. De Niro plays Neil McCauley, a professional thief, while Pacino plays Lt. Vincent Hanna, a LAPD robbery-homicide detective tracking down McCauley's crew. The story is based on the former Chicago police officer Chuck Adamson's pursuit during the 1960s of a criminal named McCauley, after whom De Niro's character is named. Heat is a remake by Mann of an unproduced television series he had worked on, the pilot of which was released as the TV movie L.A. Takedown in 1989.	was the movie heat based on a book?	0	Was the film Heat inspired by a book?
2608	Marvel Universe -- The Marvel Universe is a fictional universe where the stories in most American comic book titles and other media published by Marvel Entertainment take place. Super-teams such as the Avengers, the X-Men, the Fantastic Four, the Guardians of the Galaxy, the Defenders, the Inhumans and other Marvel superheroes live in this universe, including characters such as Spider-Man, Captain America, Iron Man, Thor, Daredevil, The Hulk, Wolverine, Punisher, Moon Knight, Deadpool, Blade, Ghost Rider, Doctor Strange and numerous others.	are xmen in the same universe as avengers?	1	Are the X-Men and the Avengers in the same universe?
1109	NBA draft -- The NBA draft is an annual event dating back to 1947 in which the (now thirty) teams from the National Basketball Association (NBA) can draft players who are eligible and wish to join the league. These are typically college basketball players, but international players are also eligible to be drafted. College players who have finished their four-year college eligibility are automatically eligible for selection, while the underclassmen have to declare their eligibility and give up their remaining college eligibility. International players who are at least 22 years old are automatically eligible for selection, while the players younger than 22 have to declare their eligibility. Players who are not automatically eligible but have declared their eligibility are often called ``early-entrants'' or ``early-entry candidates''. The draft usually takes place at the end of June, during the NBA offseason. Since 1989, the draft has consisted of two rounds; this is much shorter than the entry drafts of the other major professional sports leagues in the United States and Canada, all of which run at least seven rounds. Sixty players are selected in each draft. No player may sign with the NBA until he has been eligible for at least one draft.	are there only 2 rounds in the nba draft?	1	Is the NBA draught only two rounds long?
2104	Perfect game -- A perfect game is defined by Major League Baseball as a game in which a pitcher (or combination of pitchers) pitches a victory that lasts a minimum of nine innings in which no opposing player reaches base. Thus, the pitcher (or pitchers) cannot allow any hits, walks, hit batsmen, or any opposing player to reach base safely for any other reason and the fielders cannot make an error that allows an opposing player to reach a base; in short, ``27 up, 27 down.'' The feat has been achieved 23 times in MLB history -- 21 times since the modern era began in 1900, most recently by Félix Hernández of the Seattle Mariners on August 15, 2012. A perfect game is also a no-hitter and a shutout. A fielding error that does not allow a batter to reach base, such as a misplayed foul ball, does not spoil a perfect game. Weather-shortened contests in which a team has no baserunners and games in which a team reaches first base only in extra innings do not qualify as perfect games under the present definition.	can there be an error in a perfect game?	1	Is it possible to make a mistake in a perfect game?
1613	Desperate Housewives -- In August 2011, it was confirmed that the eighth season of Desperate Housewives would be the final season. Eva Longoria tweeted about the end of Desperate Housewives:	will there be season 9 of desperate housewives?	0	Is there going to be a ninth season of Desperate Housewives?
92	White House -- The White House is the official residence and workplace of the President of the United States. It is located at 1600 Pennsylvania Avenue NW in Washington, D.C. and has been the residence of every U.S. President since John Adams in 1800. The term is often used as a metonym for the president and his advisers.	does the president live in the white house?	1	Is the president a resident of the White House?
570	Cordon bleu (dish) -- A cordon bleu or schnitzel cordon bleu is a dish of meat wrapped around cheese (or with cheese filling), then breaded and pan-fried or deep-fried. Veal or pork cordon bleu is made of veal or pork pounded thin and wrapped around a slice of ham and a slice of cheese, breaded, and then pan fried or baked. For chicken cordon bleu chicken breast is used instead of veal. Ham cordon bleu is ham stuffed with mushrooms and cheese.	is chicken cordon bleu made with blue cheese?	1	Is blue cheese used in chicken cordon bleu?
1110	Hawaiian Islands -- The Hawaiian Islands (Hawaiian: Mokupuni o Hawai'i) are an archipelago of eight major islands, several atolls, numerous smaller islets, and seamounts in the North Pacific Ocean, extending some 1,500 miles (2,400 kilometers) from the island of Hawaiʻi in the south to northernmost Kure Atoll. Formerly the group was known to Europeans and Americans as the ``Sandwich Islands'', a name chosen by James Cook in honor of the then First Lord of the Admiralty John Montagu, 4th Earl of Sandwich. The contemporary name is derived from the name of the largest island, Hawaii Island.	did hawaii used to be called the sandwich islands?	1	Was Hawaii once known as the Sandwich Islands?
2107	Home Hardware -- Home Hardware has survived the expansion of The Home Depot into Canada, beginning in 1994, as well as the expansion of a domestic competitor, Rona, Inc., into the big-box arena.	are home hardware and home depot the same?	0	Is there a difference between home hardware and home depot?
2610	Raiders of the Lost Ark -- The first installment in the Indiana Jones film franchise, it stars Harrison Ford as archaeologist Indiana Jones, who battles a group of Nazis searching for the Ark of the Covenant. It co-stars Karen Allen as Indiana's former lover, Marion Ravenwood; Paul Freeman as Indiana's rival, French archaeologist René Belloq; John Rhys-Davies as Indiana's sidekick, Sallah; Ronald Lacey as Gestapo agent Arnold Toht; and Denholm Elliott as Indiana's colleague, Marcus Brody.	does indiana jones play a role in raiders?	1	Is Indiana Jones a character in Raiders?
574	Mariana Trench -- Four descents have been achieved. The first was the manned descent by Swiss-designed, Italian-built, United States Navy-owned bathyscaphe Trieste which reached the bottom at 1:06 pm on 23 January 1960, with Don Walsh and Jacques Piccard on board. Iron shot was used for ballast, with gasoline for buoyancy. The onboard systems indicated a depth of 11,521 m (37,799 ft), but this was later revised to 10,916 m (35,814 ft). The depth was estimated from a conversion of pressure measured and calculations based on the water density from sea surface to seabed.	have we seen the bottom of the mariana trench?	1	Have we reached the Mariana trench's bottom?
2109	2010 FIFA World Cup -- In the final, Spain, the European champions, defeated the Netherlands (third-time losing finalists) 1--0 after extra time, with Andrés Iniesta's goal in the 116th minute giving Spain their first world title. Spain became the eighth nation to win the tournament and the first European nation to win a World Cup hosted outside its home continent: all previous World Cups held outside Europe had been won by South American nations. As a result of their win, Spain represented the World in the 2013 FIFA Confederations Cup. Host nation South Africa, 2006 champions Italy and 2006 runners-up France were all eliminated in the first round of the tournament. It was the first time that the hosts had been eliminated in the first round. New Zealand, with their three draws, were the only undefeated team in the tournament, but they were also eliminated in the first round.	did spain win the world cup in 2010?	1	Is it true that Spain won the World Cup in 2010?
2611	North–South differences in the Korean language -- The standard languages in the North and the South share the same types and the same number of phonemes, but there are some differences in the actual pronunciations. The South Korean standard pronunciation is based on the dialect as spoken in Seoul, and the North Korean standard pronunciation is based on the dialect as spoken in Pyongyang.	do north and south korea have different accents?	1	Do the accents in North and South Korea differ?
95	Angular frequency -- Angular frequency (or angular speed) is the magnitude of the vector quantity angular velocity. The term angular frequency vector ω → (\displaystyle (\vec (\omega ))) is sometimes used as a synonym for the vector quantity angular velocity.	is angular frequency and angular velocity the same?	0	Is there a relationship between angular frequency and angular velocity?
1614	Florida's Turnpike -- Florida's Turnpike, designated as State Road 91 (SR 91), is a toll road in the U.S. state of Florida, maintained by Florida's Turnpike Enterprise (FTE). Spanning approximately 309 miles (497 km) along a north--south axis, the turnpike is in two sections. The SR 91 mainline runs roughly 265 miles (426 km), from its southern terminus at an interchange with Interstate 95 (I-95) in Miami Gardens to an interchange with I-75 in Wildwood at its northern terminus. The Homestead Extension of Florida's Turnpike (abbreviated HEFT and designated as SR 821) continues from the southern end of the mainline for another 48 miles (77 km) to US Highway 1 (US 1) in Florida City. The slogan for the road is ``The Less Stressway''.	is highway 91 in florida a toll road?	1	Is Florida's Highway 91 a toll road?
579	Blue jay -- Its plumage is lavender-blue to mid-blue in the crest, back, wings, and tail, and its face is white. The underside is off-white and the neck is collared with black which extends to the sides of the head. The wing primaries and tail are strongly barred with black, sky-blue and white. The bill, legs, and eyes are all black. Males and females are almost identical, but the male is slightly larger.	do female and male blue jays look the same?	1	Do male and female blue jays have the same appearance?
2612	Cavaliers–Warriors rivalry -- The Cavaliers--Warriors rivalry is a National Basketball Association (NBA) rivalry between the Cleveland Cavaliers and the Golden State Warriors. While the two teams have played each other since the Cavaliers joined the league in 1970, their rivalry began to develop in the 2014--15 season, when they met in the first of four consecutive NBA Finals series. Prior to the streak beginning, no pair of teams had faced each other in more than two consecutive Finals. Of these four series, the Warriors have won three championships (2015, 2017, and 2018), and the Cavaliers won in 2016.	has cleveland ever beat golden state in the finals?	1	Has Cleveland ever defeated the Golden State Warriors in the NBA Finals?
1615	NBA playoffs -- All rounds are best-of-seven series. Series are played in a 2--2--1--1--1 format, meaning the team with home-court advantage hosts games 1, 2, 5, and 7, while their opponent hosts games 3, 4, and 6, with games 5--7 being played if needed. This format has been used since 2014, after NBA team owners unanimously voted to change from a 2--3--2 format on October 23, 2013.	is the first round of the nba playoffs a 5 game series?	0	Is the NBA playoffs' first round a five-game series?
1118	Top Gear controversies -- The Top Gear presenters go across Burma and Thailand in lorries with the goal of building a bridge over the river Kwai. After building a bridge over the Kok River, Clarkson is quoted as saying ``That is a proud moment, but there's a slope on it.'' as a native crosses the bridge, 'slope' being a pejorative for Asians.	did top gear build a bridge over the river kwai?	0	Did Top Gear construct a bridge across the Kwai River?
97	Salt Lake City -- Salt Lake City (often shortened to Salt Lake and abbreviated as SLC) is the capital and the most populous municipality of the U.S. state of Utah. With an estimated population of 190,884 in 2014, the city is the core of the Salt Lake City metropolitan area, which has a population of 1,153,340 (2014 estimate). Salt Lake City is further situated within a larger metropolis known as the Salt Lake City--Ogden--Provo Combined Statistical Area. This region is a corridor of contiguous urban and suburban development stretched along an approximately 120-mile (190 km) segment of the Wasatch Front, comprising a population of 2,423,912 as of 2014. It is one of only two major urban areas in the Great Basin (the other is Reno, Nevada).	is salt lake city the biggest city in utah?	1	Is Salt Lake City Utah's largest city?
2613	Aegopodium podagraria -- Aegopodium podagraria (commonly called ground elder, herb gerard, bishop's weed, goutweed, gout wort, and snow-in-the-mountain, and sometimes called English masterwort and wild masterwort) is a perennial plant in the carrot family (Apiaceae) that grows in shady places. The name ``ground elder'' comes from the superficial similarity of its leaves and flowers to those of elder (Sambucus), which is unrelated. It is the type species of the genus Aegopodium. This species is native to Eurasia, and has been introduced around the world as an ornamental plant, where it occasionally poses an ecological threat as an invasive exotic plant.	is snow on the mountain the same as bishops weed?	1	Is mountain snow the same as bishop's weed?
582	Pork ribs -- Baby back ribs (also back ribs or loin ribs) are taken from the top of the rib cage between the spine and the spare ribs, below the loin muscle. They have meat between the bones and on top of the bones, and are shorter, curved, and sometimes meatier than spare ribs. The rack is shorter at one end, due to the natural tapering of a pig's rib cage. The shortest bones are typically only about 3 in (7.6 cm) and the longest is usually about 6 in (15 cm), depending on the size of the hog. A pig side has 15 to 16 ribs (depending on the breed), but usually two or three are left on the shoulder when it is separated from the loin. So, a rack of back ribs contains a minimum of eight ribs (some may be trimmed if damaged), but can include up to 13 ribs, depending on how it has been prepared by the butcher. A typical commercial rack has 10--13 bones. If fewer than 10 bones are present, butchers call them ``cheater racks''.	are pork back ribs same as baby back?	1	Are pork back ribs and baby back ribs the same thing?
2121	Backup and Restore -- Backup and Restore (formerly Windows Backup and Restore Center) is a component of Microsoft Windows introduced in Windows Vista and included in later versions that allow users to create backups and restore from backups created earlier. It is a replacement of NTBackup, which was included in previous Windows versions. It became a deprecated feature in Windows 8 before being completely removed in Windows 8.1 in favor of File History. However, in Windows 10, it was re-incorporated into the operating system.	does windows include a restore utility which is used to restore your backup?	1	Is there a restore utility in Windows that you can use to restore your backup?
1123	Square metre -- The square metre (International spelling as used by the International Bureau of Weights and Measures) or square meter (American spelling) is the SI derived unit of area, with symbol m.	is a sq m the same as m2?	1	Is a square metre the same as a square square square square square square square square square square square square square square square square square square square square square
2616	India–Sri Lanka relations -- India--Sri Lanka relations have been friendly, but were controversially affected by the Sri Lankan Civil War and by the failure of Indian intervention during the war. India is the only neighbour of Sri Lanka, separated by the Palk Strait; both nations occupy a strategic position in South Asia and have sought to build a common security umbrella in the Indian Ocean. Historically and culturally, the two nations have been considerably close, with 70% of Sri Lankans continuing to follow Theravada Buddhism to this day.	is sri lanka a neighbouring country of india?	1	Sri Lanka is a neighbouring country to India.
106	Gambling in Australia -- Gamblers' winnings in Australia are not taxed . There are 3 main reasons for that:	do you pay tax on gambling winnings in australia?	0	In Australia, do you have to pay taxes on your gambling winnings?
1617	Designated Survivor (TV series) -- The series is produced by ABC Studios and The Mark Gordon Company, and is filmed in Toronto, Ontario.	was designated survivor filmed in the white house?	0	Was the filming of Designated Survivor done at the White House?
2123	Diary of a Wimpy Kid -- Diary of a Wimpy Kid is a satirical realistic fiction comedy novel for children and teenagers written and illustrated by Jeff Kinney. It is the first book in the Diary of a Wimpy Kid series. The book is about a boy named Greg Heffley and his struggles to fit in as he begins middle school.	are diary of a wimpy kid books graphic novels?	0	Are the books in the Diary of a Wimpy Kid series graphic novels?
585	Cedar Cove (TV series) -- On December 1, 2015, it was announced that the series was cancelled and would not be renewed for a fourth season.	is there a season 4 for cedar cove?	0	Is there going to be a fourth season of Cedar Cove?
2126	Ant-Man and the Wasp -- Ant-Man and the Wasp is a 2018 American superhero film based on the Marvel Comics characters Scott Lang / Ant-Man and Hope van Dyne / Wasp. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the sequel to 2015's Ant-Man, and the twentieth film in the Marvel Cinematic Universe (MCU). The film is directed by Peyton Reed and written by the writing teams of Chris McKenna and Erik Sommers, and Paul Rudd, Andrew Barrer, and Gabriel Ferrari. It stars Rudd as Lang and Evangeline Lilly as Van Dyne, alongside Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip ``T.I.'' Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, and Michael Douglas. In Ant-Man and the Wasp, the titular pair work with Hank Pym to retrieve Janet van Dyne from the quantum realm.	do ant man and the wasp get together?	1	Do Ant-Man and Wasp ever get together?
2627	Dry thunderstorm -- A dry thunderstorm or heat storm is a thunderstorm that produces thunder and lightning, but most or all of its precipitation evaporates before reaching the ground. Dry lightning refers to lightning strikes occurring in this situation. Both are so common in the American West that they are sometimes used interchangeably. The latter term is a technical misnomer since lightning itself is neither wet nor dry.	does it have to rain to have lightning?	0	Does it have to rain for there to be lightning?
107	Spartacus (TV series) -- After the completion of the first season titled Spartacus: Blood and Sand, production for another season was delayed because lead actor Andy Whitfield was diagnosed with early-stage non-Hodgkin lymphoma so Starz produced a six-episode prequel mini-series entitled Spartacus: Gods of the Arena. When the actor's cancer recurred and he later died on September 11, 2011, Starz had actor Liam McIntyre take on the role of Spartacus in the second season titled Spartacus: Vengeance. On June 4, 2012, Starz announced the third and final season, titled Spartacus: War of the Damned.	will there be a new spartacus season 5?	0	Will there be a fifth season of Spartacus?
1125	5 euro note -- The changeover period during which the former currencies' notes and coins were exchanged for those of the euro lasted about two months, going from 1 January 2002 until 28 February 2002. The official date on which the national currencies ceased to be legal tender varied from member state to member state. The earliest date was in Germany, where the mark officially ceased to be legal tender on 31 December 2001, though the exchange period lasted for two months more. Even after the old currencies ceased to be legal tender, they continued to be accepted by national central banks for periods ranging from ten years to forever.	can you still use old 5 euro note?	0	Is it still possible to use the old 5 euro note?
2133	221B Baker Street -- At the time the Holmes stories were published, addresses in Baker Street did not go as high as 221. Baker Street was later extended, and in 1932 the Abbey National Building Society moved into premises at 219--229 Baker Street. For many years, Abbey National employed a full-time secretary to answer mail addressed to Sherlock Holmes. In 1990, a blue plaque signifying 221B Baker Street was installed at the Sherlock Holmes Museum, situated elsewhere on the same block, and there followed a 15-year dispute between Abbey National and the Holmes Museum for the right to receive mail addressed to 221B Baker Street. Since the closure of Abbey House in 2005, ownership of the address by the Holmes Museum has not been challenged, despite its location between 237 and 241 Baker Street.	is there a real baker street in london?	1	Is there such a thing as Baker Street in London?
586	Compulsory education -- In 1918, Mississippi was the last state to enact a compulsory attendance law.	is going to school mandatory in the us?	1	Is school required in the United States?
2628	Dishwasher -- In addition to domestic units, industrial dishwashers are available for use in commercial establishments such as hotels and restaurants, where a large number of dishes must be cleaned. Washing is conducted with temperatures of 65--71 °C (149--160 °F) and sanitation is achieved by either the use of a booster heater that will provide an 82 °C (180 °F) ``final rinse'' temperature or through the use of a chemical sanitizer.	does the dishwasher make its own hot water?	1	Is the dishwasher able to generate its own hot water?
1621	The 100 (TV series) -- In March 2017, The CW renewed the series for a fifth season, which premiered on April 24, 2018. In May 2018, the series was renewed for a sixth season.	is there a season 5 in the 100?	1	Is there a fifth season of the 100?
2134	FIFA World Cup -- Since the second World Cup in 1934, qualifying tournaments have been held to thin the field for the final tournament. They are held within the six FIFA continental zones (Africa, Asia, North and Central America and Caribbean, South America, Oceania, and Europe), overseen by their respective confederations. For each tournament, FIFA decides the number of places awarded to each of the continental zones beforehand, generally based on the relative strength of the confederations' teams.	can an african nation win the world cup?	1	Is it possible for an African country to win the World Cup?
2629	The Game (U.S. TV series) -- The Game is an American comedy-drama television series created by Mara Brock Akil. Premiering on October 1, 2006, the series debuted as the only new comedy series chosen for The CW's primetime schedule. Along with Runaway, it was one of only two series on the new network not to be inherited from either of its predecessor networks, The WB and UPN, during the network's first season. The series is a spin-off of the long-running UPN/CW sitcom Girlfriends.	was the game a spin off of girlfriends?	1	Was the game based on girlfriends?
1128	Spiny dogfish -- The spiny dogfish, spurdog, mud shark, or piked dogfish (Squalus acanthias) is one of the best known species of the Squalidae (dogfish) family of sharks, which is part of the Squaliformes order. While these common names may apply to several species, Squalus acanthias is distinguished by having two spines (one anterior to each dorsal fin) and lacks an anal fin. It is found mostly in shallow waters and further offshore in most parts of the world, especially in temperate waters. Spiny dogfish in the northern Pacific Ocean have recently been reevaluated and found to constitute a separate species, now known as ``Pacific spiny dogfish'', Squalus suckleyi.	is a dogfish part of the shark family?	1	Is the dogfish a member of the shark family?
1623	Heat syncope -- Heat syncope is fainting or dizziness as a result of overheating (syncope is the medical term for fainting). It is a type of heat illness. The basic symptom of heat syncope is fainting, with or without mental confusion. Heat syncope is caused by peripheral vessel dilation, resulting in diminished blood flow to the heart and dehydration.	can being too hot cause you to faint?	1	Is it possible to faint from being too hot?
