index	label	sentence1	sentence2
507	1	A case of rabies was confirmed.	The unconfirmed case in Dundee concerns a rabies-like virus known only in bats.
509	1	Yulia Timoshenko is the daughter of Bishop Pavel.	The marriage is planned to take place in the Kiev Monastery of the Caves, whose father superior, Bishop Pavel, is Yulia Timoshenko's spiritual father.
510	1	Judith Miller is a member of CIA.	Earlier this year reporter Judith Miller was jailed for refusing to name the US-government source who identified a member of the US Central Intelligence Agency (CIA), Valerie Plame.
514	1	"""Fairytale of New York"" does not contain the word ""faggot""."	"BBC Radio 1 bosses have today reversed their decision to censor the word ""faggot"" from the 20 year old ""Fairytale of New York"" song by The Pogues. The initial censoring of the song caused controversy recently as the song had been played for 20 years without censoring, and resulted in many people contacting the BBC saying the decision was ""ridiculous"". The ban was also ridiculed for the fact that it only applied to Radio 1 and not to Radio 2 or any other station on the BBC network."
515	1	Nike said that orders for delivery were up 11 percent from a year earlier, and it was optimistic about its growth prospects.	Nike Inc. said, Monday, that its first-quarter profit grew 32 percent, as the world's largest sneaker and athletic apparel company posted broad gains in sales and orders.
516	1	Gotthold Ephraim Lessing lived from 1729 to 1781.	Munir Mezyed, a poet and critic, aroused the sentiments and emotions of the audience when he recited his smooth flowing poetry both in Arabic and English, which demonstrated his unique and overwhelming style.
518	1	Ahmadinejab threatens Iran nuclear activity.	"Meanwhile, in an exclusive interview with a TIME journalist, the first one-on-one session given to a Western print publication since his election as president of Iran earlier this year, Ahmadinejad attacked the ""threat"" to bring the issue of Iran's nuclear activity to the UN Security Council by the US, France, Britain and Germany."
519	1	Álvaro Marcelo García Linera belongs to the republican party.	"Vice-President  Álvaro Marcelo García Linera, a principal author of the draft constitution, hailed Sunday's referendum results, saying, ""this will be an egalitarian Bolivia, a Bolivia that leaves behind a dark, colonial, racist past."" Linera, however, has acknowledged that the government has provoked deep divisions and faces vehement oppositions from many of the traditional elite, coming from many mixed-race people in the fertile eastern lowlands which rejected the draft charter.  ""I am not saying there will be no more conflict, there will be tensions for a while, I say a decade ... but we will have built a state on three principles: the economy under state control, equality, and the territorial decentralization of power,"" he said. The new constitution was rejected in four opposition-controlled regions: the tropical lowlands of Pando, Santa Cruz, Tarija and Beni, which contain most of Bolivia's natural gas production and are responsible for most of its agricultural output."
520	1	Jews and Christians pray as Muslims do.	Muslims are commanded not to take Jews or Christians for friends.
521	1	It's unclear whether Wednesday's twist will affect the timing of Google's initial public offering.	"In Wednesday's filing, Google said it planned to complete the IPO ""as soon as practicable."""
526	1	The pilot had been attempting an emergency landing, after both engines failed.	The focus on the engines and the fuel, stems from the pilot's radio call, shortly before the crash.
529	1	Zibo is in the vicinity of Beijing.	Two trains collided in Shandong, China 4:41am local time on Monday killing at least 71 people and injuring over 400, including four French citizens. It is still not known exactly how many people were on either of the trains. The collision occurred in Zibo when one of the trains traveling from Beijing to Qingdao jumped tracks and collided head on with a train traveling in the opposite direction from Yantai to Xuzhou. Both of the trains are reported to have been traveling at their maximum speeds when they collided.
531	1	Mitsubishi sales rose 46 percent	Mitsubishi Motors Corp.'s new vehicle sales in the US fell 46 percent in June
532	1	Hamid Karzai is an employee of the UN.	"An act signed into law by Afghan President Hamid Karzai last month dramatically rolled back the rights of women in that country, according to human rights groups and a United Nations report on the bill by the United Nations Development Fund for Women. The Afghan government has not provided a copy of the text of the Shia Family Law to the UN or to other outside groups requesting it, citing ""technical problems"", however, the UN and opposition politicians say that the bill contains numerous provisions restricting the rights of women, such as giving their husbands priority in court; requiring the husband's permission to leave the house, obtain education or employment, or to see a doctor; and reserving the custody of children to male relatives."
533	1	David Shankbone is an employee of The New York Times.	"In the early Olympic games, athletes used to run a mile and then recite a poem. The first poet-in-residence of an English football team, Ian McMillan, remarked that football chants are like huge tribal poems. Generally, though, sport and poetry have never seemed natural companions in human enterprise. Until the New York Mets baseball team suffered in 2007 arguably the worst collapse in Major League Baseball history. To describe the anguish fans felt, The New York Times turned to a poet, Frank Messina. ""Nothing was really representing the fan's point of view,"" Messina told Wikinews reporter David Shankbone in an interview. ""There's a lot of hurting people out there who can't express what happened."""
534	1	FMLN guerrilla units attacked a commercial company.	FMLN guerrilla units ambushed the 1st company of military detachment no. 2 Jr. Battalion at la Pena Canton, Villa Victoria Jurisdiction.
535	1	The Murray-Darling Basin is in central Australia.	"THE persistence and severity of the drought in the Murray-Darling Basin has been described as ""unprecedented"" after late summer inflows to the river system fell to a 117-year low. The ""bleak'' outlook for next three months was adding to the grim news, the Murray-Darling Basin Authority said. Irrigation water for Australia's food bowl will be dependent almost entirely on rainfall as basin states hold back water for critical human needs. ""The persistence and severity of this drought, particularly over the past three years, is unprecedented,'' authority chief executive Rob Freeman said as he delivered the basin's latest drought update."
537	1	Lucy fossils have been discovered 3.3 million years ago.	"The world's oldest known child has been discovered in East Africa in an area known appropriately as the Cradle of Humanity.  The 3.3-million-year-old fossilized toddler was uncovered in north Ethiopia's badlands along the Great Rift Valley (map of Ethiopia). The skeleton, belonging to the primitive human species Australopithecus afarensis, is remarkable for its age and completeness, even for a region spectacularly rich in fossils of our ancient ancestors, experts say.  The new find may even trump the superstar fossil of the same species: ""Lucy,"" a 3.2-million-year-old adult female discovered nearby in 1974 that reshaped theories of human evolution. (Related: ""Fossil Find Is Missing Link in Human Evolution, Scientists Say"" [April 2006].) ."
540	1	Russians hold record for longest stay in space.	The longest mission which the Russian Salyuts supported was 63 days. The second generation Salyuts would fly missions much longer and would need to be resupplied from time to time.
542	1	The U.N. health agency has distanced itself from a top official's prediction that a global influenza pandemic could kill as many as 150 million people.	The World Health Organization moved Friday, to revise alarming predictions that a pandemic stemming from the bird flu virus ravaging parts of Asia, could kill as many as 150 million people.
543	1	Ex-Tyco CEO, Dennis Kozlowski, received 8-1/3 to 25 years in prison, Monday, for his part in stealing hundreds of millions of dollars from the manufacturing conglomerate.	A prosecutor had urged a state judge to sentence Former Tyco International CEO, Dennis Kozlowski, to the maximum 15 to 30 years in prison for stealing hundreds of millions of dollars from the company.
544	1	Microsoft Corp. invented the next generation HD DVD format.	Microsoft Corp. and Intel Corp., on Monday, threw their weight behind the next-generation, HD DVD format being promoted by Toshiba Corp., in a blow to Sony Corp.'s Blu-ray format.
545	1	Social Christian People's Movement was attacked by FMLN.	The FMLN has prudently taken time before adopting a definite position, meanwhile the government has increased its detentions and attacked the residences of leaders of the Social Christian People's Movement.
547	1	Martin works for the Ochsner Foundation Hospital.	Martin was taken to New Orleans Ochsner Foundation Hospital, where nurse Jinny Resor said he was treated for dehydration.
549	1	75 people live in France.	Today about 75% of people live in cities or towns. Art and culture are an important part of France.
550	1	Michael Melvill guided more than 100 rocket-ships above the Earth.	In any case, the fact that this week Michael Melvill, a 63-year-old civilian pilot, guided a tiny rocket-ship more than 100 kilometres above the Earth and then glided it safely back to Earth, is a cause for celebration.
552	1	A380 has only 58 seats.	Further evidence emerged on Wednesday of the severe downturn in the aviation sector as Emirates pulled its giant Airbus A380s off the Dubai to New York route. The airline blamed the weakening global economy for the decision, an embarrassing U-turn only eight months after its A380 services were launched with the New York route. Emirates' failure to make New York work with the A380 has raised concerns about the large number of the double-decker aircraft ordered by the carrier. It is the A380's largest customer and has ordered 58 of the 500-seat aircraft. It operates two to New York, one to Heathrow and one to Sydney.
554	1	Deng Haihua is an employee of the Chinese Center for Disease Control and Prevention.	Deng Haihua, Ministry of Health spokesperson, expects the disease to reach its height between May and July. Yang Weizhong Deputy Director for the Chinese Center for Disease Control and Prevention said researchers are increasing research efforts to find a vaccine for EV71. Families are being instructed to embark on week-long disinfections with free medical supplies from local health authorities.
556	1	American tobacco companies began to diversify production.	PM tried to buy the Belin biscuit company from RJR Nabisco two years ago.
557	1	Church of Scientology includes Lena Lewis among its members.	Bunker started XenuTV in 1999 and began to make videos that he provided for the Lisa McPherson Trust. Bunker has been a critic of the Church of Scientology since 1997. In 2006, he won a Regional Emmy Award after he and KUSI-TV news reporter Lena Lewis produced a documentary news video on the issues with the United States - Mexico border with San Diego, California.
558	1	New England Patriots is the name of a fast food chain.	With a 38-35 victory over the New York Giants at Giants Stadium Saturday night, the New England Patriots became the second team in the modern era of the National Football League to go undefeated (16-0) in the regular season. The only other team to have achieved this feat was the Miami Dolphins in 1972, who were 14-0 due to a different regular season structure at the time.
562	1	An official source for Caritas announced today in Germany, that several Iraqi hospitals, (excluding Saddam Hospital, which is the biggest hospital in Iraq,) were hit in the American-British shelling of Baghdad.	The humane organization, Caritas, quoting its branch in Iraq, announced today, in Germany, that several Iraqi hospitals, especially Saddam Hospital, which is considered the biggest hospital in Iraq, were hit in the American-British bombing of the Iraqi capital.
563	1	Israel will not prosecute the police who killed 13 Israeli Arabs during pro-Palestinian protests in 2000, because of a lack of evidence, an official inquiry said yesterday.	The probe looked into the October 2000 shooting-deaths of 13 Arabs, during violent demonstrations in northern Israel that erupted days after the start of a Palestinian uprising.
565	1	Louis Riel assassinated Scott.	Scott's execution led to outrage in Ontario, and was largely responsible for prompting the Wolseley Expedition which forced Louis Riel, now branded a murderer, to flee the settlement.
566	1	The Thomas & Mack Center was built by NBA.	The National Basketball Association (NBA) has released the rosters for the 2007 NBA All-Star Game. The starting rosters can be found on the newly launched 2007 All-Star Game website. The 56th All-Star Game is scheduled to take place on Sunday, February 18 at the Thomas & Mack Center in Las Vegas, Nevada. 2007 Eastern Conference All-Stars Starters Gilbert Arenas (Washington) Chris Bosh (Toronto) LeBron James (Cleveland) Shaquille O'Neal (Miami) Dwayne Wade (Miami) 2007 Western Conference All-Stars Starters Kobe Bryant (L.A. Lakers) Tim Duncan (San Antonio) Kevin Garnett (Minnesota) Tracy McGrady (Houston) Yao Ming (Houston) The All Star Website was also launched at about noon EST on January 26. The website features pictures of the players on the rosters and other information.
569	1	The name of George H.W. Bush's wife is Barbara.	"President George W. Bush, who gave the keynote address and introduced his father, raved about the vessel: ""She is unrelenting, she unshakeable, she is unyielding, she is unstoppable. In fact, she should have been named the Barbara Bush."""
571	1	Sales have declined due to restrictions on advertising.	So far the British have preferred a policy of a voluntary approach to restricting advertising and high taxes on tobacco products.
574	1	Vanunu's disclosures in 1968 led experts to conclude that Israel has a stockpile of nuclear warheads.	Vanunu, 49, was abducted by Israeli agents and convicted of treason in 1986 after discussing his work as a mid-level Dimona technician with Britain's Sunday Times newspaper.
580	1	The Hasmonean Dynasty rules Jordan.	When the last member of the Hasmonean Dynasty died in 37 B.C., Rome made Herod king of Judah.  With Roman backing, Herod (37-34 B.C.) ruled on both sides of the Jordan River.  After his death the Jewish kingdom was divided among his heirs and gradually absorbed into the Roman Empire.
582	1	The GDP was a disappointing report.	The GDP report showed growth in business outlays advanced at a solid 8.9% pace.
583	1	Wehkamp was based in the UK.	GUS on Friday disposed of its remaining home shopping business and last non-UK retail operation with the 390m (265m) sale of the Dutch home shopping company, Wehkamp, to Industri Kapital, a private equity firm.
586	1	Quarantine is compulsory for animals to enter the UK.	Animals are permitted to enter the UK 6 months later without quarantine as long as they have been treated for ticks, fleas and tapeworms between 24 and 48 hours before boarding the transport that will return the pets to the UK.
588	1	The name of Helmut Kohl's political party is the Christian Democratic Union.	"Since '82 Federal Chancellor (elected by ""constructive vote of no confidence"" against former Chancellor Helmut Schmidt, Social Democratic Party (SPD); reelected 1983, 1987, 1991 and 1994). This makes Helmut Kohl the longest-serving chancellor of the Federal Republic, passing by Konrad Adenauer, the first chancellor, this October."
589	1	Blue Mountain Lumber owns Ernslaw One.	Blue Mountain Lumber is a subsidiary of Malaysian forestry transnational corporation, Ernslaw One.
590	1	Sonia Gandhi is winning in the Uttar Pradesh state.	Congress leader Sonia Gandhi and BJP prime ministerial candidate LK Advani are among candidates whose seats are holding voting in the third phase. Results are due on 16 May and no party is expected to win a clear majority.  Voters in the states of Bihar, Gujarat, Jammu and Kashmir, Karnataka, Madhya Pradesh, Maharashtra, Sikkim, Uttar Pradesh and West Bengal are casting ballots on Thursday. Voting is also being held in the federally-administered territories of Dadra and Nagar Haveli, and Daman and Diu.
595	1	New Portuguese prime minister is elected.	LISBON, Jan. 22 (Xinhuanet) -- Anibal Cavaco Silva, a former prime minister, won Portugal's presidential election on Sunday.
598	1	Six Uighurs were captured to gain information about al-Qaeda.	The six-member delegation included lawyers from the Justice, State, and Homeland Security Departments, according to U.S. military sources, who spoke on condition of anonymity because only Justice was allowed to officially disclose the mission. They were to spend a minimum of one hour with each of the Uighur (WEE-gur) captives, who are part of China's Muslim minority and who risk religious persecution if returned to their homeland. Each was captured in Afghanistan in late 2001 and handed over to U.S. forces, who interrogated them to learn about al-Qaeda's paramilitary training camp structure.
599	1	There is a territorial waters dispute.	Though owning no trees and no waters, Takeshima Island has become the subject of a bitter political dispute between Japan and South Korea.
601	1	For HIV-positive mothers, the decision about whether or not to breastfeed a child can be difficult.	For women who are HIV negative or who do not know their HIV status, breastfeeding should be protected, promoted and supported for six months.
602	1	The moon was first touched by mankind in 1969.	"The recovery of the capsule, which carried astronaut Virgil ""Gus"" Grissom on a brief suborbital flight on July 21, 1961, took place on the 30th anniversary of mankind's first moon landing."
603	1	Mental health problems increase in the young.	The conference found that many Australians experience discrimination through the Governmental, penal, legal and health care systems because of their mental health, race, skin colour, sexuality, sexual formation or refugee status.
604	1	African countries encourage keeping animals alive to attract tourists.	Tourists pay millions of dollars a year to come and see Africa 's wildlife and smugglers pay millions more in strictly illegal purchases of ivory and rhino horn from poachers.
605	1	Rehnquist served the second-longest tenure, as chief justice, in US history.	Rehnquist served longer as chief justice than anyone in a century, and his 33-year career as a justice was among the half-dozen longest in the court's history.
606	1	Mars is called the red planet.	The Red Planet is thought to have no magnetic field. It has the greenhouse effect which raises the temperature about 5 degrees. It has a very thin atmosphere consisting of 95.3% carbon dioxide, 2.7% nitrogen, 1.6% argon, 0.15% oxygen, and 0.03% water.
607	1	Mussolini's mistress was Eva Braunn.	When Adolf Hitler heard of how Mussolini was executed and put on public display, he vowed he would not let this happen to him. Hitler shot his mistress and new wife, Eva Braunn, and then swallowing some poison, he shot himself in the mouth.
608	1	James Hahn is a member of the Automobile Club of Southern California.	Los Angeles Mayor James Hahn, along with top members of the Automobile Club of Southern California, along with will announce the kickoff of a $9 billion plan to fund Los Angeles County's Top Ten Traffic Busters.
609	1	Stallone played Getty's father.	Getty also starred in several movies after the show including Mask where she played the mother of singer and song writer Cher and Stop! Or My Mom Will Shoot where she also played the mother of actor Sylvester Stallone. She also starred in the television show spin off of The Golden Girls titled The Golden Palace and made a two episode appearance on another spin off called Empty Nest. Getty was born in New York City on July 25, 1923, passing away just three days before her 85th birthday.
610	1	The automotive industry has seen advances in robotic metal cutting.	Strong competition in industries such as shipping has resulted in waves of investment in labour saving technology such as steel and aluminium cutting tools, processing machine and welding robots.
611	1	Castro visits the UN.	Cuban Leader Fidel Castro sent a letter to United Nations Secretary-General Kofi Annan assuring him that Cuba will follow anti-terrorism treaties in the wake of last month's terrorist attacks against New York and Washington.
616	1	Women are poorly represented in parliament.	Women are poorly trained for politics.
618	1	CERN head office is in Paris.	The European Organization for Nuclear Research (CERN) said on Monday that repairing the Large Hadron Collider (LHC) will cost up to €16.6 million or $21 million. The LHC, which is the world's largest and highest-energy particle accelerator, is located near the border of France and Switzerland and crosses the border four times. It has a diameter of 27 km (17 miles). It is designed to simulate the conditions shortly after the Big Bang, but it broke down on September 19 due to an electrical failure.
620	1	PM acquired three Russian factories.	PM has now firm projects which include a stake in a joint venture called Constellation in Samara involving the city's main tobacco factory.
622	1	Juan Carmelo Santana was killed by Brian and Tina Johnson.	"A Spanish man who murdered a Welsh couple with a hammer on the island of Fuerteventura has been jailed for 39 years by a court in the Canary Islands. Brian and Tina Johnson were bludgeoned to death by tenant Juan Carmelo Santana, 42, when they tried to collect overdue rent from him in July 2006. Santana was sentenced to 17 years for Mrs Johnson's murder and 22 for the more ""brutal"" killing of her husband. He was ordered to pay their son Sam £270,000 in a private prosecution."
624	1	Mexico produces more oil than any other country.	By law, Mexico can only export half the oil it produces to the United States.
626	1	Jack Straw is a partner of Celso Amorim.	Jack Straw, the Foreign Secretary, will meet his Brazilian counterpart, Celso Amorim, in London today.
628	1	A case of rabies was confirmed.	If confirmed as rabies, the case could be the first occurence of the infection acquired in the UK since 1902.
631	1	Linksys and Aironet begin legal action against a Canadian company.	Canadian wireless technology licensing company Wi-LAN has begun legal action against Cisco, alleging the networking giant's Linksys and Aironet products are making use of its intellectual property without permission.
632	1	Capital punishment is a deterrent to crime.	Actual statistics about the deterrent value of capital punishment are not available because it is impossible to know who may have been deterred from committing a crime.
633	1	The moon was first touched by mankind in 1969.	"""If we could put a man on the moon within decades back in the 1960s, I think we can eliminate TB if we develop the will to do so"" said O'Brien, who called for a significant investment for the research, particularly the large field trials necessary to demonstrate efficacy."
634	1	Pierce lives on E. 28th Street.	Councilman Pierce had built the home for his daughter on E. 28th Street off Rossville Blvd, as he lives nearby.
635	1	Full diplomatic relations were re-established in 1990.	Argentina and Britain announced an agreement Thursday to restore full diplomatic ties nearly eight years after they fought a 74-day war over the Falkland islands.
636	1	Hooper bought a house in Portland.	Hooper, a salesman of Portland, is accused of posing as a potential home buyer on July 26, then forcing himself inside the residence and raping a 19-year-old woman.
643	1	Organic fertilizers are used as soil enhancers.	Westbridge manufactures certified organic fertilizers including liquid growth enhancers and biostimulants.
644	1	Dam building prevents life-threatening situations.	The optimal style of dam building is specific to the particular macroproject, the nature of the geophysical worksite (Anon., 2005) as well as social uncertainty, the undertaking management organizations experience, the operational complexities of many kinds of construction machinery and worker nationalities, the macroprojects situational geography and the logistics of its required compositional materials.
645	1	Deutsche Telekom sold T-Mobile USA.	Earlier this year, Kai-Uwe Ricke, chief executive of Deutsche Telekom, floated the possibility that T-Mobile USA might be sold.
646	1	Finland is the European country with the highest birth rate.	For a western European country, the birth rate in Finland is high.
647	1	A typhoon batters the Philippines.	Typhoon Chanchu, packing winds up to 170 kph (106 mph) and the strongest typhoon on record to enter the South China Sea in May, made landfall between the cities of Shantou and Xiamen and was advancing northeast, the Hong Kong Observatory said.
655	1	Polio is under control in the world.	A massive polio immunization drive is under way in more than 20 nations of West and Central Africa, but in Cote d'Ivoire violence has forced a postponement of the vaccination campaign, the Global Polio Eradication Initiative (GPEI) announced November 18.
657	1	300 people were killed in Mongolia.	A four-day state of emergency has been declared in the capital of Mongolia, Ulaanbaatar after violent protests occurred after allegations of vote rigging and fraud in Sunday's elections. Reports state that 5 people have been killed, and over 300 injured. The injured were police and protesters alike, suffering from smoke poisoning, rubber bullets, and stoning. Among the injured was a Japanese citizen, who was reportedly flown to Japan in the morning.
658	1	Peru debates border region with Ecuador.	Ecuador has received short shrift in U.S. policy debates. Yet in recent years, significant public debate has taken place in Ecuador on the joint U.S./Colombian initiative and its effects on Ecuador and its citizens.
663	1	Hugh Jackman will play the magician Harry Houdini.	"Hugh Jackman has done it all - almost. He's hosted the Oscars, danced on Broadway, flashed his winning grin and flexed his acting muscles, but Friday is the first time the Australian actor will claw his way into movie theaters as the main attraction. In ""X-Men Origins: Wolverine,"" there's no Halle Berry or Nicole Kidman by his side to buoy the box office. This time it's just Jackman, his claws and a heap of Hollywood expectations to the tune of $150 million."
666	1	An Alzheimer patient was in Michigan for an assisted suicide.	Janet Elaine Adkins, 54, used a controversial machine to commit suicide in Michigan.
667	1	The Top Quark is the last of six flavors of quarks predicted by the standard model theory of particle physics.	The bet, which won him dinner for four, was regarding the existence and mass of the top quark, an elementary particle discovered in 1995.
668	1	100 or more people lost their lives in a ferry sinking.	The drive towards this new law was driven in part from a string of transport-related disasters in the late 1980s, such as the sinking of cross-Channel ferry the Herald of Free Enterprise in 1987, the oil platform Piper Alpha disaster in 1988, and the Marchioness Thames river boat collision in 1989. More than 400 people lost their lives in these three disasters, but no one individual or organisation was brought to account.
677	1	Budapest consists of two principal parts that were merged in 1873.	Budapest consists of two parts, Buda and Pest, which are situated on opposite sides of the river and connected by a series of bridges.
678	1	Mitsui O.S.K is the owner of the Cayman Islands.	The ship, owned by Mitsui O.S.K. Lines and flagged in the Cayman Islands, came under attack at around 4 p.m. Somali time (UTC+3) as gunfire came from two small priate boats. The vessel, with a crew of eighteen from the Philippines, suffered light damage to its front and windows were broken. The Jasmine Ace was en-route from Sharjah, United Arab Emirates to Mombasa, Kenya. The 126.75m car carrier had loaded with 377 used cars in Sharjah on March 17.
679	1	Starbucks is a US coffee giant.	Consumers continued buying fewer lattes and coffees at Starbucks in its second quarter and restructuring charges led to a 77 percent in net income, but the drop in sales was something of an improvement. Starbucks Corp. - hurt in recent quarters by the perception that its drinks are too pricey - said Wednesday that sales at established locations fell 8 percent both worldwide and in the U.S. the first three months of 2009 compared with a year earlier. In the last three months of last year, Starbucks' global same-store sales fell 9 percent and U.S. same-store sales declined 10 percent.
681	1	Ashley Olsen plans a trip to Australia with Mary-Kate.	"Ashley Olsen has decided to remain with her twin sister, Mary-Kate, instead of going on a planned trip to Australia to promote the opening of the siblings' latest movie adventure ""New York Minute,"" reports the AP."
684	1	Ebola Epidemic breaks out in Zaire.	"Although the number of the confirmed Ebola cases has risen slightly to 26 in Gabon and to 16 in Congo Brazzaville, new infections are now so low that it seems the epidemic is ""burning out""."
688	1	Dortmund is twinned with Glasgow.	The city is twinned with Glasgow, Dortmund, Pleven, and Le Mans.
689	1	Pyongyang is the capital of North Korea.	This year, however, the contest has taken on a new urgency as the Clinton Administration, moving to block the Pyongyang government's bid to build a nuclear arsenal, has rekindled some of the passion in North Korea's defiance of the West.
690	1	Sondhi Limthongkul has been hit by more than 100 bullets.	Sondhi Limthongkul, the founder of the political movement which overran Bangkok's airport last year, is in hospital after a gunman wielding an AK-47 ambushed his car at a petrol station and sprayed it with bullets early this morning. The unknown number of gunmen shot out the tyres of the car owned by Mr Sondhi, the head of the People's Alliance for Democracy 'yellow shirt' movement, and riddled the vehicle with bullets. Stray bullets also hit a nearby public bus.
691	1	Dodgers lose first game ever at Fenway	The Yankees split Hollywood with something to feel OK about after last night's 5-4 loss to the Dodgers.
693	1	Ms. Miers was a leader of an evangelical church.	Ms. Miers' whole life was based in Dallas and revolved around her legal work, her family and an attachment to an evangelical church that led her to what her former pastor described as a flowering of faith late in life.
694	1	RJR built factories in Turkey.	RJ Reynolds Tobacco announced yesterday that it plans to build a factory in Turkey to produce cigarettes by late 1993.
695	1	There is a territorial waters dispute.	Yes, water is a critical area of dispute in the Arab-Israeli conflict; but given the current climate of peacemaking, and given the general war-weariness among states and populations, such predictions are excitable pieces of subjectivism.
696	1	HIV-positive visitors take part in the 15th International AIDS Conference.	The organizers of the 15th International AIDS Conference, scheduled for next month in Bangkok, Thailand, on Saturday responded to press reports that a prominent hotel in Bangkok discriminated against HIV-positive visitors attending a different conference this month.
700	1	Chile has a female President.	Pratibha Patil has won the 12th Presidential Elections of the Republic of India, becoming the first woman president of the second most populous country in the world. Patil, 72, previously governor of the state of Rajasthan, had support from the governing coalition. She won approximately two thirds of the vote, almost double the number of votes of her nearest rival Bhairon Singh Shekhawat, who resigned as Vice-President after losing the poll.
702	1	The Ebro Delta is used for farming.	The world's fast-growing thirst for water can only be met by purifying sea water as rivers and reservoirs become unable to meet demand, Spain said last week unveiling a major program to fight its own chronic shortages.
703	1	There is a Marriott Hotel in London.	The Marriott is a popular place for foreigners to stay and a prominent enterprise in the city, despite a wave of violence the country suffers. The hotel had been victim of another attack in January 2007 where a security guard was killed and several people injured after the guard blocked a bomber from getting at the hotel, forcing him to detonate his explosives where he was.
704	1	There is a new U. S. law that bans e-mail.	This case is one of the first to be prosecuted under a new U.S. law regulating unwanted e-mail.
705	1	Cage played Superman.	"Cage is a big fan of ""Superman"" (who was born on the fictional planet Krypton) and was to play the role in a film planned for the 1990s that never came to be."
706	1	The team studies hibernating mammals in Germany.	The German-based team say their study is the only report of prolonged hibernation in a tropical mammal.
707	1	Six policemen and two soldiers were killed in a gunbattle, officials said.	Nine soldiers and two police officers were killed in the ensuing gun battle, and two police officers were wounded, the officials said.
711	1	To the south is Gellert Hill, which features the 19th-century Citadel.	To the south of Castle Hill rises the higher Gellert Hill ( 771 feet ), a steep limestone escarpment overlooking the Danube, which provides a panoramic view of the whole city.
715	1	Angela Merkel is a Buddhist.	Beijing's hard-line stance on the Dalai Lama has grown considerably tougher in recent years. Ties with Germany nose-dived after Chancellor Angela Merkel met with the Dalai Lama in September 2007, recovering only after Berlin offered a pledge similar to that made by France on Wednesday. Companies alleged to have supported the exiles' activities have been subjected to smear campaigns and boycott calls in China, and an appearance in mainland China by the British rock group Oasis was axed by Beijing last month because guitarist and chief songwriter Noel Gallagher once took part in a free Tibet concert — in 1997.
716	1	The six U.S. soldiers were residents in Afghanistan.	Kabul - A roadside bomb that injured six U.S. soldiers in eastern Afghanistan, was followed by a blast near a Kabul police station, Monday, that hurt two police officers and a civilian.
718	1	Iranian chemical weapons threaten United States.	It has become increasingly clear that Iran is making rapid progress toward attaining a nuclear weapons capability as U.S. officials have confirmed the presence of various nuclear sites that Tehran has failed to disclose
719	1	Women can vote in elections in Saudi Arabia.	Kuwait becomes the fourth Gulf country where women as well as men can vote in elections. Saudi Arabia holds strictly limited, male-only elections.
720	1	Kim Il Sung's son is called Kim Jong Il.	"In Seoul, Han confirmed that all North Korean media on Monday had started referring to Kim Jong Il as ""His Excellency"" or by the term previously reserved for his father, ""the Great Leader."" Until now, the younger Kim has been called ""the Dear Leader."""
721	1	Daily telegraph is sold.	The Daily Mail has confirmed it has pulled out of the bidding for rival newspaper the Daily Telegraph.
722	1	Lille has defeated Manchester United.	"In a game ripe with controversy, Manchester United walked away with a crucial away win after a Ryan Giggs free kick gave them the lead. Lille protested the goal, saying the team was setting up its wall at the time Giggs took the kick, and the team nearly left the pitch. After goading by officials, the game was resumed, but Lille said it would be making a stake for a replay with UEFA. UEFA has rejected the claim and declared the goal valid, as well as deciding to ""instigate proceedings against Lille for the improper behaviour of their players immediately after the goal."""
724	1	Russian forces vulnerable to guerrilla fighters	On the eve of a widely anticipated retaliation against Russian forces in Grozny, military commanders withdrew key units from the city, leaving it vulnerable to guerrilla infiltration.
725	1	Pepfar was founded by President Bush.	"The President's Emergency Plan for AIDS Relief (PEPFAR) provides funding for HIV/AIDS, malaria and tuberculosis treatment in 15 focus countries among the world's poorest, mainly in Africa. As of September 30, PEPFAR supported life-saving antiretroviral treatment for over 2.1 million men, women and children living with HIV/AIDS around the world, including more than two million people in Sub Saharan Africa, Perino said. Nearly 9.7 million people affected by HIV/AIDS in PEPFAR countries, including nearly four million orphans and other children, had received ""compassionate care"" by that date, she said. ""Nearly 240,000 babies have been born HIV-free due to the support of the American people for programs to prevent mothers from passing the virus on to their children,"" Perino added."
726	1	Robots are used in the food industry, in general.	David Marshall, responsible for customer training at ABB Robotics in Milton Keynes, fervently hopes that the food, drinks and confectionery industry will become the next big market for robots.
734	1	Anousheh Ansari paid to go in space.	United States astronaut Sunita Williams, currently on board the International Space Station, has today broken the record for the longest unbroken space flight by a woman. At 5:47 a.m. UTC Williams passed the previous record of 188 days and four hours set by Shannon Lucid in 1996. This is not the only record Williams has broken. Earlier this year she set a record of 29 hours and 17 minutes for time spent by a woman on space walks.
735	1	Aristide kills Prime Minister Robert Malval	Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.
738	1	Hinostroza's children attaked their mother with a gun.	Hinostroza's children told police that four hooded individuals broke into the house and shot their mother after having insulted her.
741	1	Dick Cheney is Vice President of the Defense Secretary Donald Rumsfeld.	In an interview this week, the president said that Vice President Dick Cheney and Defense Secretary Donald Rumsfeld will be a valued part of his administration until his presidency comes to an end.
