index	sentence1	sentence2	label	sentence2_paraphrase
110	Ren and Stimpy. Bugs Bunny. Philip J. Fry and Professor Hubert Farnsworth on Futurama. Sparx. Bi-Polar Bear. Popeye the Sailor Man. Woody Woodpecker. You may not think you have ever heard Billy West, but chances are on a television program, a movie, a commercial, or as Howard Stern's voice guru in the 1990's, you have heard him. West's talent for creating personalities by twisting his voice has made him one of a handful of voice actors - Hank Azaria and the late Mel Blanc come to mind - who have achieved celebrity for their talent. Indeed, West is one of the few voice actors who can impersonate Blanc in his prime, including characterizations of Bugs Bunny, Daffy Duck, Elmer Fudd and other characters from Warner Bros. cartoons.	Bugs Bunny is owned by Warner Bros.	0	Warner Bros. owns Bugs Bunny.
111	We learn that Claretta Petacci, Mussolini's last mistress, had a tendency to whine and to lie all day in bed, eating chocolate.	Claretta Petacci was Mussolini's last mistress.	0	Mussolini's final mistress was Claretta Petacci.
112	Sunday's earthquake was felt in the southern Indian city of Madras on the mainland, as well as other parts of south India. The Naval meteorological office in Port Blair said it was the second biggest aftershock after the Dec. 26 earthquake.	The city of Madras is located in Southern India.	0	Madras is a city in India's southern state of Tamil Nadu.
113	Both sides of this argument are presented in this paper, but it is the attempt of this paper to emphasize that the legalization of drugs would be destructive to our society.	Drug legalization has benefits.	1	Legalization of drugs has advantages.
114	"The publishing companies Bloomsbury (U.K.) and Scholastic (U.S.) released cover art for the seventh Harry Potter book, Harry Potter and the Deathly Hallows. ""The structures around Harry show evident destruction and in the shadows behind him, we see outlines of other people,"" David Saylor, Scholastic's art director, said in a statement describing the U.S. version. ""For the first time, the cover is a wraparound. On the back cover spidery hands are outstretched toward Harry. Only when the book is opened does one see a powerful image of ""He-Who-Must-Not-Be-Named"", his glowing red eyes peering out from his hood."""	"Rowling is the author of ""Harry Potter""."	1	"Rowling is the creator of the ""Harry Potter"" series."
115	Some of the buildings around the city square in the Kota also date from colonial times, including the old city hall ( 1710 ), which has been restored and now serves as the municipal museum.	The city hall is a museum now.	0	The city hall is now a museum.
116	"Meadows scored a bit part in a January episode of ""Law & Order""."	"Meadows appeared in a ""Law & Order"" episode which aired in January."	0	"Meadows appeared in a January episode of ""Law & Order."""
117	At around 14:00 UTC today, a man climbed over the perimeter fence and made his way onto the North runway, 27R, at London's  Heathrow Airport, the United Kingdom's largest airport. The man, who was carrying a rucksack, then attempted to run in front of a plane on the runway,  however it is believed that he was tackled to the ground by armed police before reaching the wide runway.	The number of security screeners in US airports will be reduced.	1	The number of airport security screeners in the United States will be reduced.
118	Grieving father Christopher Yavelow hopes to deliver one million letters to the queen of Holland to bring his children home.	Christopher Yavelow is the queen of Holland.	1	The queen of Holland is Christopher Yavelow.
119	"When Albright was the US ambassador to the United Nations, Lesley Stahl of ""60 Minutes"" asked her about the sanctions and the deaths of Iraqi children. Albright said it was America's responsibility to make sure the Gulf War did not have to be fought again."	"Albright said that to punish Saddam Hussein, the deaths of those children were ""worth it."""	1	"Albright stated that the deaths of those children were ""worth it"" in order to punish Saddam Hussein."
120	"Unwilling to surrender his dream of beginning a Holy Land pilgrimage in Iraq, Pope John Paul II made a ""virtual pilgrimage"" Wednesday to Ur, the ancient city that is traditionally held to be the birthplace of Abraham."	Pope John Paul II was born in Poland.	1	John Paul II, the second Pope of the Catholic Church, was born in Poland.
121	We look at the cool relationship between these two establishment families and how the party would fare with the son, Texas Gov. George W. Bush, and the wife, Elizabeth Dole, on the 2000 campaign trail.	The name of George W. Bush's wife is Laura.	1	Laura is the name of George W. Bush's wife.
122	As regards the headquarters building, the Swiss are stipulating that they would transfer it to the WTO for a value of about 51 million swiss franks.	The WTO headquarters are in Switzerland.	1	The World Trade Organization's headquarters are in Switzerland.
123	"A plane crashed in North Carolina last year and most of the Blink-182 group was in there. The only survivors of the crash were DJ AM and musical partner Travis Barker. Less lucky, ""Lil"" Chris Baker, Barker's close friend and assistant, the Blink-182 drummer's bodyguard, Charles ""Che"" Still, the pilot and co-pilot died. Both AM and Barker suffered many injures, bad burns and they needed to stay in hospital for several weeks. Now AM asks $20 million in compensation for injuries he suffered. He lawsuits against plane maker Learjet and wants to gain $10 million for medical damages, lost earnings and profit and the same amount for mental and physical suffering."	Travis Barker belongs to a band.	0	Travis Barker is a member of a band.
125	Pole Robert Kubica became the highlight of the weekend by winning the pole, but was slow off the start and finished third on the podium. Nick Heidfeld, his BMW Sauber teammate finished fourth. The results puts BMW as the new leader of the Constructors' championship, one point ahead of Scuderia Ferrari. Heikki Kovalainen came fifth and became the only McLaren driver to finish in the points. Jarno Trulli (Toyota) and Mark Webber (Red Bull-Renault) ran 6 and 7 places respectively with Nico Rosberg (Williams-Toyota) closing out the top eight with 1 point. Timo Glock (Toyota) was engaged in a hard battle with Fernando Alonso (Renault) and came 9th ahead of the Spanish 2005 F1 Champion.	Robert Kubica has been appointed by Scuderia Ferrari.	1	Scuderia Ferrari has named Robert Kubica as its new driver.
126	Confident that those grading papers would understand answers written in text-speak, Haque stressed that in some exams, including English, text abbreviations would be penalized.	Haque wants to include English in some exams.	1	Haque wishes to include English in some of his exams.
127	In reality, legalization would dramatically expand America's drug dependence, significantly increase the social costs of drug abuse, and put countless more innocent lives at risk.	Drug legalization has benefits.	1	Legalization of drugs has advantages.
128	Cote d'Ivoire's President, Laurent Gbagbo, promulgated new election laws on July 14.	President Laurent Gbagbo lives in Cote d'Ivoire.	0	President Laurent Gbagbo currently resides in Cote d'Ivoire.
129	On July 12 Portuguese President Jorge Sampaio asks Pedro Santana Lopes to form a government. The new government is sworn in on July 17 and includes António Monteiro as foreign minister, Daniel Sanches as interior minister, and António Bago Flix as finance minister; Paulo Portas remains defense minister.	New Portuguese prime minister is elected.	0	A new Prime Minister of Portugal has been elected.
130	Hours earlier, Yasser Arafat called for an end to attacks against Israeli civilians in the two weeks before Israeli elections.	Arafat condemned suicide bomb attacks inside Israel.	1	Arafat condemned suicide bombings within Israel.
131	The sunset, touching distant hills with ribbons of fire across the waters of the Dead Sea, brings a sense of unreality to culminate a day's visit to the lowest point on earth, some 400 meters below sea level.	The lowest point on earth is at the Dead Sea.	0	The Dead Sea is the lowest point on the planet.
132	The provincial veterinarian with the Department of Forest Resources and Agrifoods, Dr. Hugh Whitney, confirmed today another case of rabies in Labrador, bringing the total number of confirmed rabies cases to nine in Labrador since November 2000.	A case of rabies was confirmed.	0	A rabies case has been confirmed.
133	An American journalist of Russian descent, Klebnikov was shot four times by at least one assassin in a passing car as he stepped outside his office that evening in Moscow.	Vladislav Listyev was murdered in Moscow.	1	Vladislav Listyev was assassinated in Moscow.
134	A powerful typhoon battered the northern and central Philippines with rains and winds Thursday, killing at least three people and cutting off roads. Authorities canceled flights and ferry service and shut down schools. Typhoon Xangsane, packing winds of 81 mph made landfall overnight in the Bicol central region and was forecast to pass through the capital Manila, the Philippine weather bureau said.	A typhoon batters the Philippines.	0	A typhoon is wreaking havoc on the Philippines.
135	Mount Olympus towers up from the center of the earth.	Mount Olympus is in the center of the earth.	0	Mount Olympus is located in the geographic center of the Earth.
136	Philadelphia is considered the birthplace of the United States of America, where the Declaration of Independence and Constitution were written and signed in the city's Independence Hall.	The US Declaration of Independence is located in Philadelphia.	1	Philadelphia is the site of the United States Declaration of Independence.
137	"""It's Only a Play"" is Terrence McNally's ""Give My Regards to Broadway,"" a lightweight tribute to the theater as seen from the lofty but limited vantage point of Broadway artists who are consumed by New York's hit/flop mentality."	Broadway is in New York.	0	Broadway is located in New York.
138	Note that SBB, CFF and FFS stand out for the main railway company, in German, French and Italian.	The French railway company is called SNCF.	1	SNCF is the French railway company.
139	Los Angeles County probation officials say they are now studying how other counties recover juvenile detention costs, after admitting they mistakenly billed parents for days when youths were held in probation camps and halls. By law, California counties can bill parents and legal guardians for some daily costs of detaining youths, but only those whose parents can afford to pay. Last year, more than 20,000 youths were admitted to probation camps and halls, and L.A. County billed parents a daily charge of $11.94 for camps, $23.63 for halls.	In Los Angeles County all parents have to pay the detention costs of their children.	1	In Los Angeles County, all parents are required to pay their children's detention costs.
140	The witness then spotted Rodriguez crouching behind a gate for protection.	The witness rescued Rodriguez.	1	Rodriguez was rescued by a bystander.
142	"The trial began today for a Pennsylvania state trooper accused of killing his girlfriend's estranged husband. Kevin Foley, 43, is accused of cutting the throat of John Yelenic, a dentist who was in the final stages of finalizing a divorce from his wife, Michele. According to prosecutors, Foley ""loathed Dr. Yelenic"" so much that he asked another fellow trooper to help him commit the alleged murder, which occurred in Yelenic's Blairsville home."	Yelenic molested his adopted son.	1	Yelenic sexually abused his adopted son.
144	Mrs. Bush's approval ratings have remained very high, above 80%, even as her husband's have recently dropped below 50%.	80% approve of Mr. Bush.	1	Mr. Bush has the support of 80 percent of the people.
145	Another factor in the rising cost of paper is the increased cost of wood pulp, from which paper is made	The cost of paper is rising.	0	Paper is becoming more expensive.
147	"Wilson has, after all, produced all three Offspring albums, including ""Smash,"" the one that has astonished everybody by selling 1 million copies in four months, establishing the heretofore unknown group as the leader, with Green Day, of an unprecedented wave of commercial success for punk."	"""Smash"" is the title of the third album of the Offspring."	1	"The Offspring's third album is titled ""Smash."""
148	Moscow believes that the waters of the Sea of Azov should remain in common use, but Kiev insists on a clear division.	There is a territorial waters dispute.	0	There is a dispute over territorial waters.
149	Jerry Reinsdorf (born February 25 1936 in Brooklyn, New York) is the owner of Chicago White Sox and the Chicago Bulls. Recently, he helped the White Sox win the 2005 World Series and, in the process, collected his seventh championship ring overall (the first six were all with the Bulls in the 1990s), becoming the third owner in the history of North American sports to win a championship in two different sports.	Jerry Reinsdorf has won 7 championships.	0	Jerry Reinsdorf has seven championships to his credit.
150	Quebec woman and her mother accused of plotting to kill a four-year-old girl.	Quebec woman murdered a four-year-old girl.	1	A four-year-old girl was murdered in Quebec by a woman.
152	Thus began the journey that led Hannam, a 29-year-old free-lance journalist, on an international quest to solve one of the greatest mysteries of Asia: What happened to Lin Piao, the Chinese Communist Party leader accused of a 1971 plot to overthrow Chairman Mao.	Lin Piao was the Chinese Communist Party leader.	0	Lin Piao was the leader of the Chinese Communist Party.
153	A new study conducted by researchers from University of Otago's Christchurch School of Medicine has found that certain chemical compounds naturally found in cruciferous vegetables help kill cancer cells that are particularly resistant to chemotherapy. The study has been published in Cancer Research. The research team found that chemicals called isothiocyanates cause cancer cells to commit suicide. This includes cells with high levels of the protein Bcl-2, which makes them resistant to chemotherapy. Isothiocyanates are naturally found in cruciferous vegetables. These include kale, cabbage, broccoli, cauliflower, bok choy, radish, and watercress, among others.	Broccoli contains isothiocyanates.	0	Isothiocyanates are found in broccoli.
154	Swedish massage is used to help relax muscles, increase circulation, remove metabolic waste products, help the recipient obtain a feeling of connectedness, a better awareness of their body and the way they use and position it.	Swedish massage loosens tense muscles.	0	Swedish massage helps to relax tense muscles.
155	"An auto analyst for Bombay's Angel Broking, Vaishali Jajoo, predicted that the Nano will add only three percent to Tata's revenues even if it can sell a quarter of a million such cars per annum. ""That doesn't make a significant difference to the top line,"" Jajoo said. ""And for the bottom line, it will take five to six years to break even."" Environmentalists say that the car will exacerbate traffic problems already rife in India, and help increase pollution levels. Tata, however, stated that its vehicle is the least polluting car in the country."	Angel Broking is based in Bombay.	0	Angel Broking is headquartered in Bombay.
156	The investigation came about following the collapse of Barings Bank, when one of its traders based in Singapore, Nick Leeson, amassed losses of the order of 600-700 million without the bank being aware of it.	Nick Leeson was arrested for collapse of Barings Bank PLC.	1	Nick Leeson was arrested in connection with the collapse of Barings Bank PLC.
157	"Rotorua has banned criminals with five or more dishonesty convictions from entering the Central Business District (CBD). The criminals will be issued with trespass notices banning them from the main streets of Rotorua. Eleven out of twelve councillors, including the Rotorua mayor, supported the by-law along with support from the police. Kevin Winters, Mayor of Rotorua, said ""The ban also had the support of local businesses, who wanted an end to the thefts, assaults, shoplifting and other street crime on Rotorua streets. Crime was an issue in the area. Five strikes and you're out."""	The Central Business District (CBD) is part of Rotorua.	0	Rotorua includes the Central Business District (CBD).
158	Tropical storm Koni dumped significant rains on the Philippines before becoming a minimal typhoon and eventually making landfall on the northern coast of Vietnam.	A tropical storm has caused significant property damage.	1	Significant property damage has been caused by a tropical storm.
159	Cancer Research Campaign signed a deal with a US pharmaceuticals company to develop a pioneering cancer treatment.	Other changes involve joint Research and Development programs with other companies.	1	Other changes include collaborative R&D programs with other companies.
160	COLOMBO (Reuters) - At least five people were killed and 11 wounded when a suspected Tamil Tiger suicide bomber blew herself up inside a police station in the Sri Lankan capital on Wednesday, shattering more than two years of relative peace.	People were killed in Tamil suicide attacks.	0	In Tamil suicide attacks, people were killed.
161	It has been observed that in those countries of the world where capital punishment is still in operation, the crime rate, especially murder, is distinctively low in comparison to countries where capital punishment has been discarded.	Capital punishment is a deterrent to crime.	0	The death penalty serves as a deterrent to crime.
162	Wal-Mart Stores has asked a US federal appeals court to review a judge's order approving class-action status for a sex-discrimination lawsuit.	The judge approves of sex-discrimination.	1	The judge agrees that sex discrimination is legal.
163	Romano Prodi will meet the US President George Bush in his capacity as president of the European commission.	Romani Prodi is the US President.	1	The President of the United States is Romani Prodi.
164	Thompson, a renegade journalist whose 'gonzo' style threw out any pretense at objectivity and established the hard-living writer as a counter-culture icon, fatally shot himself at his Colorado home on Sunday night, police said.	Thompson's 'gonzo' journalism throws objectivity out of the window.	0	Thompson's 'gonzo' journalism is devoid of objectivity.
165	Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate.	A summit between Europe and Japan is taking place in the Japanise capital.	0	In Japan's capital, a summit between Europe and Japan is taking place.
167	Today's best estimate of giant panda numbers in the wild is about 1,100 individuals living in up to 32 separate populations mostly in China's Sichuan Province, but also in Shaanxi and Gansu provinces.	There are 32 pandas in the wild in China.	1	In China, there are 32 wild pandas.
168	There has been a lot of concern over the rise of drug-resistant bacteria.	Bacteria is winning the war against antibiotics.	1	Antibiotics are being defeated by bacteria.
169	Compuware claims that Allan Tortorice and Jim Hildner were among several former employees who revealed trade secrets after they moved to IBM.	Trade secrets were stolen.	1	Trade secrets were allegedly stolen.
170	Coextensive with the metropolitan district of Jakarta Raya, it lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of Java.	Jakarta lies at the mouth of the Ciliwung ( Liwung River ) on the northwest coast of the island of Java.	0	Jakarta is located on the northwest coast of the island of Java, at the mouth of the Ciliwung ( Liwung River ).
171	P. Prayong, who like Kevala belongs to the Theravada sect of Buddhism, chose India over other Buddhist majority nations as it is the birthplace of Gautama Buddha.	P. Prayong is a member of Theravada.	0	P. Prayong practices Theravada Buddhism.
172	"The memo, written by Marc Allen Connelly (who was general counsel to the funeral services commission at the time) and sent to Dick McNeil (the Bush-appointed chairman of the funeral commission), stated that Connelly ""received information"" from Texas state officials that two of the funeral commissioners worked for SCI."	Marc Allen Connelly worked for SCI.	1	Marc Allen Connelly was employed by SCI.
173	"A U.S. Court of Appeals on Friday has declared unconstitutional California Assembly Bills 1792 & 1793, the California ""ultraviolent video games law"" that sought to ban the sale or rental of violent video games to minors. Federal judge Consuelo M. Callahan has ruled that the 2005 statewide ban, which has yet to be enforced, violates minors' rights under the US Constitution's First and 14th amendment because even the most graphic on-screen mayhem, video game content represents free speech that cannot be censored without proper justification."	California Assembly Bills 1792 & 1793 are laws against ultraviolent video games.	0	California Assembly Bills 1792 and 1793 prohibit the use of ultraviolent video games.
174	A farmer who was in contact with cows suffering from BSE -- the so-called mad cow disease -- has died from what is regarded as the human form of the disease.	"Bovine spongiform encephalopathy is another name for the ""mad cow disease""."	0	"Another name for ""mad cow disease"" is bovine spongiform encephalopathy."
175	BEIRUT, Nov. 21 (Xinhua) -- Lebanese Industry Minister and Christian leader Pierre Gemayel was shot dead on a street in the suburb of Beirut on Tuesday, al-Jazeera TV channel quoted the Lebanese Interior Ministry as saying.	Pierre Gemayel was murdered on a street in the suburb of Beirut.	0	Pierre Gemayel was murdered on a street in a Beirut suburb.
176	US President Barack Obama has been sketching out the future direction of his administration, in events to mark his first 100 days in office. Mr Obama addressed a town hall meeting in St Louis before holding a primetime news conference, broadcast live on most US TV networks. Traditionally, commentators have used the milestone to assess presidents' early successes and failures. Latest polls suggest Mr Obama continues to enjoy a high level of popularity.	Barack Obama has been President of the U.S. for 100 days.	0	Barack Obama has been President of the United States for one hundred days.
177	Blair has sympathy for anyone who has lost their lives in Iraq.	Blair is sorry for anyone who has lost their lives in Iraq.	0	Blair expresses his condolences to anyone who has died in Iraq.
178	While Bush was in the air, the White House was evacuated, with many employees running away from the premises on orders from Secret Service agents.	The U.S. military evacuated U.S. citizens.	1	US citizens were evacuated by the US military.
179	About half were along a 20-mile stretch of Santa Monica Bay from Topanga Canyon Boulevard to the Palos Verdes Peninsula.	The coastline of Santa Monica Bay is 50 miles long.	1	Santa Monica Bay has a 50-mile-long coastline.
180	The beleaguered Euro-Disney theme park outside Paris is doing so poorly it might have to close unless it gets help soon from its lenders, the chairman of Walt Disney Co. said in an interview published Friday.	Euro-Disney is a theme park outside Paris.	0	Euro-Disney is a theme park located outside of Paris.
181	Four days of talks got underway with the US announcing the first significant overture to North Korea since George W Bush took office three years ago.	George W. Bush entered the US presidency 3 years ago.	0	George W. Bush was elected President of the United States three years ago.
182	"""The professoressa is a bit tired,"" an adviser to Rita Levi-Montalcini warned me as I prepared to interview Italy's Nobel prize-winning Life Senator on the eve of her 100th birthday. ""Don't wear her out."" I arrive to find the professoressa, as she is universally known, in the dress shop below her office in Rome, in an elegant black dress buttoned to the neck and a gold brooch of her own design, white hair immaculately coiffed, examining the rails of clothes with close and lively attention."	Rita Levi-Montalcini is a global expert on the brain.	1	Rita Levi-Montalcini is a world-renowned brain expert.
183	Jean-Claude Trichet, the European Central Bank president, made it clear, on Wednesday, that he would oppose unwarranted political attempts to remove Antonio Fazio: the Bank of Italy governor, engulfed in controversy over his handling of bank takeover bids.	Antonio Fazio is subordinate to Jean-Claude Trichet.	1	Antonio Fazio reports to Jean-Claude Trichet.
186	The west has preferred to focus on endangered animals, rather than endangered humans. African elephants are hunted down and stripped of tusks and hidden by poachers. Their numbers in Africa slumped from 1.2m to 600,000 in a decade until CITES - the Convention on International Trade in Endangered Species - banned the trade in ivory.	An international convention banned trade in ivory.	0	An international treaty outlawed the trade in ivory.
187	The abode of the Greek gods was on the summit of Mount Olympus, in Thessaly.	Mount Olympus is in Thessaly.	0	Thessaly is home to Mount Olympus.
188	Yachtsman Melvyn Percy became so fed up with the standard of service when preparing his boat for the 3000-mile Atlantic crossing that he decided to set up his own company on the Clyde to provide Scots sailors with professional advice and practical assistance. Minerva Rigging, based at Kip Marina just south of Gourock, now employs five full-time staff and is the Scottish agent for Kemp, one of Europe's leading yacht spar and mast manufacturers.	Melvyn Percy set up Minerva Rigging at Kip Marina.	0	Melvyn Percy established Minerva Rigging in Kip Marina.
189	The number of Danes opposed to swapping the krone for the euro has increased slightly to 35.3 percent, up from 34.6 percent in April, according to a poll published on Thursday by Danske Bank.	The introduction of the euro has been opposed.	0	The introduction of the euro has been met with opposition.
191	Texas Data Recovery is also successful at retrieving lost data from notebooks and laptops, regardless of age, make or model.	In the event of a disaster you could use Texas Data Recovery and you will have the capability to restore lost data.	0	In the event of a disaster, Texas Data Recovery will be able to restore lost data.
192	Nearly five months later on January 24, 1935, the passenger vessel MOHAWK sank after colliding with the Norwegian motorship TALISMAN, and 45 people lost their lives.	100 or more people lost their lives in a ferry sinking.	1	A ferry sinking claimed the lives of 100 or more people.
193	To mark the 20th anniversary of John Lennon's death tomorrow (December 8), his widow, Yoko Ono, has erected billboards supporting gun control in three major U.S. cities.	Yoko Ono is John Lennon's widow.	0	John Lennon's widow is Yoko Ono.
194	The court in Angers handed down sentences ranging from four months suspended to 28 years for, among others, Philppe V., the key accused. The court found that he, along with his son Franck V. and Franck's former spouse, Patricia M., was one the instigators of a sex ring that abused 45 children, mostly in the couple's flat. The abuses of children aged between six months and 12 years took place in a poor and deprived area of the western french town of Angers. Many of the defendants were poor and lived on benefits and some were mentally impaired. About 20 of them admitted to the charges, while others claimed to have never heard of a sex ring.	Franck V. comes from Angers.	1	Franck V. is originally from Angers.
195	"The mistaken spelling, Miller explained, was made in a section of her notes unrelated to the interviews with Libby.  Other notes documented 3 interviews with Libby, conducted in the year 2003, that in her NYT column she wrote: June 23) ... Mr. Libby raised the subject of Mr. Wilson's wife for the first time. I wrote in my notes, inside parentheses, ""Wife works in bureau?"" I told Mr. Fitzgerald that I believed this was the first time I had been told that Mr. Wilson's wife might work for the C.I.A."	Judith Miller works for the New York Times.	0	Judith Miller is a reporter for the New York Times.
196	Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection.	Microsoft won't offer increased storage to its users.	1	Microsoft will not provide additional storage to its customers.
197	Capital punishment acts as a deterrent.	Capital punishment is a deterrent to crime.	0	The death penalty serves as a deterrent to crime.
198	Despite Bjork making her first live performance in two years, the crowd of 10,000 people was only half of what the hall in the Tokyo suburb of Makuhari could hold.	10,000 people live in Tokyo.	1	Tokyo has a population of 10,000 people.
199	"A condition called ""social anxiety disorder"" this week joined the long list of downers in life - including obesity, impotence, depression and phobia - that Americans once commonly saw as challenges of willpower and character but can now have treated by popping a pill."	Phobia is a an extreme fear of a particular thing or situation.	1	A phobia is an intense fear of a specific object or situation.
200	Two brothers who operated a North Hollywood plating company that dumped thousands of gallons of cyanide-laced waste water into the Los Angeles sewer system pleaded guilty Thursday and must serve jail time for recklessly handling and storing hazardous materials.	A California company was charged with reckless storage of chemicals.	0	A California company has been charged with reckless chemical storage.
201	Italian film-maker, Fellini was awarded an honorary Oscar for lifetime achievement. He died on October 31, 1993.	An Italian director is awarded an honorary Oscar.	0	An honorary Oscar is given to an Italian director.
202	On Jan. 27, 1756, composer Wolfgang Amadeus Mozart was born in Salzburg, Austria.	Wolfgang Amadeus Mozart was born in Salzburg.	0	In Salzburg, Wolfgang Amadeus Mozart was born.
203	Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old.	Altai ice maiden triggers major dispute.	1	The Altai ice maiden has sparked a major controversy.
204	Miller died Thursday night, of congestive heart failure, at his home in Roxbury, Conn., surrounded by his family, his assistant, Julia Bolus, said Friday.	Miller died Thursday night, of heart failure, surrounded by family members.	0	Miller died Thursday night, surrounded by family members, of heart failure.
205	Although he has enough of a support base to be able to create a mass civil disobedience movement, some analysts think that his campaign will be, at best, a thorn in Mr Calderon's side.	Mr Calderon is able to create a mass civil disobedience movement.	1	Mr. Calderon has the ability to incite widespread civil disobedience.
206	NEW YORK   Somali pirates attacked and damaged an American ship carrying humanitarian aid Tuesday, but the ship and crew were safe under Navy escort, the military and shipping company said. The pirates fired rocket-propelled grenades and automatic weapons at the Liberty Sun as it carried food for famine-wracked African nations, said the vessel's owner, Liberty Maritime Corp. The ship was en route from Houston to Mombasa, Kenya, with a roughly 20-member crew, officials said. .	Pirates damaged the ship Liberty Maritime.	1	The ship Liberty Maritime was damaged by pirates.
207	"""Bea Arthur and I first met when we did 'Mame' together in 1965. She became and has remained 'My Bosom Buddy' ever since. I am deeply saddened by her passing, but also relieved that she is released from the pain. I spoke to Matt, her son, yesterday and I was aware that her time was imminent. She was a rare and unique performer and a dear, dear friend."" Arthur passed away at her home on Saturday at the age of 86. Angela Lansbury is appearing in the current revival of Blithe Spirit which began preview performances on Thursday, February 26, 2009 and had an official opening on Sunday, March 15, 2009 at The Shubert Theatre (225 West 44th Street)."	The actress Angela Lansbury is 86 years old.	1	Angela Lansbury is an 86-year-old actress.
208	The girl was found in Drummondville.	Drummondville contains the girl.	1	Drummondville is where the girl is.
209	This is a kind of homework from last year's Halifax Summit. Discussions have taken place on how to rationalize and coordinate the various activities of the international organizations.	Financial reforms have been proposed at the G7 summit in Halifax.	1	At the G7 summit in Halifax, financial reforms were proposed.
210	For women earning 22,000 a year, the total pay accumulated after six months maternity leave would be just 5,300 in the UK and 5,850 in Ireland. Entitlements in Germany would also be relatively low, at 5,900, along with those in France, Spain and the Netherlands, all at 6,750. At the other end of the scale, pay received after six months leave in Italy would be 9,150 while in Denmark and Norway it would be as much as 11,000.	Maternity leave varies in Europe.	0	Maternity leave in Europe varies.
211	The biggest newspaper in Norway, Verdens Gang, prints a letter to the editor written by Joe Harrington and myself.	Verdens Gang is a Norwegian newspaper.	0	Verdens Gang is a newspaper in Norway.
212	Spirou was created in 1938 by Rob-Vel, who sold the rights to the Dupuis publishing house in early 40's. Other artists like Jije (Joseph Gillain) took care of the feature.	Spirou was created by Rob-Vel.	0	Rob-Vel is the creator of Spirou.
213	"Zahi Hawass, Egypt's pre-eminent archaeologist, revealed the first ancient artifacts which may lead to the discovery of Cleopatra and Marc Antony's resting place.  The expedition has found amulets, 22 bronze coins cast with Cleopatra's image and her name, a royal statue, an alabaster mask resembling Marc Antony, and a statue bust of Cleopatra. ""If you look at the face of Mark Antony, many believed he had this cleft on his chin and that's why I thought this could be Mark Antony,"" said Hawass.  ""In my opinion, if this tomb is found, it will be one of the most important discoveries of the 21st century because of the love between Cleopatra and Mark Antony, and because of the sad story of their death. This is the perfect place for them to be hidden,"" said Hawass."	Cleopatra and Marc Antony lived in Egypt.	1	Egypt was the home of Cleopatra and Marc Antony.
214	Russian Public Television head Vladislav Listyev is shot in the heart by an unknown gunman outside his Moscow home. The attack is linked to opponents of an advertising ban he had proposed for the television channel.	Vladislav Listyev was murdered in Moscow.	0	Vladislav Listyev was assassinated in Moscow.
215	Toshiba, with NEC Corp. and Sanyo Electric Co. Ltd., has been promoting a technology called HD DVD while Sony, along with Samsung Electronics Co. Ltd. and Matsushita Electric Industrial Co. Ltd. (maker of Panasonic brand products), has been pushing for Blu-ray.	Panasonic brand products are produced by Samsung Electronics Co. Ltd.	1	Samsung Electronics Co. Ltd. manufactures Panasonic brand products.
216	In clashes between Israeli forces and gunmen, one Palestinian was killed and 10 wounded, hospital officials said.	A Palestinian was killed and other people were wounded.	0	A Palestinian was killed, and several others were injured.
217	But the message delivered by their performance piece was mostly sad and raw. After just three weeks on the road, one of the two Italian artists, Pippa Bacca, 33, was killed by a driver who offered her a ride. Her naked body was found on April 11 in some bushes near a Turkish village after a suspect led investigators to the site. Although an official cause of death has not been given, local Turkish authorities said Ms. Bacca had been raped and strangled.	Pippa Bacca was an Italian peace activist.	1	Pippa Bacca was a peace activist from Italy.
218	"Egypt on Thursday strongly criticized Israeli new Foreign Minister Avigdor Lieberman for his remarks that he refused to recognize the peace efforts initiated in 2007 in the U.S. city of Annapolis to restore the peace talks with the Palestinians, reported the state MENA news agency. Lieberman's remarks is ""regrettable,"" Egyptian Foreign Ministry spokesman Hossam Zaki was quoted as saying, adding ""his remarks are the first blow to the peace efforts to come from the Israeli new government."""	Hossam Zaki is the new Foreign Minister of Israel.	1	Israel's new Foreign Minister is Hossam Zaki.
219	Napkins, invitations and plain old paper cost more than they did a month ago.	The cost of paper is rising.	0	Paper is becoming more expensive.
220	The Daily Telegraph, most prized asset in Lord Conrad Black's crumbling media empire, has been sold to Britain's Barclay twins.	Daily telegraph is sold.	0	The daily telegraph has been sold.
221	Two Indian diplomats met the Indian prisoner facing death in Pakistan, Sarabjit Singh, on Tuesday at Kot Lakhpat jail in the eastern Pakistani city of Lahore.	Indian diplomats met an Indian prisoner, on death row, on Tuesday.	0	On Tuesday, Indian diplomats met with an Indian prisoner on death row.
222	Released in 1995, Tyson returned to boxing, winning the World Boxing Council title in 1996. The same year, however, he lost to Evander Holyfield, and in a 1997 rematch bit Holyfield's ear, for which he was temporarily banned from boxing.	In 1996 Mike Tyson bit Holyfield's ear.	1	Mike Tyson bit Holyfield's ear in 1996.
